GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031582071,45,11,11,11,11,5,11,11
g361031582072,89,46,11,11,11,11,11,11
g361031582073,19,47,13,11,55,53,16,11
g361031582074,69,11,13,11,57,24,11,17
g361031583041,144,11,23,11,11,11,11,11
g361031583042,115,17,111,11,11,11,11,11
g361031583043,147,11,11,11,11,11,11,11
g361031583044,105,11,11,11,11,11,11,11
g361031583061,116,11,66,11,11,11,11,11
g361031583062,90,97,11,33,62,11,11,11
g361031583063,93,28,11,11,11,11,11,11
g361031583081,112,28,11,45,73,11,11,11
g361031583082,157,25,87,11,11,11,11,11
g361031583083,137,63,80,11,77,11,11,29
g361031583084,160,11,72,11,11,11,11,11
g361031583091,112,12,11,61,77,84,11,44
g361031583092,81,41,35,35,54,45,11,11
g361031583101,72,11,10,11,11,11,11,11
g361031583102,78,70,13,54,56,24,18,27
g361031583151,96,94,11,11,11,11,11,11
g361031583152,103,40,15,11,11,11,11,11
g361031583171,159,11,11,11,11,11,11,11
g361031583172,145,11,11,11,11,11,11,29
g361031583173,116,11,11,11,11,11,11,11
g361031583181,80,11,69,11,11,11,11,11
g361031583182,78,11,11,13,11,11,11,11
g361031583183,76,11,15,11,11,11,11,11
g361031583191,77,52,7,30,56,61,38,43
g361031583192,88,16,11,14,11,11,11,11
g361031583193,80,15,11,11,11,11,11,11
g361031583201,86,39,11,11,11,11,11,11
g361031583202,121,23,71,11,57,11,11,11
g361031583203,31,62,52,94,109,132,109,43
g361031583204,96,11,11,11,11,11,11,11
g361031583211,140,16,60,38,144,131,44,32
g361031583212,121,47,31,27,36,11,11,23
g361031583213,116,11,11,11,11,11,11,11
g361031583214,137,145,46,108,161,80,85,23
g361031583221,63,49,11,11,11,13,11,11
g361031583231,106,11,11,11,11,11,11,11
g361031583232,135,11,11,11,11,11,11,11
g361031583233,118,11,18,11,11,11,11,11
g361031583234,112,77,17,20,90,59,11,11
g361031584011,40,10,20,16,20,34,15,11
g361031584021,72,11,11,11,11,11,11,11
g361031584022,42,11,11,11,11,11,3,11
g361031584023,67,18,29,11,11,11,11,11
g361031584031,49,56,9,20,53,15,11,11
g361031584032,49,11,27,11,32,43,39,29
g361031584051,95,11,48,15,11,11,11,11
g361031584052,69,11,11,11,11,11,11,11
g361031584053,72,11,11,11,11,11,11,11
g361031584071,121,11,26,11,11,11,22,11
g361031584072,123,11,67,11,11,11,11,11
g361031584073,144,11,66,11,24,11,11,11
g361031584074,142,11,11,11,11,11,23,11
g361031584081,105,21,25,15,11,11,11,11
g361031584082,104,11,11,11,11,11,11,11
g361031584091,105,14,11,26,115,65,26,11
g361031584092,112,13,11,11,11,11,11,11
g361031584093,104,11,11,11,11,11,11,11
g361031584101,82,90,40,11,11,11,11,11
g361031584102,37,136,57,80,113,11,11,23
g361031584103,22,104,54,44,114,11,11,11
g361031585021,86,40,11,11,34,23,11,11
g361031585022,60,11,11,34,11,11,11,11
g361031585023,51,22,53,33,89,85,52,55
g361031585051,78,11,45,11,11,11,11,11
g361031585052,59,11,11,11,11,11,11,11
g361031585053,30,33,11,18,60,49,50,22
g361031585061,60,11,9,11,11,11,11,11
g361031585062,53,11,11,11,11,11,11,11
g361031585071,77,12,11,11,11,11,11,11
g361031585072,74,11,62,11,11,11,11,11
g361031585073,75,32,11,11,11,11,11,11
g361031585081,87,11,11,11,11,11,11,11
g361031585082,99,11,11,46,11,11,11,11
g361031585083,87,11,11,11,11,11,11,11
g361031585084,65,13,11,40,11,17,42,11
g361031585085,75,11,11,11,11,11,11,11
g361031585091,98,11,47,60,11,11,11,11
g361031585092,102,11,41,11,11,11,11,11
g361031585093,84,19,16,34,54,101,22,18
g361031585101,137,72,11,11,72,94,43,19
g361031585102,110,11,11,11,11,11,11,11
g361031585103,141,11,48,11,11,11,11,11
g361031585104,122,11,11,11,11,11,11,11
g361031585111,89,38,40,11,11,11,11,11
g361031585112,109,12,16,11,11,11,11,11
g361031585113,99,11,12,11,11,11,11,11
g361031585121,76,11,11,11,11,11,11,11
g361031585122,80,11,11,11,11,11,11,11
g361031586041,84,14,11,15,11,11,11,11
g361031586042,75,11,58,11,11,11,11,11
g361031586043,88,11,36,11,11,11,11,11
g361031586051,96,11,14,11,11,14,11,11
g361031586052,93,11,27,11,11,11,11,11
g361031586061,79,11,16,11,11,11,11,11
g361031586062,91,11,34,11,11,11,11,11
g361031586063,78,11,11,11,11,11,11,11
g361031586071,109,51,15,11,53,71,11,24
g361031586072,105,11,13,11,11,11,11,11
g361031586081,65,11,42,39,11,48,11,14
g361031586082,71,11,60,12,11,11,11,11
g361031586083,74,11,35,11,11,11,11,11
g361031586091,91,44,5,11,11,11,11,11
g361031586092,95,15,11,11,11,11,11,11
g361031586093,62,31,11,14,68,11,11,11
g361031587041,141,11,23,45,123,63,11,11
g361031587042,62,124,11,11,86,57,74,11
g361031587043,157,51,11,22,87,130,11,11
g361031587044,175,81,47,49,109,132,50,71
g361031587045,76,102,11,52,58,11,20,34
g361031587051,75,44,64,28,11,11,11,20
g361031587052,120,11,11,11,11,11,11,11
g361031587053,95,11,35,31,11,11,11,11
g361031587071,57,24,11,10,10,11,11,11
g361031587081,18,31,22,11,76,77,25,45
g361031587082,80,50,39,75,58,107,33,49
g361031587083,78,11,11,11,11,11,11,18
g361031587091,69,71,11,82,11,26,32,10
g361031587101,74,14,11,67,71,26,11,12
g361031587102,80,11,24,11,11,11,11,11
g361031587103,87,11,39,40,11,11,11,11
g361031587104,11,11,11,59,55,11,42,11
g361031587111,112,11,38,11,11,11,11,11
g361031587112,46,114,9,44,22,116,62,11
g361031587113,134,58,114,11,54,51,68,60
g361031587121,106,11,11,11,11,11,11,11
g361031587122,143,27,11,11,11,11,11,11
g361031587123,101,21,11,11,11,20,20,11
g361031587124,125,11,11,11,11,11,11,11
g361031587125,136,11,11,11,11,11,11,11
g361031588021,101,41,11,23,11,11,19,11
g361031588022,84,23,11,18,11,16,11,11
g361031588023,68,45,11,45,11,11,11,11
g361031588031,110,11,16,11,11,11,11,11
g361031588032,101,11,47,11,11,11,11,82
g361031588033,97,36,11,11,11,11,11,28
g361031588034,32,11,30,11,28,31,68,47
g361031588041,141,11,11,21,11,11,11,11
g361031588042,124,11,28,16,11,11,11,11
g361031588043,119,11,11,11,11,11,11,11
g361031588044,120,11,11,11,11,11,11,11
g361031588045,92,11,11,19,11,11,70,11
g361031588046,102,11,11,11,11,11,11,11
g361031589001,141,11,32,11,11,11,76,106
g361031589002,123,56,80,97,11,32,31,90
g361031589003,97,11,11,11,25,11,11,11
g361031589004,118,11,24,80,38,29,58,11
g361031589005,145,36,34,62,56,44,21,36
g361031590001,111,18,35,63,11,11,28,11
g361031590002,110,13,11,14,11,11,11,11
g361031590003,56,12,19,51,90,117,85,30
g361031591021,111,11,29,11,11,11,69,102
g361031591022,141,11,11,69,11,11,11,11
g361031591023,103,11,11,22,11,11,11,11
g361031591024,77,21,11,69,76,91,110,35
g361031591025,87,11,48,49,28,119,32,81
g361031591031,69,11,14,11,11,11,11,11
g361031591032,112,41,11,11,11,12,11,11
g361031591033,127,17,11,11,11,11,11,11
g361031591034,114,11,54,44,11,11,11,11
g361031591051,128,11,11,11,34,53,21,21
g361031591052,23,44,11,93,106,109,145,50
g361031591053,140,11,11,11,11,11,11,11
g361031591054,132,11,11,11,11,11,11,11
g361031591061,81,11,11,11,11,11,11,11
g361031591062,107,68,53,57,86,68,65,58
g361031591063,85,11,11,11,11,11,11,11
g361031591071,87,11,11,11,11,11,11,11
g361031591072,62,13,11,11,11,11,11,11
g361031591073,75,21,11,11,11,11,11,11
g361031591081,88,11,11,11,11,11,11,11
g361031591082,147,25,38,11,11,56,31,19
g361031591083,80,11,11,11,11,11,11,11
g361031591084,94,11,11,11,11,11,11,11
g361031591085,85,16,11,11,11,47,11,11
g361031592011,85,11,11,11,11,11,11,11
g361031592012,89,19,11,11,11,11,11,11
g361031592031,121,24,11,11,11,11,11,11
g361031592032,134,22,30,11,11,11,11,11
g361031592033,151,11,11,11,11,11,11,11
g361031592041,74,11,11,11,11,11,11,48
g361031592042,76,11,11,11,11,11,11,11
g361031592043,81,10,17,11,11,11,11,64
g361031592044,74,13,11,11,11,11,11,11
g361031593001,63,5,7,38,11,11,11,11
g361031593002,62,7,11,11,11,11,11,11
g361031594041,50,37,11,120,36,94,110,44
g361031594042,80,11,11,11,11,11,11,19
g361031594043,176,25,11,11,11,31,11,11
g361031594044,164,11,11,11,11,11,11,11
g361031594045,150,11,11,77,11,11,11,11
g361031594061,78,46,11,11,14,55,45,11
g361031594062,108,33,55,46,26,40,52,65
g361031594063,96,18,11,11,11,11,11,16
g361031594071,114,9,11,11,11,11,11,11
g361031594072,91,11,9,11,11,11,11,11
g361031594073,124,11,10,11,11,11,11,11
g361031594081,79,11,14,11,11,11,11,11
g361031594082,79,11,11,11,11,11,11,11
g361031594101,140,25,11,11,11,11,11,11
g361031594102,121,89,11,53,11,34,11,11
g361031594103,158,55,16,37,68,16,16,16
g361031594111,102,11,11,11,11,11,11,11
g361031594112,95,11,11,11,11,12,11,11
g361031594121,93,20,11,11,11,11,11,11
g361031594122,163,93,82,67,11,11,29,11
g361031594123,162,44,11,11,11,11,11,11
g361031594124,86,11,11,27,39,130,126,51
g361031595051,132,11,11,11,11,11,11,11
g361031595052,168,11,11,11,11,11,11,11
g361031595053,117,11,11,11,11,11,11,11
g361031595054,122,22,11,11,11,11,11,11
g361031595055,153,11,11,11,11,11,11,11
g361031595061,161,44,26,11,23,11,11,81
g361031595062,156,26,28,72,11,11,13,11
g361031595063,116,27,18,11,11,11,11,11
g361031595064,151,21,11,11,11,11,11,11
g361031595081,145,11,12,11,11,11,11,11
g361031595082,152,11,31,11,11,11,61,11
g361031595083,199,11,11,11,11,11,11,11
g361031595084,197,11,11,11,11,11,11,11
g361031595091,104,13,11,11,11,11,11,14
g361031595092,117,11,11,11,11,11,11,11
g361031595093,97,11,11,11,11,11,11,11
g361031595101,99,12,34,14,45,30,6,5
g361031595102,94,11,11,11,5,11,11,11
g361031595111,133,11,83,11,11,11,11,11
g361031595112,115,4,5,11,11,11,11,12
g361031595113,155,11,11,11,11,11,11,11
g361031595114,144,11,24,11,11,11,11,11
g361031595121,80,9,11,11,11,11,11,11
g361031596011,122,11,11,11,11,11,11,11
g361031596012,65,73,71,46,11,11,11,11
g361031596013,101,11,23,12,11,11,11,11
g361031596014,113,11,11,11,11,11,11,11
g361031596015,127,11,11,23,11,11,11,11
g361031596021,99,23,11,11,11,11,16,11
g361031596022,111,34,11,18,32,48,35,11
g361031697011,125,11,11,11,11,11,11,11
g361031697012,143,11,11,11,11,11,11,11
g361031697013,142,27,11,17,11,11,11,11
g361031697014,119,11,11,11,11,11,11,11
g361031697015,139,17,11,11,11,11,11,11
g361031697031,84,23,30,10,62,11,40,9
g361031697041,137,11,11,11,11,11,11,11
g361031697042,120,11,11,11,11,11,11,11
g361031697043,130,11,56,11,61,105,11,40
g361031697044,48,27,11,11,11,11,11,11
g361031697045,75,11,29,11,79,11,11,11
g361031697046,128,11,11,72,11,11,11,11
g361031698001,141,128,11,31,11,11,11,11
g361031698002,92,11,38,11,11,11,11,11
g361031698003,111,94,11,11,11,11,11,11
g361031698004,116,11,52,71,42,11,11,11
g361031699011,155,11,11,104,11,51,11,11
g361031699012,164,113,40,140,222,119,24,35
g361031699021,203,66,83,11,11,11,11,11
g361031699022,172,19,11,11,11,11,11,11
g361031699023,197,11,84,33,11,11,11,11
g361031699024,177,11,11,11,11,11,11,11
g361031699025,212,11,11,11,11,11,11,11
g361031700011,180,11,11,11,11,11,11,11
g361031700012,178,11,11,11,11,11,11,11
g361031700013,121,11,11,11,11,11,11,11
g361031700014,121,11,11,11,11,11,11,11
g361031700015,180,11,11,11,11,11,11,11
g361031700021,111,11,39,11,11,19,11,11
g361031700022,138,11,11,11,11,11,11,11
g361031700023,147,11,11,11,11,11,11,11
g361031700024,125,11,11,60,11,11,11,11
g361031700025,93,11,11,11,11,16,11,11
g361031701011,70,32,28,45,28,11,11,11
g361031701012,64,13,81,59,46,30,11,11
g361031702011,180,42,61,11,11,11,11,11
g361031702012,132,11,11,11,11,11,11,11
g361031702013,97,11,11,11,27,11,11,38
g361031702014,144,11,11,11,11,53,11,23
g361031702015,98,11,11,11,35,11,11,11
g361031702016,123,11,25,11,11,28,11,11
g361031702017,121,11,11,11,26,11,11,11
g361031702021,119,19,16,49,30,11,11,13
g361031702022,104,11,13,6,8,11,11,11
g361031702023,107,10,28,7,21,5,11,11
g361031702024,89,11,14,11,11,11,11,11
g361031702025,107,25,45,48,35,62,28,52
g361031803001,161,27,13,26,46,11,11,11
g361031803002,183,11,46,11,11,11,11,11
g361031904011,125,11,11,11,11,11,11,11
g361031904012,95,11,58,11,56,11,11,11
g361031904013,96,11,11,11,11,11,11,11
g361031904014,11,11,11,11,11,11,11,11
g361031904015,69,11,31,11,11,35,11,28
g361031904016,172,11,11,11,11,11,11,11
g361031904017,168,11,117,11,11,11,11,11
g361031904021,77,56,60,24,11,11,11,11
g361031904022,95,11,11,11,11,11,11,11
g361031904031,123,11,11,11,24,11,11,11
g361031904032,90,30,40,11,40,11,11,11
g361031904033,122,11,46,47,48,81,14,30
g361031905021,115,15,44,11,14,11,11,11
g361031905022,78,30,9,6,17,21,17,7
g361031905023,117,15,5,45,48,53,60,62
g361031905031,61,11,11,11,11,11,11,11
g361031905032,84,11,11,46,11,46,40,11
g361031905033,99,11,11,11,11,11,11,11
g361031905034,99,11,11,11,11,11,11,11
g361031905041,100,11,16,10,24,11,71,38
g361031905042,87,11,24,11,11,24,11,11
g361031905043,80,11,9,11,11,11,11,11
g361031906011,108,11,19,8,11,11,11,11
g361031906012,111,11,25,14,51,37,11,14
g361031906013,139,11,11,11,11,11,11,11
g361031906014,118,11,11,11,11,11,11,11
g361031906015,121,11,11,11,11,11,11,11
g361031906016,125,5,11,24,17,11,11,11
g361031906031,130,43,41,20,62,11,11,11
g361031906032,133,17,118,11,23,45,74,11
g361031906033,140,11,53,11,42,11,55,65
g361031906041,172,16,34,11,11,11,11,11
g361031906042,154,11,22,11,25,94,11,11
g361031906043,151,11,11,11,11,77,53,11
g361031907041,160,11,11,9,11,11,11,11
g361031907042,133,5,14,11,11,11,11,11
g361031907043,91,7,11,11,11,11,11,11
g361031907044,107,11,11,26,11,11,11,11
g361031907045,164,23,11,44,11,41,11,11
g361031907051,34,5,11,11,11,11,11,11
g361031907052,141,34,45,66,45,72,11,11
g361031907053,129,11,27,11,41,11,41,11
g361031907054,137,19,11,11,18,11,11,50
g361031907055,106,11,47,11,11,11,11,11
g361031907061,157,11,52,11,11,11,11,11
g361031907062,171,38,18,20,11,11,11,16
g361031907063,116,11,11,11,11,11,11,11
g361031907064,111,11,11,71,11,11,11,11
g361031907065,123,20,44,11,11,11,11,11
g361031907071,189,11,11,11,11,11,11,11
g361031907072,151,11,14,11,11,11,11,24
g361031907073,114,11,11,11,11,11,11,11
g361031907074,152,11,6,11,11,11,11,11
g361031907075,168,11,11,11,11,11,11,11
g361031907081,91,5,6,12,11,11,11,11
g361031907082,118,11,77,67,46,11,11,11
g361031908001,162,42,58,30,11,14,40,15
g361031908002,143,20,9,11,11,11,11,11
g361031908003,143,23,73,16,49,11,11,17
g361031908004,159,20,9,11,11,11,11,15
g361032009011,63,11,48,15,11,11,11,11
g361032009012,79,4,11,11,28,7,11,11
g361032009021,247,32,11,11,11,11,11,11
g361032009022,163,34,11,15,11,11,11,11
g361032009023,147,11,11,11,11,11,11,11
g361032009024,151,30,71,44,11,11,11,11
g361032009025,133,11,11,11,11,11,11,11
g361032009026,218,11,11,11,11,11,11,11
g361032009027,177,11,30,11,11,11,11,11
g361032010011,215,11,79,11,11,11,11,11
g361032010012,186,11,39,11,11,11,11,11
g361032010013,188,11,11,11,11,11,11,11
g361032010014,230,11,11,11,11,11,11,11
g361032010015,214,11,72,11,11,11,11,11
g361032010031,117,11,70,31,41,11,11,23
g361032010032,109,10,11,11,11,11,11,11
g361032010033,85,15,33,11,11,24,64,19
g361032010034,129,11,44,11,11,11,11,31
g361032010035,133,11,11,56,28,55,16,27
g361032010041,97,15,25,11,11,11,11,11
g361032010042,162,11,53,11,49,48,48,11
g361032010043,120,11,11,11,11,48,42,40
g361032010044,109,11,11,23,30,63,75,43
g361032010045,154,21,11,58,11,77,11,45
g361032010046,146,11,11,11,88,58,84,66
g361032011001,115,7,53,37,11,11,11,11
g361032011002,94,11,11,11,11,51,11,11
g361032011003,11,11,11,11,11,11,11,11
g361032011004,111,11,19,11,11,11,11,11
g361039901000,11,11,11,11,11,11,11,11
