GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031224041,73,8,32,11,11,11,11,11
g361031224042,72,8,18,11,11,11,11,11
g361031224051,60,14,11,11,11,11,11,11
g361031224052,53,11,11,11,11,11,11,11
g361031224061,106,15,11,11,11,11,11,41
g361031224062,99,11,21,11,11,11,11,11
g361031224063,99,11,18,11,51,11,11,11
g361031225011,78,27,20,11,11,11,47,24
g361031225012,82,32,29,11,11,27,11,38
g361031225013,83,11,38,11,31,11,11,11
g361031225021,102,51,11,11,11,11,11,11
g361031225022,87,26,11,11,11,11,11,11
g361031225023,81,11,11,11,11,11,11,11
g361031226011,106,11,13,11,11,11,11,11
g361031226012,92,13,49,11,11,11,11,11
g361031226013,82,25,53,73,51,11,11,11
g361031226021,79,19,44,11,11,11,11,11
g361031226022,93,21,14,11,11,11,11,11
g361031226031,83,11,11,11,11,41,19,11
g361031226032,127,11,11,11,11,11,11,11
g361031226033,33,16,46,28,37,28,69,42
g361031226034,107,11,31,11,11,11,11,11
g361031227041,58,11,11,11,11,11,11,11
g361031227042,58,11,19,11,11,11,11,11
g361031227051,66,11,8,11,11,11,11,11
g361031227052,63,11,11,11,12,11,11,11
g361031227061,111,18,13,11,11,11,11,11
g361031227062,97,52,44,63,11,11,22,12
g361031227063,69,10,22,11,18,11,11,18
g361031227071,80,11,61,11,11,11,11,11
g361031227072,59,11,11,11,11,11,11,11
g361031228011,93,11,91,17,20,11,11,37
g361031228012,112,13,11,34,15,11,20,59
g361031228013,36,78,11,26,37,11,22,16
g361031228014,135,60,28,11,11,11,11,11
g361031228021,83,29,19,46,38,41,7,15
g361031228022,76,24,34,11,11,11,11,15
g361031229011,123,19,60,11,11,11,11,11
g361031229012,98,11,29,11,11,11,11,11
g361031229013,72,13,18,11,11,11,11,11
g361031229014,104,11,12,11,11,11,11,11
g361031229021,105,15,29,46,12,56,34,21
g361031229022,66,22,28,32,24,43,33,23
g361031229023,83,11,15,30,11,11,11,11
g361031230011,72,12,14,27,11,11,11,11
g361031230012,92,11,10,11,11,11,11,11
g361031230013,91,51,68,11,11,11,11,11
g361031230014,104,11,26,11,11,11,11,11
g361031230021,87,13,11,11,11,11,11,11
g361031230022,74,12,11,13,11,11,11,16
g361031230023,79,11,17,11,11,11,12,25
g361031231011,81,35,13,11,11,11,11,11
g361031231012,75,12,11,11,11,11,11,11
g361031231013,117,11,20,17,25,11,21,13
g361031231021,81,11,8,11,36,11,11,11
g361031231022,75,22,23,59,47,12,24,11
g361031231023,66,11,9,11,11,11,11,11
g361031232011,40,51,32,49,18,25,18,18
g361031232021,123,53,11,11,11,50,30,34
g361031232022,58,73,11,11,17,21,30,104
g361031232023,149,11,50,11,11,11,11,21
g361031232024,147,22,65,11,11,11,11,11
g361031233011,108,11,67,11,40,75,77,32
g361031233012,132,20,26,22,21,32,32,44
g361031233013,81,34,21,11,38,11,11,38
g361031233014,126,11,11,11,11,11,11,11
g361031233015,152,36,11,54,11,11,11,11
g361031233016,66,11,66,11,11,11,11,11
g361031233021,52,9,35,21,11,11,11,11
g361031234011,81,29,65,11,15,11,11,11
g361031234012,89,11,31,42,11,66,20,11
g361031234013,59,11,48,16,11,54,15,11
g361031234021,91,119,18,11,30,36,21,67
g361031234022,108,28,61,11,11,23,11,11
g361031234023,132,11,11,27,11,32,11,11
g361031234024,86,11,53,67,27,69,11,11
g361031234025,95,29,35,11,31,11,28,98
g361031235001,123,36,46,11,11,18,11,19
g361031235002,82,71,33,40,19,11,15,44
g361031235003,130,64,77,33,20,21,20,11
g361031235004,116,25,115,56,54,64,11,11
g361031236001,106,72,23,46,11,11,11,11
g361031236002,59,11,11,11,11,11,11,11
g361031236003,82,11,42,11,11,11,11,11
g361031237011,112,21,61,35,11,11,11,11
g361031237012,59,11,65,50,11,11,11,11
g361031237013,80,33,63,37,11,43,13,45
g361031237014,76,11,49,55,11,11,11,11
g361031237021,140,36,114,11,11,11,11,11
g361031237022,149,72,108,67,11,11,11,33
g361031237023,92,11,39,11,23,11,11,11
g361031237024,157,11,60,44,11,11,40,11
g361031238011,84,11,14,35,12,11,11,14
g361031238012,93,11,26,11,11,11,11,11
g361031238013,112,43,55,19,36,19,22,19
g361031238021,113,24,80,11,11,11,11,11
g361031238022,115,19,26,11,11,11,11,11
g361031239001,84,40,58,11,16,11,14,15
g361031239002,66,11,29,11,11,11,11,11
g361031239003,65,8,15,11,11,11,11,11
g361031239004,107,11,59,11,11,11,11,11
g361031239005,62,13,11,11,11,11,11,11
g361031240011,111,11,90,11,11,11,11,11
g361031240012,86,11,89,11,11,11,11,11
g361031240013,42,11,64,19,11,11,11,11
g361031240021,73,31,17,11,11,11,11,11
g361031240022,71,19,54,11,11,11,11,11
g361031241011,113,22,84,11,11,11,11,11
g361031241012,91,16,36,11,11,31,38,14
g361031241013,95,11,42,40,11,11,11,19
g361031241021,95,16,68,45,26,11,11,11
g361031241022,92,33,37,11,11,11,32,11
g361031242001,74,11,116,11,11,11,11,11
g361031242002,92,38,95,11,11,26,11,41
g361031242003,71,11,83,11,117,11,11,11
g361031242004,140,47,30,95,11,11,11,11
g361031242005,194,11,107,11,11,11,11,11
g361031243001,109,21,29,11,11,11,11,11
g361031243002,124,79,25,39,11,18,20,41
g361031243003,103,22,47,44,24,31,27,95
g361031243004,113,11,44,11,11,11,11,11
g361031243005,24,65,29,31,80,11,18,51
g361031244011,14,37,88,61,26,65,24,24
g361031244012,92,11,23,11,11,11,21,45
g361031244013,90,71,62,50,16,21,16,19
g361031244021,89,11,53,11,11,11,11,11
g361031244022,81,14,84,11,11,11,11,11
g361031244023,106,11,11,11,13,11,11,11
g361031245001,74,11,11,11,11,11,11,11
g361031245002,67,42,28,46,11,11,11,11
g361031245003,53,39,62,53,11,13,67,18
g361031245004,88,11,16,11,11,11,11,11
g361031246011,59,11,11,23,11,6,11,11
g361031246012,44,16,11,11,11,11,11,11
g361031246013,52,11,11,11,11,11,11,11
g361031246021,49,11,21,19,23,11,11,11
g361031246022,71,11,56,24,56,20,27,11
g361031246023,94,11,11,11,11,11,45,11
g361031246024,60,43,30,55,59,20,17,18
g361031347021,137,27,11,49,11,11,11,11
g361031347022,122,97,58,11,11,11,11,11
g361031347023,88,83,28,53,91,71,11,59
g361031347024,61,11,36,30,11,11,11,11
g361031347031,50,11,55,11,11,15,11,11
g361031347032,66,11,11,11,11,11,11,11
g361031347033,72,11,43,11,11,11,11,11
g361031347034,48,11,11,11,11,11,11,11
g361031347041,58,11,11,11,11,11,11,11
g361031347042,48,23,43,49,25,34,11,9
g361031349021,72,13,11,11,11,11,11,11
g361031349022,52,11,11,11,11,9,11,11
g361031349023,84,28,11,35,11,11,11,11
g361031349031,33,11,32,11,11,11,11,11
g361031349041,104,59,11,11,30,11,11,11
g361031349042,91,11,11,11,11,11,11,11
g361031349043,88,11,24,11,11,11,11,32
g361031349044,95,32,65,60,89,76,11,11
g361031349061,83,63,15,20,11,11,11,22
g361031349062,87,11,11,11,11,11,11,11
g361031349063,76,25,11,11,11,11,11,11
g361031349064,55,11,42,11,43,73,67,38
g361031349071,98,25,11,27,11,11,11,11
g361031349072,89,11,6,11,11,11,11,11
g361031350021,72,11,11,11,11,11,11,11
g361031350022,79,11,50,11,27,56,11,11
g361031350023,77,11,11,11,11,11,11,11
g361031350031,68,11,11,11,11,11,11,11
g361031350032,64,11,15,37,11,11,11,11
g361031350033,76,11,19,36,11,11,11,11
g361031350041,49,7,11,11,11,11,11,11
g361031350042,33,24,11,11,11,11,11,11
g361031350043,43,11,11,11,11,11,11,11
g361031350051,66,19,11,11,50,11,11,11
g361031350052,46,80,11,43,68,44,11,11
g361031350053,71,15,11,13,11,11,11,11
g361031351011,64,11,11,11,11,11,11,11
g361031351012,72,11,44,11,11,11,11,11
g361031351021,52,11,17,11,11,11,11,11
g361031351022,83,30,11,22,53,28,11,10
g361031351023,62,11,11,11,11,11,11,11
g361031351031,79,21,11,11,11,39,11,11
g361031351032,70,49,11,11,11,11,11,11
g361031351033,75,11,11,11,11,11,11,11
g361031351041,64,11,11,11,11,11,11,11
g361031351042,74,32,11,11,11,11,11,11
g361031351043,53,55,14,11,11,11,11,11
g361031352011,31,26,6,11,11,11,11,11
g361031352041,77,19,11,11,11,11,11,11
g361031352042,82,11,11,11,11,11,11,11
g361031352043,64,11,11,11,11,11,11,11
g361031352051,71,10,56,18,20,74,29,12
g361031352052,74,11,11,11,11,11,11,11
g361031352053,48,11,19,11,11,11,11,11
g361031352081,62,43,11,11,11,11,11,11
g361031352082,63,41,33,11,11,11,11,11
g361031352091,67,41,11,51,45,20,11,8
g361031352092,64,21,11,11,11,11,11,11
g361031353011,80,11,11,11,11,11,11,11
g361031353012,64,11,11,11,11,11,11,11
g361031353013,58,11,11,48,11,11,11,11
g361031353031,87,34,11,11,23,62,24,11
g361031353032,70,15,49,11,11,11,11,11
g361031353041,62,31,12,11,11,11,11,11
g361031353042,23,51,34,17,21,11,11,11
g361031354011,52,63,32,74,26,40,95,33
g361031354012,116,25,11,11,25,25,35,11
g361031354013,138,11,11,11,11,63,11,11
g361031354021,108,87,46,21,11,11,11,11
g361031354022,106,11,11,11,73,26,41,42
g361031354023,69,11,11,11,11,11,11,11
g361031354024,119,11,11,11,26,11,11,11
g361031354031,78,11,13,11,11,11,11,11
g361031354032,96,13,16,11,11,20,11,11
g361031354033,97,39,12,17,16,11,11,11
g361031456021,90,11,11,30,11,11,11,16
g361031456022,85,13,54,11,11,11,11,11
g361031456023,107,11,34,11,11,11,11,11
g361031456031,115,11,27,11,11,11,11,11
g361031456032,75,9,40,19,18,50,12,11
g361031456033,113,12,60,43,11,11,11,11
g361031456041,121,32,77,11,11,11,11,11
g361031456042,99,15,56,11,11,11,11,11
g361031456051,52,11,41,10,11,11,11,11
g361031456052,62,14,41,23,11,11,34,20
g361031457011,68,11,11,37,11,11,11,11
g361031457012,86,13,11,11,11,11,11,11
g361031457013,62,11,11,43,110,101,24,29
g361031457014,98,18,36,11,11,11,11,11
