GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031112022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,48,34,18,11,11,11
g361031112023,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,34,62,39,44,11,11
g361031113001,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,17,11,18,57,54,66,5
g361031113002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,36,38,70,46,30
g361031113003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,11,48,41,56
g361031114011,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,3,12,32,48,38,52,11
g361031114021,11,11,11,11,11,11,15,11,45,11,11,11,11,11,11,11,11,27,13,52,78,44,11,13
g361031114022,11,11,11,11,11,11,11,11,20,11,11,11,11,11,93,11,11,11,11,73,66,19,11,11
g361031114023,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,50,82,54,11,11
g361031114024,11,11,11,11,11,14,13,11,11,11,11,11,11,11,11,11,17,11,42,56,41,11,11,11
g361031115031,9,11,11,11,11,11,11,12,11,11,11,11,10,11,11,11,13,11,11,29,54,49,16,11
g361031115032,18,11,11,11,11,11,11,11,14,11,19,11,11,11,11,11,11,24,12,67,72,56,11,11
g361031115033,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,36,36,29,50
g361031115041,11,11,11,11,11,11,27,11,11,11,13,11,11,11,11,11,11,11,6,33,47,42,43,19
g361031115051,11,11,11,11,11,11,11,11,44,11,11,11,9,11,11,11,11,11,27,72,63,78,49,11
g361031115052,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,23,32,70,25,44,11,11
g361031115053,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,19,86,41,11,11,11
g361031115054,63,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,23,66,78,58,11,11
g361031115061,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,16,51,86,51,30
g361031115062,25,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,41,54,74,39,12,11,11
g361031116011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,49,56,71,22,11,11
g361031116012,18,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,11,10,91,84,34,20,11
g361031116021,11,11,11,11,11,11,11,11,11,19,11,11,11,15,11,11,11,20,11,64,67,47,21,11
g361031116022,11,11,11,11,11,16,11,11,11,20,11,11,11,11,11,13,11,22,11,64,56,59,11,11
g361031117011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,89,46,22,11,11
g361031117012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,33,77,71,52,11,11
g361031117013,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,34,60,24,16,11
g361031117014,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,22,51,105,11,11,11
g361031117015,21,11,11,11,11,11,11,21,29,11,11,11,11,11,11,11,11,28,14,39,94,27,11,11
g361031117031,17,11,11,11,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,24,29,55,15,11
g361031117032,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,9,79,72,78,27,14
g361031117041,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,11,24,31,57,29,17
g361031117042,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,51,50,44,14,11
g361031117043,11,11,11,11,11,16,11,11,11,11,11,11,11,11,14,11,11,10,26,47,63,12,11,12
g361031118011,11,11,11,11,11,11,22,11,11,11,11,11,11,11,11,11,11,11,11,21,49,85,11,11
g361031118012,26,11,11,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,92,78,86,11,16
g361031118013,11,11,11,11,11,11,11,25,11,11,11,11,11,11,11,11,11,11,39,90,102,110,12,11
g361031118014,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,16,58,51,24,11,22
g361031118021,14,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,11,49,53,58,32,16
g361031118022,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,26,51,10,11
g361031118031,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,55,45,12,11
g361031118032,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,11,20,37,49,13,11
g361031118041,15,11,11,11,11,11,11,11,11,11,11,10,11,13,11,11,11,15,10,44,57,56,18,16
g361031119001,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,22,45,30,59,44,11
g361031119002,11,11,11,11,11,11,11,17,11,11,11,11,11,11,22,11,11,13,11,52,61,53,43,11
g361031119003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,38,44,34,11
g361031119004,20,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,16,11,32,60,39,23,48
g361031119005,11,11,11,11,11,11,11,11,11,11,11,11,11,48,16,11,11,11,11,11,21,31,62,42
g361031120011,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,21,11,71,47,76,21,11
g361031120012,11,11,11,11,11,11,17,11,14,11,11,11,11,11,11,14,12,51,25,102,86,59,16,11
g361031120021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,59,77,54,26
g361031120022,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,42,52,44,19,11
g361031120023,16,11,11,11,11,11,14,13,11,11,11,11,11,11,11,11,11,16,19,67,49,38,11,11
g361031121021,11,11,11,11,11,11,11,11,11,11,29,11,11,11,12,11,11,11,11,17,31,70,94,34
g361031121022,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,34,69,67
g361031121031,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,66,9,11,11
g361031121032,11,11,11,11,11,11,11,15,22,11,11,11,11,11,11,11,11,11,18,76,71,28,15,15
