GEOID,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031907051,6,6,0,10
g361031907052,848,0,289,94
g361031907053,263,13,41,0
g361031907054,773,0,147,0
g361031907055,556,18,360,118
g361031907061,933,0,23,34
g361031907062,1151,10,121,40
g361031907063,531,0,25,31
g361031907064,459,0,212,0
g361031907065,607,245,95,16
g361031907071,1289,0,66,25
g361031907072,546,0,539,30
g361031907073,409,0,79,64
g361031907074,853,0,63,132
g361031907075,983,0,0,6
g361031907081,903,0,15,3
g361031907082,826,27,196,20
g361031908001,575,246,1,0
g361031908002,666,254,59,30
g361031908003,624,2,57,0
g361031908004,460,22,61,60
g361032009011,574,0,103,0
g361032009012,472,0,0,6
g361032009021,1177,55,212,34
g361032009022,615,0,89,0
g361032009023,839,0,336,0
g361032009024,393,0,194,0
g361032009025,601,4,105,3
g361032009026,1226,0,95,388
g361032009027,533,172,114,6
g361032010011,1007,0,179,0
g361032010012,641,16,59,0
g361032010013,477,8,580,0
g361032010014,714,36,0,0
g361032010015,1202,5,718,0
g361032010031,556,222,710,0
g361032010032,587,15,0,7
g361032010033,172,0,0,0
g361032010034,666,14,66,0
g361032010035,584,14,327,0
g361032010041,167,15,0,0
g361032010042,480,27,105,45
g361032010043,464,7,21,9
g361032010044,403,46,27,30
g361032010045,935,17,52,0
g361032010046,596,10,0,0
g361032011001,300,184,1848,39
g361032011002,425,264,950,28
g361032011003,313,136,33,0
g361032011004,212,242,1117,251
g361039901000,0,0,0,0
