GEOID,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031234023,887,158,131,0
g361031234024,243,30,445,44
g361031234025,1265,73,226,145
g361031235001,435,772,611,29
g361031235002,712,53,391,10
g361031235003,1062,17,307,44
g361031235004,1357,56,269,0
g361031236001,1116,0,96,61
g361031236002,796,0,29,0
g361031236003,1009,0,94,31
g361031237011,799,97,1184,0
g361031237012,290,138,1174,28
g361031237013,791,130,678,69
g361031237014,146,465,817,0
g361031237021,1566,13,1543,60
g361031237022,1057,159,750,50
g361031237023,794,12,370,38
g361031237024,1112,383,189,137
g361031238011,782,19,130,29
g361031238012,970,0,14,0
g361031238013,1835,217,90,23
g361031238021,1257,0,145,0
g361031238022,1660,24,232,0
g361031239001,1178,34,321,0
g361031239002,780,0,78,21
g361031239003,658,11,88,18
g361031239004,991,257,212,100
g361031239005,447,0,0,0
g361031240011,1820,0,497,61
g361031240012,1383,114,293,35
g361031240013,263,11,51,0
g361031240021,1189,17,212,10
g361031240022,1893,0,108,11
g361031241011,1940,1,379,0
g361031241012,1175,0,185,0
g361031241013,1271,11,163,0
g361031241021,1332,0,66,0
g361031241022,1536,0,309,0
g361031242001,905,0,250,0
g361031242002,858,0,0,0
g361031242003,460,24,55,1
g361031242004,1554,0,64,2
g361031242005,846,0,259,242
g361031243001,930,0,102,175
g361031243002,987,21,458,161
g361031243003,1281,51,16,0
g361031243004,1476,0,155,0
g361031243005,541,5,2,18
g361031244011,613,9,9,0
g361031244012,911,26,23,0
g361031244013,1842,22,447,75
g361031244021,2003,0,37,13
g361031244022,1034,0,10,0
g361031244023,630,0,0,0
g361031245001,1034,25,97,9
g361031245002,888,0,110,0
g361031245003,918,0,33,90
g361031245004,1194,25,319,285
g361031246011,885,33,83,0
g361031246012,863,0,16,16
g361031246013,712,0,28,0
g361031246021,605,0,12,0
g361031246022,1057,0,95,63
g361031246023,1365,10,69,76
g361031246024,535,44,169,0
g361031347021,1613,0,306,23
g361031347022,2074,41,18,199
g361031347023,628,0,0,0
g361031347024,702,0,95,0
g361031347031,1105,0,13,54
g361031347032,939,0,105,0
g361031347033,1082,0,15,115
g361031347034,569,0,38,0
g361031347041,1468,9,16,11
g361031347042,910,3,8,137
g361031349021,1124,0,31,7
g361031349022,1046,0,56,10
g361031349023,2372,41,86,17
g361031349031,1089,117,91,0
g361031349041,1586,0,0,134
g361031349042,1447,11,83,309
g361031349043,1712,31,131,62
g361031349044,1053,0,94,17
g361031349061,1465,0,217,28
g361031349062,971,0,51,57
g361031349063,1725,0,0,0
g361031349064,1204,3,2,56
g361031349071,1846,53,95,23
g361031349072,2714,0,13,45
g361031350021,1102,3,0,49
g361031350022,2085,0,12,89
g361031350023,1886,0,34,0
g361031350031,1353,0,38,7
g361031350032,1442,0,82,9
g361031350033,1326,85,116,15
g361031350041,1602,32,20,15
g361031350042,630,0,26,9
g361031350043,547,0,23,29
g361031350051,1415,0,60,6
g361031350052,1147,23,14,0
g361031350053,641,1,43,33
g361031351011,1024,0,46,48
g361031351012,2100,202,164,242
g361031351021,1215,0,45,26
g361031351022,1254,8,337,155
g361031351023,1157,0,73,25
g361031351031,1324,0,0,30
g361031351032,1077,60,92,16
g361031351033,1644,0,99,87
g361031351041,1543,13,176,33
g361031351042,2210,2,38,49
g361031351043,1056,0,80,13
g361031352011,2000,1,30,71
g361031352041,1485,27,116,61
g361031352042,1833,0,59,28
g361031352043,962,1,8,24
g361031352051,1576,16,277,414
g361031352052,1323,0,77,36
g361031352053,1141,0,52,41
g361031352081,1407,0,19,5
g361031352082,1459,11,57,20
g361031352091,1608,44,31,58
g361031352092,1051,3,187,0
g361031353011,1886,0,33,0
g361031353012,1209,49,48,1
g361031353013,662,15,0,82
g361031353031,2428,88,218,178
g361031353032,1132,0,93,94
g361031353041,2515,42,144,29
g361031353042,510,0,0,19
g361031354011,902,0,175,124
g361031354012,2401,18,33,34
g361031354013,2500,175,39,447
g361031354021,2665,0,219,85
g361031354022,1884,7,101,149
g361031354023,801,17,14,0
g361031354024,1258,0,0,0
g361031354031,887,100,46,43
g361031354032,1916,31,144,7
g361031354033,816,3,196,82
g361031456021,237,266,1090,81
g361031456022,293,310,835,64
g361031456023,418,229,2109,0
g361031456031,159,519,1892,308
g361031456032,38,310,985,19
g361031456033,181,190,2471,9
g361031456041,361,147,2844,122
g361031456042,115,130,1292,0
g361031456051,370,112,831,63
g361031456052,385,699,1184,45
g361031457011,607,9,72,49
g361031457012,1282,0,185,40
g361031457013,807,105,252,244
g361031457014,1468,28,125,32
g361031457021,46,30,1104,0
g361031457022,442,137,1243,0
g361031457023,470,107,2559,162
g361031457031,165,73,724,78
g361031457032,525,263,1862,69
g361031457033,291,384,1158,122
g361031457041,423,267,1415,56
g361031457042,194,316,190,225
g361031457043,579,682,1741,151
g361031457044,191,448,141,252
g361031458031,1192,0,66,161
g361031458032,1418,23,155,48
g361031458033,1616,0,148,0
g361031458041,639,479,638,108
g361031458042,865,42,201,236
g361031458051,738,0,75,68
g361031458052,1239,0,124,0
g361031458053,1835,4,4,0
g361031458054,1350,48,204,120
g361031458071,1720,72,273,48
g361031458072,2014,18,254,25
g361031458081,1760,79,103,38
g361031458082,1066,0,162,33
g361031459011,527,242,892,0
g361031459012,898,374,842,52
g361031459021,183,1275,950,0
g361031459022,517,157,761,0
g361031459023,312,266,854,63
g361031459024,98,554,1813,19
g361031459031,847,136,508,65
g361031459032,1101,180,155,39
g361031459033,514,357,413,7
g361031459034,787,276,571,81
g361031460011,361,965,1924,0
g361031460012,345,313,1995,0
g361031460021,322,280,1271,44
g361031460022,51,331,856,107
g361031460023,22,118,2267,195
g361031460031,553,122,1424,33
g361031460032,113,520,1027,74
g361031460033,947,823,852,28
g361031460034,771,210,260,513
g361031461021,568,354,1135,69
g361031461031,1277,0,55,0
g361031461032,1812,14,440,195
g361031461051,212,352,473,0
