GEOID,B25004_006E
g361031459024,0
g361031459031,0
g361031459032,0
g361031459033,0
g361031459034,0
g361031460011,0
g361031460012,0
g361031460021,0
g361031460022,0
g361031460023,0
g361031460031,0
g361031460032,0
g361031460033,16
g361031460034,0
g361031461021,0
g361031461031,0
g361031461032,0
g361031461051,0
g361031461052,0
g361031461053,0
g361031461061,0
g361031461062,0
g361031462011,0
g361031462012,0
g361031462021,0
g361031462022,0
g361031462031,0
g361031462032,0
g361031462033,14
g361031462041,0
g361031462042,0
g361031462043,0
g361031462051,10
g361031462052,0
g361031462061,0
g361031462062,0
g361031463001,0
g361031463002,0
g361031464021,0
g361031464022,0
g361031464023,0
g361031464031,15
g361031464032,0
g361031464033,0
g361031464041,0
g361031464042,0
g361031465001,0
g361031465002,0
g361031465003,0
g361031465004,0
g361031466041,0
g361031466042,0
g361031466043,23
g361031466051,0
g361031466061,0
g361031466062,0
g361031466063,0
g361031466064,0
g361031466071,0
g361031466072,0
g361031466081,0
g361031466082,0
g361031466111,0
g361031466112,0
g361031466121,0
g361031466122,0
g361031466123,0
g361031466131,0
g361031466132,0
g361031466141,50
g361031466142,0
g361031466143,0
g361031466151,0
g361031466152,0
g361031466153,0
g361031467031,0
g361031467032,0
g361031467041,0
g361031467051,0
g361031467052,0
g361031467061,0
g361031467062,0
g361031468001,0
g361031468002,0
g361031468003,0
g361031468004,0
g361031469011,0
g361031469012,0
g361031469013,0
g361031469014,0
g361031469021,0
g361031469022,25
g361031469023,8
g361031470011,0
g361031470012,0
g361031470013,0
g361031470031,0
g361031470032,0
g361031470033,0
g361031470041,2217
g361031471001,5
g361031471002,0
g361031471003,0
g361031472001,0
g361031472002,0
g361031472003,0
g361031472004,0
g361031472005,0
g361031473001,0
g361031473002,0
g361031473003,0
g361031473004,0
g361031473005,0
g361031473006,0
g361031474011,0
g361031474012,0
g361031474013,0
g361031474014,0
g361031474021,0
g361031474022,0
g361031474023,0
g361031475011,0
g361031475012,0
g361031475013,0
g361031475014,0
g361031475015,0
g361031475016,38
g361031475021,0
g361031475022,0
g361031475023,0
g361031475024,0
g361031475025,0
g361031475031,0
g361031476011,0
g361031476012,16
g361031476021,46
g361031476022,29
g361031476023,0
g361031476024,0
g361031477011,0
g361031477012,0
g361031477021,0
g361031477022,351
g361031477023,0
g361031477024,24
g361031478021,0
g361031478022,0
g361031478023,0
g361031478031,0
g361031478032,0
g361031478041,0
g361031478042,0
g361031478043,0
g361031478044,0
g361031479011,0
g361031479012,0
g361031479013,0
g361031479021,0
g361031479022,8
g361031479023,0
g361031479024,0
g361031580011,12
g361031580012,11
g361031580013,0
g361031580014,38
g361031580015,0
g361031580021,0
g361031580022,88
g361031580023,0
g361031580024,12
g361031580025,0
g361031580026,17
g361031580061,0
g361031580062,0
g361031580063,0
g361031580064,0
g361031580071,0
g361031580072,0
g361031580073,0
g361031580074,0
g361031580091,0
g361031580092,0
g361031580101,0
g361031580102,0
g361031580103,0
g361031580111,36
g361031580112,0
g361031580113,46
g361031581021,0
g361031581022,0
g361031581031,0
g361031581032,0
g361031581041,0
g361031581042,0
g361031581043,0
g361031581071,7
g361031581072,0
g361031581081,0
g361031581101,0
g361031581102,0
g361031581111,0
g361031581112,0
g361031581121,0
g361031581122,27
g361031581141,93
g361031581151,0
g361031581152,0
g361031581153,0
g361031581161,13
g361031581162,14
g361031582021,10
g361031582022,0
g361031582023,12
g361031582024,0
g361031582025,0
g361031582031,7
g361031582051,0
g361031582052,0
g361031582061,0
g361031582062,8
g361031582063,0
g361031582071,17
g361031582072,0
g361031582073,0
g361031582074,0
g361031583041,0
g361031583042,0
g361031583043,0
g361031583044,0
g361031583061,0
g361031583062,0
g361031583063,0
g361031583081,0
g361031583082,0
g361031583083,0
g361031583084,46
g361031583091,0
g361031583092,0
g361031583101,26
g361031583102,0
g361031583151,0
g361031583152,0
g361031583171,84
g361031583172,133
g361031583173,0
g361031583181,0
g361031583182,0
g361031583183,6
g361031583191,0
g361031583192,0
g361031583193,0
g361031583201,0
g361031583202,37
g361031583203,56
g361031583204,0
g361031583211,45
g361031583212,0
g361031583213,47
g361031583214,60
g361031583221,0
g361031583231,0
g361031583232,29
g361031583233,0
g361031583234,0
g361031584011,0
g361031584021,0
g361031584022,32
g361031584023,0
g361031584031,0
g361031584032,0
g361031584051,68
g361031584052,0
g361031584053,0
g361031584071,50
g361031584072,12
g361031584073,35
g361031584074,0
g361031584081,60
g361031584082,31
g361031584091,0
g361031584092,20
g361031584093,0
g361031584101,0
g361031584102,86
g361031584103,0
g361031585021,0
g361031585022,0
g361031585023,0
g361031585051,0
g361031585052,0
g361031585053,0
g361031585061,29
g361031585062,0
g361031585071,0
g361031585072,0
g361031585073,0
g361031585081,0
g361031585082,0
g361031585083,0
g361031585084,11
g361031585085,0
g361031585091,0
g361031585092,27
g361031585093,0
g361031585101,0
g361031585102,0
g361031585103,0
g361031585104,0
g361031585111,0
g361031585112,0
g361031585113,0
g361031585121,0
g361031585122,33
g361031586041,0
g361031586042,0
g361031586043,25
g361031586051,0
g361031586052,0
g361031586061,0
g361031586062,0
g361031586063,18
g361031586071,0
g361031586072,0
g361031586081,0
g361031586082,0
g361031586083,0
g361031586091,0
g361031586092,0
g361031586093,0
g361031587041,0
g361031587042,0
g361031587043,0
g361031587044,0
g361031587045,0
g361031587051,0
g361031587052,0
g361031587053,0
g361031587071,18
g361031587081,0
g361031587082,0
g361031587083,0
g361031587091,26
g361031587101,0
g361031587102,0
g361031587103,0
g361031587104,49
g361031587111,0
g361031587112,0
g361031587113,0
g361031587121,0
g361031587122,0
g361031587123,0
g361031587124,0
g361031587125,0
g361031588021,0
g361031588022,0
g361031588023,0
g361031588031,0
g361031588032,0
g361031588033,0
g361031588034,0
g361031588041,0
g361031588042,0
g361031588043,0
g361031588044,0
g361031588045,0
g361031588046,0
g361031589001,0
g361031589002,0
g361031589003,0
g361031589004,0
g361031589005,0
g361031590001,0
g361031590002,0
g361031590003,0
g361031591021,0
g361031591022,0
g361031591023,0
g361031591024,0
g361031591025,0
g361031591031,0
g361031591032,0
g361031591033,0
g361031591034,0
g361031591051,0
g361031591052,0
g361031591053,0
g361031591054,0
g361031591061,0
g361031591062,0
g361031591063,0
g361031591071,0
g361031591072,0
g361031591073,0
g361031591081,0
g361031591082,0
g361031591083,0
g361031591084,0
g361031591085,0
g361031592011,0
g361031592012,0
g361031592031,0
g361031592032,13
g361031592033,0
g361031592041,0
g361031592042,0
g361031592043,27
g361031592044,19
g361031593001,101
g361031593002,37
g361031594041,0
g361031594042,0
g361031594043,0
g361031594044,0
g361031594045,0
g361031594061,10
g361031594062,7
g361031594063,20
g361031594071,0
g361031594072,0
g361031594073,0
g361031594081,28
g361031594082,0
g361031594101,0
g361031594102,0
g361031594103,15
g361031594111,0
g361031594112,0
g361031594121,0
g361031594122,0
g361031594123,0
g361031594124,0
g361031595051,43
g361031595052,11
g361031595053,0
g361031595054,0
g361031595055,0
g361031595061,0
g361031595062,61
g361031595063,0
g361031595064,0
g361031595081,55
g361031595082,0
g361031595083,87
g361031595084,0
g361031595091,113
g361031595092,27
g361031595093,0
g361031595101,1515
g361031595102,313
g361031595111,0
g361031595112,0
g361031595113,0
g361031595114,0
g361031595121,29
g361031596011,0
g361031596012,0
g361031596013,0
g361031596014,35
g361031596015,34
g361031596021,67
g361031596022,137
g361031697011,71
g361031697012,86
g361031697013,45
g361031697014,0
g361031697015,0
g361031697031,487
g361031697041,20
g361031697042,43
g361031697043,0
g361031697044,0
g361031697045,0
g361031697046,0
g361031698001,0
g361031698002,0
g361031698003,30
g361031698004,0
g361031699011,0
g361031699012,169
g361031699021,68
g361031699022,32
g361031699023,462
g361031699024,218
g361031699025,102
g361031700011,162
g361031700012,268
g361031700013,141
g361031700014,0
g361031700015,264
g361031700021,235
g361031700022,279
g361031700023,400
g361031700024,9
g361031700025,220
g361031701011,47
g361031701012,141
g361031702011,364
g361031702012,237
g361031702013,0
g361031702014,244
g361031702015,155
g361031702016,113
g361031702017,65
g361031702021,256
g361031702022,591
g361031702023,520
g361031702024,432
g361031702025,360
g361031803001,1064
g361031803002,635
g361031904011,47
g361031904012,49
g361031904013,0
g361031904014,0
g361031904015,0
g361031904016,132
g361031904017,26
g361031904021,119
g361031904022,273
g361031904031,128
g361031904032,124
g361031904033,170
g361031905021,283
g361031905022,171
g361031905023,1286
g361031905031,0
g361031905032,47
g361031905033,214
g361031905034,441
g361031905041,670
g361031905042,203
g361031905043,117
g361031906011,535
g361031906012,145
g361031906013,238
g361031906014,47
g361031906015,175
g361031906016,664
g361031906031,290
g361031906032,203
g361031906033,486
