GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031118032,352,24,67,78,38,60,67,0,18,0,0,0,0
g361031118041,733,71,190,225,40,107,62,21,13,4,0,0,0
g361031119001,459,48,111,100,76,80,32,12,0,0,0,0,0
g361031119002,377,0,163,77,24,48,55,10,0,0,0,0,0
g361031119003,310,34,53,98,11,7,15,74,10,0,8,0,0
g361031119004,429,30,116,134,51,38,52,8,0,0,0,0,0
g361031119005,377,13,168,82,8,27,19,30,30,0,0,0,0
g361031120011,579,18,158,101,47,94,88,0,51,22,0,0,0
g361031120012,1089,57,342,107,204,114,89,74,91,0,0,0,11
g361031120021,773,44,218,152,27,65,66,124,69,8,0,0,0
g361031120022,446,18,112,80,85,58,65,19,9,0,0,0,0
g361031120023,472,37,145,67,25,38,111,32,17,0,0,0,0
g361031121021,771,35,192,205,140,88,91,20,0,0,0,0,0
g361031121022,476,85,77,130,71,78,8,27,0,0,0,0,0
g361031121031,331,0,126,68,50,9,70,0,0,0,0,0,8
g361031121032,617,28,148,197,62,67,115,0,0,0,0,0,0
g361031121033,548,11,130,94,13,23,42,153,82,0,0,0,0
g361031121041,741,31,303,187,48,43,43,0,86,0,0,0,0
g361031122041,416,12,100,124,74,72,34,0,0,0,0,0,0
g361031122042,423,0,143,53,44,52,71,32,0,0,0,21,7
g361031122043,466,51,180,68,56,38,50,0,11,12,0,0,0
g361031122061,1155,119,428,126,11,0,0,304,128,39,0,0,0
g361031122062,629,34,304,137,0,22,49,0,83,0,0,0,0
g361031122063,979,66,309,234,237,26,46,25,16,20,0,0,0
g361031122064,155,30,24,15,15,33,38,0,0,0,0,0,0
g361031122101,382,0,122,127,40,18,75,0,0,0,0,0,0
g361031122102,684,24,206,94,166,141,30,0,0,23,0,0,0
g361031122103,645,0,158,173,85,0,0,84,131,14,0,0,0
g361031122104,564,31,131,223,52,73,0,54,0,0,0,0,0
g361031122111,611,41,239,153,49,40,35,0,54,0,0,0,0
g361031122112,461,5,119,147,36,25,108,21,0,0,0,0,0
g361031122113,311,20,110,75,8,31,65,2,0,0,0,0,0
g361031122121,314,17,111,29,95,19,43,0,0,0,0,0,0
g361031122122,695,88,168,186,49,101,50,30,23,0,0,0,0
g361031122131,749,55,261,174,89,101,24,13,32,0,0,0,0
g361031122132,407,0,48,123,87,52,61,36,0,0,0,0,0
g361031122133,459,55,178,154,8,28,36,0,0,0,0,0,0
g361031122141,255,15,94,93,16,0,12,25,0,0,0,0,0
g361031122142,863,27,310,255,118,86,26,15,0,0,13,0,13
g361031122143,1290,80,956,33,33,1,23,91,73,0,0,0,0
g361031122144,252,18,77,115,19,12,11,0,0,0,0,0,0
g361031223001,524,36,110,153,30,27,13,33,122,0,0,0,0
g361031223002,798,45,222,256,28,43,61,48,83,12,0,0,0
g361031224031,469,5,146,85,54,30,46,53,45,5,0,0,0
g361031224032,280,13,92,36,24,5,14,23,54,5,14,0,0
g361031224041,670,17,188,86,142,56,88,36,57,0,0,0,0
g361031224042,426,21,149,82,54,26,55,0,32,0,0,0,7
g361031224051,711,31,207,155,47,41,32,69,93,21,15,0,0
g361031224052,255,46,94,46,33,15,21,0,0,0,0,0,0
g361031224061,368,40,61,36,51,0,38,42,65,35,0,0,0
g361031224062,469,18,133,66,7,31,21,37,150,0,0,6,0
g361031224063,520,57,161,109,50,58,13,10,62,0,0,0,0
g361031225011,310,14,68,65,0,11,10,50,81,0,0,11,0
g361031225012,495,7,110,48,32,14,41,58,174,0,11,0,0
g361031225013,429,37,18,52,38,34,60,80,78,32,0,0,0
g361031225021,744,86,152,169,46,153,11,0,91,17,0,0,19
g361031225022,207,0,38,52,30,23,8,39,17,0,0,0,0
g361031225023,291,0,39,98,0,35,90,27,2,0,0,0,0
g361031226011,654,42,218,138,39,78,86,34,19,0,0,0,0
g361031226012,516,52,173,85,42,42,96,8,8,10,0,0,0
g361031226013,682,8,110,80,64,49,110,212,27,22,0,0,0
g361031226021,795,43,241,164,155,59,88,0,39,6,0,0,0
g361031226022,799,25,173,208,94,89,163,0,34,0,0,13,0
g361031226031,394,0,146,23,29,22,37,36,84,7,0,10,0
g361031226032,686,82,226,40,76,80,122,32,23,0,0,5,0
g361031226033,383,0,26,0,13,41,26,160,101,9,7,0,0
g361031226034,502,30,167,50,97,33,83,0,42,0,0,0,0
g361031227041,169,0,65,17,0,11,9,0,67,0,0,0,0
g361031227042,491,18,133,89,10,79,94,0,46,7,0,15,0
g361031227051,592,15,166,81,83,71,69,40,58,0,9,0,0
g361031227052,365,44,105,91,13,25,55,25,7,0,0,0,0
g361031227061,350,7,46,65,46,70,74,8,14,20,0,0,0
g361031227062,739,33,251,162,9,31,55,138,32,19,0,0,9
g361031227063,151,0,47,37,24,6,7,0,30,0,0,0,0
g361031227071,619,43,115,125,46,16,171,32,61,10,0,0,0
g361031227072,437,8,122,140,20,18,110,19,0,0,0,0,0
g361031228011,524,19,110,121,14,50,30,11,169,0,0,0,0
g361031228012,621,0,134,81,45,54,64,34,148,52,9,0,0
g361031228013,381,26,171,54,67,53,10,0,0,0,0,0,0
g361031228014,629,0,196,101,43,155,0,66,59,0,9,0,0
g361031228021,677,46,268,82,53,10,54,56,108,0,0,0,0
g361031228022,728,50,234,132,98,57,107,0,50,0,0,0,0
g361031229011,755,55,240,116,89,117,58,0,57,23,0,0,0
g361031229012,319,0,91,73,61,22,14,42,16,0,0,0,0
g361031229013,358,26,68,72,28,105,39,6,14,0,0,0,0
g361031229014,444,34,151,93,0,39,72,0,32,23,0,0,0
g361031229021,673,10,68,70,113,59,32,104,187,13,17,0,0
g361031229022,563,19,200,70,89,7,67,27,64,9,0,11,0
g361031229023,393,10,138,78,23,41,18,50,35,0,0,0,0
g361031230011,469,48,113,148,58,13,72,0,0,17,0,0,0
g361031230012,458,0,119,71,61,59,75,0,66,7,0,0,0
g361031230013,423,41,48,40,78,19,36,75,81,5,0,0,0
g361031230014,471,28,113,66,57,61,74,51,21,0,0,0,0
g361031230021,607,18,216,135,67,44,97,30,0,0,0,0,0
g361031230022,382,10,124,133,36,34,0,29,16,0,0,0,0
g361031230023,485,26,140,42,33,102,33,29,57,23,0,0,0
g361031231011,454,7,248,80,28,14,29,0,25,23,0,0,0
g361031231012,212,7,15,124,11,15,40,0,0,0,0,0,0
g361031231013,565,0,175,64,49,97,35,16,118,11,0,0,0
g361031231021,436,41,95,56,82,46,56,0,36,24,0,0,0
g361031231022,648,37,169,152,79,46,104,26,19,16,0,0,0
g361031231023,287,18,52,26,21,22,81,0,0,42,25,0,0
g361031232011,681,10,107,93,60,17,28,182,170,10,4,0,0
g361031232021,504,23,236,73,25,0,18,24,65,10,14,16,0
g361031232022,498,0,0,0,15,15,14,251,180,11,0,0,12
g361031232023,593,35,176,42,46,57,52,138,47,0,0,0,0
g361031232024,800,129,194,77,93,101,87,0,119,0,0,0,0
g361031233011,566,0,123,63,0,0,21,171,133,13,42,0,0
g361031233012,528,41,78,46,28,20,44,97,138,0,14,0,22
g361031233013,299,0,48,80,61,31,35,18,26,0,0,0,0
g361031233014,296,0,13,74,45,0,24,0,91,49,0,0,0
