GEOID,B25038_001E,B25038_003E,B25038_004E,B25038_005E,B25038_006E,B25038_007E,B25038_008E,B25038_010E,B25038_011E,B25038_012E,B25038_013E,B25038_014E,B25038_015E
g361031462032,319,20,164,112,0,0,5,0,9,9,0,0,0
g361031462033,528,19,121,38,48,30,39,173,44,16,0,0,0
g361031462041,536,29,106,145,29,55,49,18,56,10,39,0,0
g361031462042,694,9,162,65,43,24,60,103,213,15,0,0,0
g361031462043,233,14,99,25,40,8,10,0,37,0,0,0,0
g361031462051,225,1,82,39,34,7,10,0,52,0,0,0,0
g361031462052,416,34,90,61,74,75,67,0,15,0,0,0,0
g361031462061,255,9,104,63,24,0,22,17,16,0,0,0,0
g361031462062,506,29,146,98,75,47,63,10,23,15,0,0,0
g361031463001,578,38,111,163,11,9,0,118,70,58,0,0,0
g361031463002,673,111,279,17,0,0,0,136,121,9,0,0,0
g361031464021,655,30,150,215,95,29,82,33,0,21,0,0,0
g361031464022,354,9,80,68,39,6,45,97,10,0,0,0,0
g361031464023,281,15,87,75,20,14,70,0,0,0,0,0,0
g361031464031,495,87,112,48,53,16,97,15,59,0,0,8,0
g361031464032,392,40,75,45,17,22,38,73,52,30,0,0,0
g361031464033,379,59,116,61,15,0,18,73,37,0,0,0,0
g361031464041,464,28,162,47,33,20,29,33,88,11,13,0,0
g361031464042,531,35,156,90,50,76,50,34,40,0,0,0,0
g361031465001,488,64,110,90,35,21,132,29,0,7,0,0,0
g361031465002,311,15,92,50,66,0,25,0,38,19,0,6,0
g361031465003,455,15,145,134,116,7,18,20,0,0,0,0,0
g361031465004,425,6,115,80,68,37,44,24,41,10,0,0,0
g361031466041,650,7,7,7,0,0,11,269,286,63,0,0,0
g361031466042,538,7,137,120,67,168,18,14,0,7,0,0,0
g361031466043,391,7,84,80,81,71,46,8,14,0,0,0,0
g361031466051,285,12,92,54,48,14,35,0,17,8,0,0,5
g361031466061,563,28,201,64,58,107,105,0,0,0,0,0,0
g361031466062,700,0,253,80,67,63,59,0,165,0,0,13,0
g361031466063,548,12,215,106,89,36,12,13,65,0,0,0,0
g361031466064,696,48,186,160,61,94,20,60,15,52,0,0,0
g361031466071,493,29,187,152,38,8,0,50,29,0,0,0,0
g361031466072,569,37,32,39,62,12,5,145,163,25,33,11,5
g361031466081,652,41,119,55,38,75,99,106,113,0,0,0,6
g361031466082,332,0,23,28,36,3,7,139,91,5,0,0,0
g361031466111,785,15,167,140,30,12,0,171,238,12,0,0,0
g361031466112,454,35,141,97,66,38,52,4,21,0,0,0,0
g361031466121,288,17,76,45,26,82,17,25,0,0,0,0,0
g361031466122,760,8,211,157,91,143,21,60,69,0,0,0,0
g361031466123,576,0,132,155,73,95,58,63,0,0,0,0,0
g361031466131,404,28,103,56,49,51,72,22,10,10,3,0,0
g361031466132,789,8,255,202,95,59,65,30,75,0,0,0,0
g361031466141,706,0,156,372,34,62,0,19,63,0,0,0,0
g361031466142,327,0,70,155,17,85,0,0,0,0,0,0,0
g361031466143,922,35,353,212,119,73,52,18,60,0,0,0,0
g361031466151,491,10,84,113,134,139,0,11,0,0,0,0,0
g361031466152,627,11,91,79,37,57,45,145,123,39,0,0,0
g361031466153,760,8,54,100,18,6,10,263,278,11,12,0,0
g361031467031,640,8,203,74,39,25,105,80,96,10,0,0,0
g361031467032,570,49,160,150,46,49,78,0,27,11,0,0,0
g361031467041,659,18,219,131,50,85,153,0,0,3,0,0,0
g361031467051,511,55,110,108,64,56,86,32,0,0,0,0,0
g361031467052,567,16,120,152,52,77,112,15,23,0,0,0,0
g361031467061,338,11,91,57,60,38,61,14,0,0,6,0,0
g361031467062,523,69,160,103,83,13,83,7,5,0,0,0,0
g361031468001,740,36,201,124,176,31,111,9,52,0,0,0,0
g361031468002,627,12,278,120,76,55,71,15,0,0,0,0,0
g361031468003,355,28,55,123,59,35,55,0,0,0,0,0,0
g361031468004,190,0,45,56,16,47,16,0,10,0,0,0,0
g361031469011,753,15,167,173,146,54,122,45,9,0,0,0,22
g361031469012,449,27,76,143,84,17,51,0,34,0,0,0,17
g361031469013,241,18,71,37,40,43,10,0,22,0,0,0,0
g361031469014,304,30,53,94,38,9,57,6,17,0,0,0,0
g361031469021,605,45,157,212,78,58,27,6,22,0,0,0,0
g361031469022,313,20,112,74,7,18,72,0,10,0,0,0,0
g361031469023,285,0,125,72,41,30,17,0,0,0,0,0,0
g361031470011,290,15,42,63,35,62,20,7,18,0,28,0,0
g361031470012,285,27,183,17,21,19,11,0,7,0,0,0,0
g361031470013,820,63,184,184,126,85,98,35,37,0,8,0,0
g361031470031,763,113,294,143,83,50,64,0,0,16,0,0,0
g361031470032,482,24,199,34,87,54,78,0,0,0,6,0,0
g361031470033,407,53,166,56,34,17,14,0,60,7,0,0,0
g361031470041,93,5,9,24,17,9,15,9,0,4,1,0,0
g361031471001,418,33,120,129,50,54,24,4,4,0,0,0,0
g361031471002,294,32,57,41,41,17,17,51,17,10,5,6,0
g361031471003,357,13,93,140,55,18,30,3,0,0,0,0,5
g361031472001,789,53,257,127,57,13,29,0,188,65,0,0,0
g361031472002,275,16,41,0,0,0,0,16,112,73,17,0,0
g361031472003,541,14,75,78,32,14,17,96,151,64,0,0,0
g361031472004,298,0,57,68,29,26,29,75,0,0,14,0,0
g361031472005,412,0,28,0,0,0,0,161,223,0,0,0,0
g361031473001,387,0,24,46,0,0,0,113,137,53,14,0,0
g361031473002,238,0,17,0,26,0,0,110,74,11,0,0,0
g361031473003,439,68,154,24,57,18,26,55,16,21,0,0,0
g361031473004,439,19,142,0,0,14,15,38,164,17,0,0,30
g361031473005,587,0,15,0,16,0,0,183,359,0,14,0,0
g361031473006,832,66,170,185,69,28,29,127,158,0,0,0,0
g361031474011,766,38,156,133,39,80,53,78,171,18,0,0,0
g361031474012,645,62,219,87,46,0,12,73,100,29,17,0,0
g361031474013,653,90,189,41,95,27,36,31,144,0,0,0,0
g361031474014,359,15,135,51,18,0,0,59,81,0,0,0,0
g361031474021,417,32,71,169,38,37,26,14,30,0,0,0,0
g361031474022,431,64,170,102,31,56,0,8,0,0,0,0,0
g361031474023,411,29,143,70,54,75,14,26,0,0,0,0,0
g361031475011,296,0,23,42,23,32,20,73,58,25,0,0,0
g361031475012,681,16,161,203,120,99,41,41,0,0,0,0,0
g361031475013,179,24,94,18,0,28,15,0,0,0,0,0,0
g361031475014,229,0,106,11,37,0,15,0,36,24,0,0,0
g361031475015,552,0,199,159,89,53,29,0,0,23,0,0,0
g361031475016,545,35,91,87,110,53,49,10,62,36,12,0,0
g361031475021,308,47,97,28,88,28,20,0,0,0,0,0,0
g361031475022,384,23,66,132,90,18,46,0,0,0,0,0,9
g361031475023,568,41,102,140,96,101,88,0,0,0,0,0,0
g361031475024,404,26,117,83,60,37,65,9,0,0,0,7,0
g361031475025,261,21,31,69,60,23,27,0,30,0,0,0,0
g361031475031,541,12,217,127,48,47,51,32,0,7,0,0,0
g361031476011,358,28,95,82,80,26,34,0,5,0,8,0,0
g361031476012,445,19,115,104,89,50,37,18,13,0,0,0,0
g361031476021,708,113,150,85,84,27,52,75,96,26,0,0,0
g361031476022,593,19,217,120,102,71,21,43,0,0,0,0,0
g361031476023,396,29,38,123,47,0,30,37,48,22,0,0,22
g361031476024,352,0,137,59,76,25,55,0,0,0,0,0,0
g361031477011,620,19,151,91,99,72,22,106,50,10,0,0,0
g361031477012,554,34,136,83,76,64,40,15,106,0,0,0,0
g361031477021,546,28,170,131,65,71,36,7,9,0,29,0,0
g361031477022,333,25,95,63,67,17,36,30,0,0,0,0,0
g361031477023,476,11,114,112,27,54,64,55,19,20,0,0,0
g361031477024,241,0,52,74,45,0,29,13,8,10,0,10,0
g361031478021,368,35,79,32,27,19,10,85,54,27,0,0,0
g361031478022,460,13,145,129,73,20,68,0,12,0,0,0,0
g361031478023,545,19,122,149,36,30,47,113,7,22,0,0,0
g361031478031,875,29,228,108,81,11,18,89,311,0,0,0,0
g361031478032,412,45,76,90,54,33,19,59,36,0,0,0,0
g361031478041,738,71,238,229,96,55,49,0,0,0,0,0,0
g361031478042,358,38,99,116,16,8,45,9,27,0,0,0,0
g361031478043,450,17,133,99,66,75,60,0,0,0,0,0,0
g361031478044,379,0,101,121,74,54,29,0,0,0,0,0,0
g361031479011,666,45,175,159,91,110,35,10,12,29,0,0,0
g361031479012,554,10,10,19,14,6,0,129,291,75,0,0,0
g361031479013,523,8,12,62,0,0,10,193,224,14,0,0,0
g361031479021,258,7,38,61,28,77,34,13,0,0,0,0,0
g361031479022,336,41,105,52,37,80,0,0,21,0,0,0,0
g361031479023,436,0,106,192,69,20,25,15,0,9,0,0,0
g361031479024,358,34,61,96,37,62,36,10,13,0,9,0,0
g361031580011,329,28,87,96,48,42,7,0,7,3,8,0,3
g361031580012,361,31,65,122,42,28,14,40,17,2,0,0,0
g361031580013,297,0,109,74,57,0,36,0,0,9,0,0,12
g361031580014,340,76,72,109,46,10,11,6,10,0,0,0,0
g361031580015,209,13,22,108,37,0,19,0,10,0,0,0,0
g361031580021,405,19,94,132,17,28,95,0,20,0,0,0,0
g361031580022,338,0,111,88,44,64,31,0,0,0,0,0,0
g361031580023,487,6,203,87,79,34,42,17,19,0,0,0,0
g361031580024,309,0,130,59,42,0,26,15,37,0,0,0,0
g361031580025,290,56,80,34,29,28,0,33,30,0,0,0,0
g361031580026,425,67,166,88,69,20,15,0,0,0,0,0,0
g361031580061,993,73,269,217,139,62,135,16,82,0,0,0,0
g361031580062,961,28,210,278,202,75,94,74,0,0,0,0,0
g361031580063,349,30,102,50,26,0,44,64,17,16,0,0,0
g361031580064,163,59,25,52,27,0,0,0,0,0,0,0,0
g361031580071,0,0,0,0,0,0,0,0,0,0,0,0,0
g361031580072,34,0,27,4,0,0,0,0,0,3,0,0,0
g361031580073,10,0,0,10,0,0,0,0,0,0,0,0,0
g361031580074,0,0,0,0,0,0,0,0,0,0,0,0,0
g361031580091,376,11,82,175,31,40,28,4,5,0,0,0,0
g361031580092,493,36,145,150,33,54,57,18,0,0,0,0,0
g361031580101,637,71,206,100,153,87,20,0,0,0,0,0,0
g361031580102,268,0,103,70,41,22,17,0,15,0,0,0,0
g361031580103,273,7,17,113,25,60,44,7,0,0,0,0,0
g361031580111,762,31,275,161,84,50,83,24,46,8,0,0,0
g361031580112,582,64,181,231,40,52,14,0,0,0,0,0,0
g361031580113,420,105,208,32,0,0,0,12,52,11,0,0,0
g361031581021,1020,13,412,142,48,63,70,62,149,35,16,0,10
g361031581022,618,30,154,260,94,71,9,0,0,0,0,0,0
g361031581031,916,39,295,179,122,67,55,92,67,0,0,0,0
g361031581032,423,21,121,30,33,84,48,0,57,29,0,0,0
g361031581041,643,63,254,79,84,77,49,0,37,0,0,0,0
g361031581042,632,0,203,113,121,26,113,0,35,21,0,0,0
g361031581043,494,18,175,82,60,53,68,0,38,0,0,0,0
g361031581071,614,50,339,44,28,33,59,23,38,0,0,0,0
g361031581072,805,40,263,178,78,69,50,9,66,13,39,0,0
g361031581081,952,39,410,111,71,78,55,83,101,4,0,0,0
g361031581101,576,0,131,179,56,94,65,21,19,0,0,0,11
g361031581102,456,7,154,94,72,86,30,0,13,0,0,0,0
g361031581111,534,33,135,112,95,54,75,11,19,0,0,0,0
g361031581112,453,80,125,61,54,37,51,17,20,0,0,8,0
g361031581121,575,11,150,162,37,19,45,66,53,25,0,0,7
g361031581122,688,31,188,40,176,96,73,62,12,10,0,0,0
g361031581141,1110,44,246,166,50,218,119,96,154,0,0,0,17
g361031581151,1004,27,139,226,108,135,12,220,137,0,0,0,0
g361031581152,521,0,141,17,113,121,79,50,0,0,0,0,0
g361031581153,597,14,134,87,154,77,77,40,14,0,0,0,0
g361031581161,473,21,235,108,52,47,0,0,10,0,0,0,0
g361031581162,227,34,69,50,33,5,0,21,6,9,0,0,0
g361031582021,421,35,94,114,38,0,10,63,25,42,0,0,0
g361031582022,823,68,161,38,0,20,86,146,260,35,9,0,0
g361031582023,513,35,174,100,33,43,54,58,16,0,0,0,0
g361031582024,394,25,42,84,37,89,117,0,0,0,0,0,0
g361031582025,669,0,357,174,27,0,58,33,0,20,0,0,0
g361031582031,558,31,129,138,115,77,36,14,10,8,0,0,0
g361031582051,263,10,104,90,36,8,6,9,0,0,0,0,0
g361031582052,368,18,143,51,92,37,21,0,6,0,0,0,0
g361031582061,468,13,115,123,16,54,33,63,51,0,0,0,0
g361031582062,505,8,137,95,55,30,37,73,49,21,0,0,0
g361031582063,503,27,137,42,23,64,7,129,74,0,0,0,0
g361031582071,286,15,83,94,23,51,11,0,9,0,0,0,0
g361031582072,642,24,159,146,106,93,41,31,42,0,0,0,0
g361031582073,276,18,57,96,6,0,0,72,18,9,0,0,0
g361031582074,650,8,138,126,87,94,9,113,66,9,0,0,0
g361031583041,582,14,208,80,213,48,0,0,0,19,0,0,0
g361031583042,672,55,288,109,48,74,16,13,16,0,53,0,0
g361031583043,594,0,241,82,166,63,14,0,8,20,0,0,0
g361031583044,573,93,96,237,42,33,36,20,0,16,0,0,0
g361031583061,857,38,274,164,172,56,45,43,65,0,0,0,0
g361031583062,771,25,437,105,99,74,0,0,31,0,0,0,0
g361031583063,535,22,111,137,136,129,0,0,0,0,0,0,0
g361031583081,535,0,142,57,35,48,16,17,203,17,0,0,0
g361031583082,522,94,148,37,45,13,50,118,17,0,0,0,0
g361031583083,884,89,277,158,67,141,47,42,63,0,0,0,0
g361031583084,633,0,200,127,52,115,104,0,19,0,0,0,16
g361031583091,1188,10,344,161,130,99,16,156,238,34,0,0,0
g361031583092,607,21,55,68,64,10,8,143,225,13,0,0,0
g361031583101,582,29,185,121,20,119,46,6,29,27,0,0,0
g361031583102,1147,131,484,304,20,14,30,30,70,64,0,0,0
g361031583151,970,48,389,243,173,64,0,22,31,0,0,0,0
g361031583152,675,23,344,116,57,48,0,0,27,60,0,0,0
g361031583171,811,28,291,162,80,79,64,19,35,53,0,0,0
g361031583172,617,22,298,50,39,35,81,60,32,0,0,0,0
g361031583173,483,39,222,100,77,11,16,0,18,0,0,0,0
g361031583181,577,65,261,89,24,36,14,35,25,28,0,0,0
g361031583182,427,36,177,45,62,72,35,0,0,0,0,0,0
g361031583183,509,25,137,144,90,43,61,0,0,9,0,0,0
g361031583191,594,31,282,110,51,12,0,83,25,0,0,0,0
g361031583192,317,17,144,34,39,51,24,8,0,0,0,0,0
g361031583193,292,0,71,50,43,36,56,36,0,0,0,0,0
g361031583201,386,11,179,167,29,0,0,0,0,0,0,0,0
g361031583202,539,0,142,232,31,134,0,0,0,0,0,0,0
g361031583203,844,53,443,55,0,14,0,101,164,14,0,0,0
g361031583204,432,20,128,120,93,71,0,0,0,0,0,0,0
g361031583211,1234,142,265,107,34,24,13,356,293,0,0,0,0
g361031583212,718,37,259,135,46,41,0,72,128,0,0,0,0
g361031583213,358,0,139,86,97,36,0,0,0,0,0,0,0
g361031583214,1379,39,53,0,19,5,0,438,744,41,0,40,0
g361031583221,785,24,663,30,51,6,0,4,7,0,0,0,0
g361031583231,387,17,229,71,21,49,0,0,0,0,0,0,0
g361031583232,316,34,76,96,55,24,31,0,0,0,0,0,0
g361031583233,598,18,320,136,20,68,10,0,15,11,0,0,0
g361031583234,879,75,462,210,24,25,0,39,9,35,0,0,0
g361031584011,459,21,117,198,27,40,9,5,34,4,4,0,0
g361031584021,718,5,170,196,144,124,49,9,21,0,0,0,0
g361031584022,188,7,65,30,28,24,31,3,0,0,0,0,0
g361031584023,536,18,162,171,29,39,63,43,11,0,0,0,0
g361031584031,461,55,229,92,41,29,0,0,15,0,0,0,0
g361031584032,403,34,107,85,18,38,6,87,16,12,0,0,0
g361031584051,756,7,297,199,120,53,10,14,56,0,0,0,0
g361031584052,312,29,62,137,34,41,0,9,0,0,0,0,0
g361031584053,467,34,197,99,39,42,13,43,0,0,0,0,0
g361031584071,504,70,224,78,57,10,48,17,0,0,0,0,0
g361031584072,559,111,175,125,35,45,12,0,56,0,0,0,0
g361031584073,326,0,45,144,58,0,13,15,38,13,0,0,0
g361031584074,509,19,231,114,91,0,0,0,54,0,0,0,0
g361031584081,782,72,210,196,48,33,18,152,53,0,0,0,0
g361031584082,662,50,169,172,41,42,50,56,47,23,12,0,0
g361031584091,477,19,82,33,45,9,13,124,136,0,16,0,0
g361031584092,727,109,296,168,106,33,10,0,5,0,0,0,0
g361031584093,221,0,82,45,54,15,0,25,0,0,0,0,0
g361031584101,735,168,275,219,59,0,0,14,0,0,0,0,0
g361031584102,742,158,270,147,80,0,31,32,24,0,0,0,0
g361031584103,467,17,239,128,0,0,15,0,68,0,0,0,0
g361031585021,539,61,30,191,39,36,22,26,80,54,0,0,0
g361031585022,271,0,76,82,29,35,27,22,0,0,0,0,0
g361031585023,870,0,47,0,18,18,8,224,438,65,9,43,0
g361031585051,771,0,272,208,42,74,88,60,27,0,0,0,0
g361031585052,310,43,87,92,27,24,27,0,0,0,0,10,0
g361031585053,347,22,0,11,7,0,6,170,104,8,19,0,0
g361031585061,570,67,139,106,83,53,28,7,69,0,5,0,13
g361031585062,278,33,82,36,35,26,25,29,8,0,0,4,0
g361031585071,270,0,89,58,50,48,8,8,0,0,9,0,0
g361031585072,369,20,115,100,88,12,24,0,0,10,0,0,0
g361031585073,538,47,134,136,75,0,98,9,30,0,9,0,0
g361031585081,401,55,87,35,77,72,75,0,0,0,0,0,0
g361031585082,457,28,119,81,63,0,45,121,0,0,0,0,0
g361031585083,407,5,115,164,39,84,0,0,0,0,0,0,0
g361031585084,280,7,58,107,11,25,0,7,65,0,0,0,0
g361031585085,331,20,117,84,59,17,34,0,0,0,0,0,0
g361031585091,454,0,115,75,79,61,17,74,33,0,0,0,0
g361031585092,465,7,162,81,89,24,15,0,45,37,5,0,0
g361031585093,701,48,103,62,0,21,25,198,181,63,0,0,0
g361031585101,929,89,195,136,198,63,7,82,159,0,0,0,0
g361031585102,467,0,160,57,53,104,23,0,70,0,0,0,0
g361031585103,449,14,135,51,135,16,33,21,22,7,15,0,0
g361031585104,485,0,190,97,85,46,52,0,15,0,0,0,0
g361031585111,561,33,176,112,51,27,63,41,58,0,0,0,0
g361031585112,788,89,237,157,59,84,76,20,66,0,0,0,0
g361031585113,676,42,215,126,102,73,61,38,11,0,8,0,0
g361031585121,634,10,232,157,81,110,40,0,4,0,0,0,0
g361031585122,434,0,151,102,104,34,23,9,11,0,0,0,0
g361031586041,441,0,153,68,76,54,51,9,30,0,0,0,0
g361031586042,281,0,110,50,26,34,33,28,0,0,0,0,0
g361031586043,795,18,195,227,97,107,90,10,51,0,0,0,0
g361031586051,828,45,193,203,179,89,74,28,0,17,0,0,0
g361031586052,758,28,249,107,163,74,54,14,62,7,0,0,0
g361031586061,586,84,123,150,104,67,41,0,0,17,0,0,0
g361031586062,361,12,136,55,62,9,31,0,56,0,0,0,0
g361031586063,495,0,152,64,52,102,6,6,62,0,41,0,10
g361031586071,684,42,166,149,29,71,22,81,92,23,9,0,0
g361031586072,396,5,111,111,88,17,10,19,24,11,0,0,0
g361031586081,241,29,43,10,0,16,0,38,51,46,8,0,0
g361031586082,412,18,107,79,40,55,0,8,96,9,0,0,0
g361031586083,562,21,243,40,47,117,27,31,26,10,0,0,0
g361031586091,635,28,206,90,54,73,87,59,38,0,0,0,0
g361031586092,466,0,192,47,58,76,62,0,31,0,0,0,0
g361031586093,339,43,119,23,12,40,8,9,85,0,0,0,0
g361031587041,646,0,129,81,45,48,0,51,226,16,50,0,0
g361031587042,545,0,96,65,10,27,18,200,129,0,0,0,0
g361031587043,669,90,403,62,46,30,17,0,21,0,0,0,0
g361031587044,1051,17,302,119,51,8,14,201,242,97,0,0,0
g361031587045,700,31,214,233,87,0,0,0,116,19,0,0,0
g361031587051,379,17,48,64,14,7,15,39,165,10,0,0,0
g361031587052,512,23,238,97,71,10,6,59,8,0,0,0,0
g361031587053,282,0,41,57,43,9,11,51,63,0,0,7,0
g361031587071,546,36,313,56,51,43,11,22,14,0,0,0,0
g361031587081,423,18,89,69,10,0,11,126,89,11,0,0,0
g361031587082,775,35,239,56,54,22,0,235,120,14,0,0,0
g361031587083,329,0,54,126,56,67,9,0,17,0,0,0,0
g361031587091,831,89,360,173,92,36,8,24,32,11,0,0,6
g361031587101,504,15,217,75,69,14,8,49,41,0,16,0,0
g361031587102,312,0,63,81,40,40,27,24,20,17,0,0,0
g361031587103,431,0,143,102,11,44,10,49,72,0,0,0,0
g361031587104,0,0,0,0,0,0,0,0,0,0,0,0,0
g361031587111,426,26,102,107,15,102,74,0,0,0,0,0,0
g361031587112,750,30,333,180,60,26,0,33,88,0,0,0,0
g361031587113,926,0,226,42,0,20,68,311,232,27,0,0,0
g361031587121,554,16,166,173,37,136,9,17,0,0,0,0,0
g361031587122,598,52,151,285,19,67,0,0,24,0,0,0,0
g361031587123,272,18,29,128,29,50,18,0,0,0,0,0,0
g361031587124,363,56,71,60,48,38,44,0,46,0,0,0,0
g361031587125,503,107,170,46,18,57,0,83,0,0,22,0,0
g361031588021,634,0,200,145,87,59,32,42,59,10,0,0,0
g361031588022,600,60,206,50,105,86,66,9,18,0,0,0,0
g361031588023,405,9,66,88,50,43,61,30,48,10,0,0,0
g361031588031,524,0,187,139,94,36,0,0,60,8,0,0,0
g361031588032,547,0,131,89,20,18,21,213,55,0,0,0,0
g361031588033,799,93,390,200,46,25,9,17,0,19,0,0,0
g361031588034,393,48,179,62,56,0,0,48,0,0,0,0,0
g361031588041,534,85,213,98,83,0,31,13,11,0,0,0,0
g361031588042,346,0,102,37,125,26,12,19,25,0,0,0,0
g361031588043,354,21,160,38,15,45,23,52,0,0,0,0,0
g361031588044,334,42,153,9,11,108,0,0,0,11,0,0,0
g361031588045,318,0,12,77,67,47,57,0,11,47,0,0,0
g361031588046,381,11,92,52,56,75,41,39,15,0,0,0,0
g361031589001,582,22,102,101,17,0,43,93,175,14,15,0,0
g361031589002,658,0,130,26,14,0,0,297,191,0,0,0,0
g361031589003,287,14,85,143,0,15,14,0,16,0,0,0,0
g361031589004,348,0,46,45,41,31,0,106,53,26,0,0,0
g361031589005,901,48,274,123,46,42,83,105,169,0,11,0,0
g361031590001,641,71,112,135,96,18,31,75,93,0,0,10,0
g361031590002,569,59,120,72,61,10,82,73,58,24,0,0,10
g361031590003,630,34,155,63,0,0,0,223,122,33,0,0,0
g361031591021,631,0,61,50,0,13,12,119,376,0,0,0,0
g361031591022,517,16,72,11,37,26,58,46,220,0,31,0,0
g361031591023,363,0,64,181,35,62,21,0,0,0,0,0,0
g361031591024,645,0,62,69,0,25,13,261,150,51,14,0,0
g361031591025,613,0,102,0,0,20,48,67,317,46,13,0,0
g361031591031,254,19,101,27,29,27,30,13,0,0,8,0,0
g361031591032,219,45,30,20,0,23,0,0,93,8,0,0,0
g361031591033,642,102,223,29,19,74,42,67,77,9,0,0,0
g361031591034,527,9,28,55,0,54,34,134,201,12,0,0,0
g361031591051,596,0,166,107,111,61,44,73,34,0,0,0,0
g361031591052,850,0,13,0,0,0,0,164,503,90,68,12,0
g361031591053,646,85,176,235,59,42,0,18,31,0,0,0,0
g361031591054,447,39,187,65,95,31,17,0,0,13,0,0,0
g361031591061,500,12,132,151,120,19,0,26,28,0,12,0,0
g361031591062,1071,24,107,86,73,51,0,438,292,0,0,0,0
g361031591063,394,33,184,73,36,43,0,0,25,0,0,0,0
g361031591071,409,39,144,111,47,42,26,0,0,0,0,0,0
g361031591072,306,0,160,29,39,39,33,6,0,0,0,0,0
g361031591073,450,0,165,107,38,73,33,0,0,7,27,0,0
g361031591081,216,0,56,54,19,52,9,26,0,0,0,0,0
g361031591082,1035,18,315,108,114,336,0,44,100,0,0,0,0
g361031591083,369,10,75,97,25,162,0,0,0,0,0,0,0
g361031591084,329,0,73,147,12,97,0,0,0,0,0,0,0
g361031591085,317,44,81,32,57,60,16,0,27,0,0,0,0
g361031592011,477,41,198,46,47,28,64,29,12,0,0,0,12
g361031592012,604,110,117,74,25,76,70,0,76,56,0,0,0
g361031592031,557,0,159,216,58,86,25,0,13,0,0,0,0
g361031592032,851,48,262,156,122,133,57,23,36,14,0,0,0
g361031592033,632,30,217,73,74,13,31,93,101,0,0,0,0
g361031592041,292,61,36,79,17,16,18,34,31,0,0,0,0
g361031592042,239,0,64,26,72,69,8,0,0,0,0,0,0
g361031592043,484,37,97,90,48,28,17,97,70,0,0,0,0
g361031592044,348,10,128,77,53,47,25,0,8,0,0,0,0
g361031593001,327,21,48,60,15,55,41,38,45,4,0,0,0
g361031593002,640,43,183,80,51,52,128,24,39,11,17,0,12
g361031594041,675,8,46,33,0,17,0,242,301,28,0,0,0
g361031594042,226,0,98,36,43,13,0,12,24,0,0,0,0
g361031594043,647,68,111,21,73,62,0,123,189,0,0,0,0
g361031594044,645,61,178,142,79,37,0,87,61,0,0,0,0
g361031594045,382,0,117,69,28,22,11,0,135,0,0,0,0
g361031594061,446,53,132,58,0,9,0,90,72,25,7,0,0
g361031594062,621,45,70,43,19,18,0,145,261,20,0,0,0
g361031594063,477,0,189,122,34,24,0,97,11,0,0,0,0
g361031594071,797,37,261,141,153,76,6,71,44,0,0,8,0
g361031594072,462,0,157,119,79,27,13,42,25,0,0,0,0
g361031594073,739,117,274,124,77,100,19,0,28,0,0,0,0
g361031594081,903,88,272,100,114,171,42,34,74,0,0,0,8
g361031594082,377,31,81,45,47,58,30,59,26,0,0,0,0
g361031594101,466,74,124,60,138,30,40,0,0,0,0,0,0
g361031594102,744,73,331,55,41,52,13,113,53,0,0,0,13
g361031594103,1387,84,862,356,0,14,0,55,16,0,0,0,0
g361031594111,588,13,178,136,105,144,0,12,0,0,0,0,0
g361031594112,447,55,144,72,93,34,0,22,27,0,0,0,0
g361031594121,260,12,152,68,14,14,0,0,0,0,0,0,0
g361031594122,826,32,428,229,15,0,10,19,52,41,0,0,0
g361031594123,1037,49,359,270,294,36,0,0,29,0,0,0,0
g361031594124,753,33,138,61,51,0,0,209,243,0,18,0,0
g361031595051,503,9,137,127,95,73,0,50,0,12,0,0,0
g361031595052,652,26,174,65,11,33,22,125,196,0,0,0,0
g361031595053,367,25,211,78,31,5,0,0,17,0,0,0,0
g361031595054,408,0,118,149,58,56,13,0,0,0,14,0,0
g361031595055,577,41,181,204,89,54,0,0,0,8,0,0,0
g361031595061,689,42,179,17,86,127,0,211,27,0,0,0,0
g361031595062,757,41,277,170,64,85,0,18,73,29,0,0,0
g361031595063,450,28,196,72,15,75,0,0,64,0,0,0,0
g361031595064,747,13,283,166,49,46,0,128,62,0,0,0,0
g361031595081,577,32,229,103,69,33,17,0,88,6,0,0,0
g361031595082,581,54,110,135,62,56,23,40,59,0,42,0,0
g361031595083,749,15,201,68,41,32,0,328,39,14,11,0,0
g361031595084,652,144,164,66,110,31,20,58,49,10,0,0,0
g361031595091,260,28,128,0,37,16,0,9,31,11,0,0,0
g361031595092,373,18,53,31,88,15,25,76,67,0,0,0,0
g361031595093,308,21,89,25,17,0,9,46,101,0,0,0,0
g361031595101,71,4,9,25,4,15,1,0,5,7,1,0,0
g361031595102,3,1,2,0,0,0,0,0,0,0,0,0,0
g361031595111,602,35,177,121,49,85,13,0,89,33,0,0,0
g361031595112,518,12,188,43,135,42,13,16,59,10,0,0,0
g361031595113,424,13,80,31,20,100,16,83,81,0,0,0,0
g361031595114,637,96,120,113,49,64,121,40,34,0,0,0,0
g361031595121,690,4,159,112,131,103,15,41,125,0,0,0,0
g361031596011,501,14,188,172,44,26,14,0,43,0,0,0,0
g361031596012,454,30,178,118,101,27,0,0,0,0,0,0,0
g361031596013,302,0,81,56,0,46,47,28,44,0,0,0,0
g361031596014,506,28,153,112,70,14,63,66,0,0,0,0,0
g361031596015,586,0,88,172,142,84,48,0,27,25,0,0,0
g361031596021,866,62,317,277,81,83,39,7,0,0,0,0,0
