GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031118032,43,22,36,36,22,28,27,11,26,11,11,11,11
g361031118041,35,39,49,45,29,35,33,29,16,7,11,11,11
g361031119001,63,34,53,52,40,49,26,18,11,11,11,11,11
g361031119002,82,11,77,43,28,45,35,17,11,11,11,11,11
g361031119003,67,35,33,48,19,11,17,72,15,11,14,11,11
g361031119004,74,31,53,79,34,29,28,13,11,11,11,11,11
g361031119005,74,20,64,49,12,30,21,44,47,11,11,11,11
g361031120011,88,21,85,52,29,47,35,11,37,25,11,11,11
g361031120012,107,50,88,56,81,49,55,69,62,11,11,11,16
g361031120021,92,34,79,51,24,53,38,77,60,13,11,11,11
g361031120022,57,21,42,34,43,44,35,19,15,11,11,11,11
g361031120023,71,31,66,36,23,28,41,36,20,11,11,11,11
g361031121021,79,34,85,85,66,38,45,31,11,11,11,11,11
g361031121022,77,57,50,66,32,39,12,37,11,11,11,11,11
g361031121031,65,11,56,48,35,13,35,11,11,11,11,11,12
g361031121032,81,25,55,75,46,40,45,11,11,11,11,11,11
g361031121033,87,17,60,62,20,26,31,74,37,11,11,11,11
g361031121041,43,32,67,60,29,24,26,11,56,11,11,11,11
g361031122041,52,19,47,55,42,40,23,11,11,11,11,11,11
g361031122042,59,11,70,37,31,33,31,47,11,11,11,17,10
g361031122043,61,46,71,44,35,25,29,11,14,19,11,11,11
g361031122061,163,89,126,62,19,11,11,148,77,44,11,11,11
g361031122062,115,49,95,65,11,35,30,11,97,11,11,11,11
g361031122063,140,61,125,101,123,33,44,39,24,32,11,11,11
g361031122064,61,38,27,25,23,34,40,11,11,11,11,11,11
g361031122101,101,11,84,80,45,28,54,11,11,11,11,11,11
g361031122102,99,30,84,75,99,74,36,11,11,30,11,11,11
g361031122103,121,11,88,110,66,11,11,52,74,22,11,11,11
g361031122104,136,50,70,124,41,57,11,83,11,11,11,11,11
g361031122111,94,47,80,67,30,32,25,11,60,11,11,11,11
g361031122112,85,7,62,59,37,25,45,30,11,11,11,11,11
g361031122113,62,23,51,41,12,28,33,6,11,11,11,11,11
g361031122121,67,17,43,28,54,21,41,11,11,11,11,11,11
g361031122122,64,47,69,74,33,41,32,38,35,11,11,11,11
g361031122131,76,33,76,81,37,41,20,20,38,11,11,11,11
g361031122132,66,11,42,53,48,37,33,43,11,11,11,11,11
g361031122133,79,44,67,61,12,33,25,11,11,11,11,11,11
g361031122141,96,26,72,68,26,11,19,36,11,11,11,11,11
g361031122142,115,32,109,117,65,57,29,23,11,11,21,11,21
g361031122143,160,90,118,24,40,10,27,71,43,11,11,11,11
g361031122144,68,30,60,67,32,19,17,11,11,11,11,11,11
g361031223001,83,30,56,58,24,27,14,52,78,11,11,11,11
g361031223002,84,44,85,94,24,31,40,60,59,17,11,11,11
g361031224031,63,7,44,35,39,21,31,48,42,7,11,11,11
g361031224032,59,21,42,30,29,7,17,25,41,7,22,11,11
g361031224041,68,17,66,52,58,36,39,40,48,11,11,11,11
g361031224042,72,26,57,55,34,22,33,11,36,11,11,11,11
g361031224051,64,31,69,60,22,28,22,44,51,24,17,11,11
g361031224052,53,34,38,33,21,14,21,11,11,11,11,11,11
g361031224061,108,39,51,36,52,11,44,45,50,35,11,11,11
g361031224062,96,31,57,52,11,28,20,41,78,11,11,13,11
g361031224063,98,47,73,54,41,47,20,16,48,11,11,11,11
g361031225011,78,22,59,44,11,17,16,51,56,11,11,17,11
g361031225012,83,11,66,37,30,21,32,47,61,11,18,11,11
g361031225013,85,41,29,45,32,33,43,55,57,34,11,11,11
