GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031461062,93,11,56,73,27,11,31,57,34,11,11,11,11
g361031462011,103,51,63,72,58,13,23,64,94,50,11,11,34
g361031462012,109,69,68,49,56,23,57,11,45,46,12,11,11
g361031462021,107,41,85,33,38,42,35,37,67,11,11,11,11
g361031462022,104,33,67,60,36,26,34,70,78,11,11,11,11
g361031462031,117,15,67,51,32,13,22,74,75,41,11,12,55
g361031462032,80,23,72,57,11,11,9,11,15,15,11,11,11
g361031462033,115,31,76,30,35,28,28,108,48,18,11,11,11
g361031462041,114,46,61,78,29,52,33,31,74,16,64,11,11
g361031462042,134,17,73,54,30,33,35,81,88,27,11,11,11
g361031462043,92,25,76,29,34,13,16,11,40,11,11,11,11
g361031462051,52,4,39,25,26,11,10,11,40,11,11,11,11
g361031462052,63,35,39,41,34,33,31,11,19,11,11,11,11
g361031462061,57,20,52,35,20,11,20,25,25,11,11,11,11
g361031462062,55,26,60,49,36,32,35,12,18,24,11,11,11
g361031463001,80,34,64,66,17,14,11,69,38,32,11,11,11
g361031463002,92,50,56,18,11,11,11,82,56,16,11,11,11
g361031464021,97,34,73,84,57,35,38,51,11,26,11,11,11
g361031464022,65,15,55,40,32,13,25,39,17,11,11,11,11
g361031464023,75,21,47,46,17,16,37,11,11,11,11,11,11
g361031464031,91,47,61,35,40,18,51,26,58,11,11,15,11
g361031464032,93,38,59,44,26,24,38,68,45,31,11,11,11
g361031464033,76,44,63,40,18,11,20,50,41,11,11,11,11
g361031464041,103,26,82,41,20,15,21,36,81,15,14,11,11
g361031464042,80,36,62,48,24,44,38,30,30,11,11,11,11
g361031465001,66,39,54,42,22,19,42,28,11,12,11,11,11
g361031465002,60,19,51,47,38,11,20,11,37,33,11,10,11
g361031465003,100,17,63,104,45,11,21,29,11,11,11,11,11
g361031465004,77,10,50,44,43,38,28,32,44,17,11,11,11
g361031466041,96,13,11,11,11,11,10,100,95,51,11,11,11
g361031466042,76,12,54,68,32,53,19,17,11,13,11,11,11
g361031466043,55,10,39,46,35,34,28,13,17,11,11,11,11
g361031466051,24,14,29,35,28,15,27,11,17,12,11,11,7
g361031466061,88,30,99,49,42,68,51,11,11,11,11,11,11
g361031466062,123,11,89,47,46,46,39,11,106,11,11,21,11
g361031466063,131,19,100,69,54,40,20,20,65,11,11,11,11
g361031466064,128,51,90,81,52,57,34,59,24,69,11,11,11
g361031466071,89,25,65,81,25,12,11,33,21,11,11,11,11
g361031466072,84,49,25,27,42,19,9,67,73,40,51,19,10
g361031466081,102,45,62,35,33,41,56,59,56,11,11,11,9
g361031466082,87,11,30,27,33,5,11,83,60,8,11,11,11
g361031466111,65,13,53,53,18,18,11,67,77,18,11,11,11
g361031466112,58,24,52,47,47,30,31,10,24,11,11,11,11
g361031466121,60,19,37,32,26,47,18,28,11,11,11,11,11
g361031466122,92,13,96,60,46,51,19,54,62,11,11,11,11
g361031466123,87,11,66,73,47,43,49,54,11,11,11,11,11
g361031466131,65,23,47,38,32,32,50,36,16,16,9,11,11
g361031466132,67,14,82,77,52,30,46,44,52,11,11,11,11
g361031466141,98,11,81,93,28,43,11,28,33,11,11,11,11
g361031466142,74,11,54,74,30,42,11,11,11,11,11,11,11
g361031466143,119,42,127,88,66,55,37,28,72,11,11,11,11
g361031466151,78,16,42,62,76,63,11,18,11,11,11,11,11
g361031466152,100,16,45,42,25,30,34,84,58,27,11,11,11
g361031466153,98,12,43,34,20,11,17,96,90,17,19,11,11
g361031467031,116,12,81,43,27,21,67,77,80,16,11,11,11
g361031467032,101,53,68,70,31,30,42,11,24,17,11,11,11
g361031467041,24,15,38,47,29,37,49,11,11,5,11,11,11
g361031467051,65,45,51,48,39,33,33,39,11,11,11,11,11
g361031467052,61,19,58,60,35,36,34,21,26,11,11,11,11
g361031467061,53,17,51,28,36,29,42,15,11,11,10,11,11
g361031467062,52,46,55,35,33,15,32,10,7,11,11,11,11
g361031468001,101,32,87,62,71,29,65,14,56,11,11,11,11
g361031468002,97,16,88,67,39,47,39,23,11,11,11,11,11
g361031468003,69,30,45,76,42,24,36,11,11,11,11,11,11
g361031468004,53,11,42,30,19,33,19,11,14,11,11,11,11
g361031469011,83,17,77,81,71,51,54,57,14,11,11,11,35
g361031469012,79,26,51,63,39,19,32,11,44,11,11,11,19
g361031469013,51,21,42,30,28,38,15,11,32,11,11,11,11
g361031469014,52,24,31,48,30,14,33,9,28,11,11,11,11
g361031469021,80,35,62,72,38,48,25,12,25,11,11,11,11
g361031469022,83,22,71,43,10,19,50,11,16,11,11,11,11
g361031469023,61,11,62,51,29,26,18,11,11,11,11,11,11
g361031470011,61,18,29,37,27,39,22,12,30,11,39,11,11
g361031470012,63,24,69,19,34,21,19,11,12,11,11,11,11
g361031470013,71,41,70,71,53,57,46,37,30,11,14,11,11
g361031470031,109,80,74,63,46,35,42,11,11,18,11,11,11
g361031470032,81,24,83,32,54,38,45,11,11,11,11,11,11
g361031470033,89,45,74,40,26,20,22,11,52,11,11,11,11
g361031470041,27,4,10,12,9,6,9,5,11,5,3,11,11
g361031471001,53,27,43,37,20,27,16,7,6,11,11,11,11
g361031471002,40,21,24,23,22,14,12,34,12,17,7,10,11
g361031471003,42,11,36,42,27,14,16,5,11,11,11,11,7
g361031472001,167,65,125,85,55,20,32,11,114,73,11,11,11
g361031472002,117,26,65,11,11,11,11,25,83,60,27,11,11
g361031472003,126,23,62,46,36,23,27,89,98,39,11,11,11
g361031472004,78,11,38,43,32,29,33,58,11,11,23,11,11
g361031472005,125,11,32,11,11,11,11,101,100,11,11,11,11
g361031473001,134,11,41,67,11,11,11,86,109,50,22,11,11
g361031473002,109,11,27,11,31,11,11,101,53,18,11,11,11
g361031473003,109,52,96,28,46,27,40,69,29,28,11,11,11
g361031473004,140,34,101,11,11,24,25,63,108,30,11,11,38
g361031473005,179,11,24,11,23,11,11,128,170,11,23,11,11
g361031473006,154,49,81,81,54,33,32,108,70,11,11,11,11
g361031474011,119,49,78,74,37,81,52,80,61,31,11,11,11
g361031474012,118,49,91,60,41,11,19,61,93,31,31,11,11
g361031474013,118,57,117,36,51,32,34,35,110,11,11,11,11
g361031474014,107,23,67,47,29,11,11,69,74,11,11,11,11
g361031474021,52,28,38,56,32,27,28,20,22,11,11,11,11
g361031474022,65,56,57,41,26,40,11,12,11,11,11,11,11
g361031474023,53,27,52,41,30,50,22,28,11,11,11,11,11
g361031475011,96,11,34,52,35,35,23,72,64,30,11,11,11
g361031475012,132,27,82,102,84,61,40,63,11,11,11,11,11
g361031475013,72,38,54,30,11,22,22,11,11,11,11,11,11
g361031475014,79,11,63,17,36,11,25,11,56,36,11,11,11
g361031475015,125,11,103,105,66,51,26,11,11,26,11,11,11
g361031475016,111,32,63,43,63,52,62,18,46,42,20,11,11
g361031475021,62,39,50,24,44,23,22,11,11,11,11,11,11
g361031475022,66,29,46,71,55,21,31,11,11,11,11,11,14
g361031475023,96,36,63,62,53,86,46,11,11,11,11,11,11
g361031475024,76,29,92,55,52,36,57,16,11,11,11,12,11
g361031475025,64,26,37,47,39,28,28,11,47,11,11,11,11
g361031475031,32,14,76,58,26,25,33,35,11,12,11,11,11
g361031476011,55,21,54,42,40,18,21,11,7,11,11,11,11
g361031476012,51,18,45,37,39,24,20,19,19,11,11,11,11
g361031476021,112,75,48,62,57,31,43,51,44,32,11,11,11
g361031476022,96,30,92,61,82,54,32,45,11,11,11,11,11
g361031476023,89,45,50,77,58,11,49,36,34,25,11,11,33
g361031476024,81,11,85,44,54,29,41,11,11,11,11,11,11
g361031477011,60,22,65,39,46,35,20,51,39,15,11,11,11
g361031477012,70,27,50,45,43,44,31,20,39,11,11,11,11
g361031477021,78,24,63,68,32,41,22,11,16,11,37,11,11
g361031477022,70,23,49,40,39,19,32,46,11,11,11,11,11
g361031477023,87,17,64,51,23,43,35,45,22,22,11,11,11
g361031477024,55,11,30,45,33,11,21,19,13,15,11,17,11
g361031478021,76,32,41,33,25,20,16,47,34,24,11,11,11
g361031478022,64,21,62,45,45,22,38,11,15,11,11,11,11
g361031478023,78,26,44,67,29,26,31,69,12,34,11,11,11
g361031478031,78,28,62,49,47,16,21,52,67,11,11,11,11
g361031478032,56,35,43,47,34,22,20,38,30,11,11,11,11
g361031478041,87,63,79,75,46,31,33,11,11,11,11,11,11
g361031478042,76,30,59,58,18,13,43,14,27,11,11,11,11
g361031478043,63,21,55,52,38,42,36,11,11,11,11,11,11
g361031478044,62,11,58,61,39,35,25,11,11,11,11,11,11
g361031479011,101,45,71,56,52,43,28,15,19,37,11,11,11
g361031479012,98,16,17,16,16,11,11,64,95,31,11,11,11
g361031479013,99,13,13,37,11,11,17,90,94,22,11,11,11
g361031479021,53,11,32,35,29,41,25,20,11,11,11,11,11
g361031479022,83,37,70,34,28,44,11,11,24,11,11,11,11
g361031479023,82,11,60,88,40,22,22,23,11,13,11,11,11
g361031479024,56,38,40,54,25,34,26,16,19,11,14,11,11
g361031580011,59,17,34,34,18,20,6,11,7,6,14,11,4
g361031580012,44,21,25,35,16,18,11,24,8,4,11,11,11
g361031580013,49,11,43,35,32,11,25,11,11,12,11,11,16
g361031580014,64,66,47,42,27,14,15,8,13,11,11,11,11
g361031580015,48,14,21,50,23,11,18,11,14,11,11,11,11
g361031580021,74,30,62,60,26,32,57,11,30,11,11,11,11
g361031580022,88,11,95,48,39,47,36,11,11,11,11,11,11
g361031580023,124,14,126,70,81,38,41,28,32,11,11,11,11
g361031580024,121,11,98,48,39,11,32,23,55,11,11,11,11
g361031580025,69,67,47,39,34,32,11,40,34,11,11,11,11
g361031580026,86,58,102,59,45,31,25,11,11,11,11,11,11
g361031580061,111,53,101,93,67,52,78,24,86,11,11,11,11
g361031580062,106,33,87,106,76,49,56,81,11,11,11,11,11
g361031580063,105,35,70,49,28,11,37,76,27,25,11,11,11
g361031580064,68,62,25,47,22,11,11,11,11,11,11,11,11
g361031580071,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031580072,11,11,14,6,11,11,11,11,11,5,11,11,11
g361031580073,13,11,11,13,11,11,11,11,11,11,11,11,11
g361031580074,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031580091,52,19,37,47,22,26,20,8,8,11,11,11,11
g361031580092,58,28,36,57,16,27,22,14,11,11,11,11,11
g361031580101,83,45,69,56,65,62,31,11,11,11,11,11,11
g361031580102,60,11,73,36,35,26,24,11,24,11,11,11,11
g361031580103,51,11,27,49,28,45,36,11,11,11,11,11,11
g361031580111,82,27,91,70,47,35,49,24,44,13,11,11,11
g361031580112,65,40,75,68,32,36,22,11,11,11,11,11,11
g361031580113,92,70,98,32,11,11,11,18,45,18,11,11,11
g361031581021,115,20,94,75,34,37,50,42,84,27,18,11,14
g361031581022,95,36,57,97,49,62,14,11,11,11,11,11,11
g361031581031,117,64,97,60,75,45,42,73,49,11,11,11,11
g361031581032,84,22,54,28,29,64,29,11,59,47,11,11,11
g361031581041,82,50,93,43,45,48,32,11,46,11,11,11,11
g361031581042,81,11,68,52,63,25,47,11,39,23,11,11,11
g361031581043,97,20,95,43,36,37,34,11,46,11,11,11,11
g361031581071,80,35,80,36,26,30,39,21,32,11,11,11,11
g361031581072,77,27,82,67,30,36,32,16,45,20,57,11,11
g361031581081,46,26,66,49,34,32,23,46,56,7,11,11,11
g361031581101,75,11,50,68,47,55,40,31,20,11,11,11,16
g361031581102,72,12,62,49,57,43,27,11,22,11,11,11,11
g361031581111,68,36,50,45,39,31,40,12,29,11,11,11,11
g361031581112,61,44,46,41,33,24,29,23,30,11,11,12,11
g361031581121,86,17,73,68,42,20,34,59,46,28,11,11,10
g361031581122,92,39,77,31,76,50,65,59,17,15,11,11,11
g361031581141,77,33,78,64,35,73,61,51,55,11,11,11,25
g361031581151,150,31,96,87,59,77,19,132,53,11,11,11,11
g361031581152,119,11,70,26,70,65,54,82,11,11,11,11,11
g361031581153,119,22,82,75,89,50,72,46,22,11,11,11,11
g361031581161,62,16,66,50,31,31,11,11,14,11,11,11,11
g361031581162,55,32,31,29,26,9,11,26,8,14,11,11,11
g361031582021,133,55,69,105,39,11,16,74,25,69,11,11,11
g361031582022,171,74,80,54,11,25,77,104,149,44,19,11,11
g361031582023,144,44,91,65,32,41,45,70,31,11,11,11,11
g361031582024,97,40,49,67,36,57,72,11,11,11,11,11,11
g361031582025,132,11,137,99,22,11,73,40,11,35,11,11,11
g361031582031,25,24,50,45,53,34,21,17,10,12,11,11,11
g361031582051,50,11,46,40,24,11,9,11,11,11,11,11,11
g361031582052,43,17,43,34,36,22,21,11,9,11,11,11,11
g361031582061,99,20,54,62,24,41,27,56,47,11,11,11,11
g361031582062,80,12,64,42,25,27,29,50,35,34,11,11,11
g361031582063,82,26,62,24,26,32,11,74,47,11,11,11,11
g361031582071,44,10,30,25,11,21,9,11,15,11,11,11,11
g361031582072,89,20,69,54,47,37,33,33,57,11,11,11,11
g361031582073,59,20,31,44,10,11,11,49,19,14,11,11,11
g361031582074,86,12,58,49,52,38,15,59,43,13,11,11,11
g361031583041,147,22,111,55,125,45,11,11,11,30,11,11,11
g361031583042,128,52,123,67,44,58,25,20,25,11,83,11,11
g361031583043,152,11,131,60,101,50,21,11,15,32,11,11,11
g361031583044,105,92,69,133,48,36,41,32,11,26,11,11,11
g361031583061,108,41,101,103,76,44,40,64,68,11,11,11,11
g361031583062,119,30,98,57,68,45,11,11,49,11,11,11,11
g361031583063,93,28,73,84,87,66,11,11,11,11,11,11,11
g361031583081,123,11,74,52,41,44,25,26,97,27,11,11,11
g361031583082,156,124,78,42,51,21,45,120,29,11,11,11,11
g361031583083,135,90,133,90,60,79,42,53,68,11,11,11,11
g361031583084,147,11,96,75,51,87,94,11,33,11,11,11,25
g361031583091,110,17,101,98,71,46,19,94,117,55,11,11,11
g361031583092,116,30,37,44,46,16,13,74,103,19,11,11,11
g361031583101,69,26,52,56,23,60,30,10,34,36,11,11,11
g361031583102,89,74,82,72,24,18,23,30,35,37,11,11,11
g361031583151,92,30,101,91,70,40,11,25,47,11,11,11,11
g361031583152,91,26,100,48,58,34,11,11,27,58,11,11,11
g361031583171,155,29,134,74,94,51,47,32,42,72,11,11,11
g361031583172,137,35,89,48,43,41,60,73,38,11,11,11,11
g361031583173,99,58,98,73,47,20,25,11,29,11,11,11,11
g361031583181,91,45,90,49,27,41,21,40,24,30,11,11,11
g361031583182,83,35,68,36,33,46,23,11,11,11,11,11,11
g361031583183,77,21,61,73,57,44,38,11,11,15,11,11,11
g361031583191,115,31,98,46,34,14,11,66,37,11,11,11,11
g361031583192,82,28,71,30,33,55,27,14,11,11,11,11,11
g361031583193,73,11,32,42,31,35,37,54,11,11,11,11,11
g361031583201,91,17,81,76,39,11,11,11,11,11,11,11,11
g361031583202,126,11,78,110,34,78,11,11,11,11,11,11,11
g361031583203,130,44,124,67,11,31,11,85,75,23,11,11,11
g361031583204,96,35,61,73,58,55,11,11,11,11,11,11,11
g361031583211,191,125,101,71,37,24,17,160,122,11,11,11,11
g361031583212,123,59,105,65,39,34,11,58,53,11,11,11,11
g361031583213,81,11,77,92,56,40,11,11,11,11,11,11,11
g361031583214,202,62,36,11,29,10,11,165,227,39,11,63,11
g361031583221,51,17,68,25,32,12,11,7,13,11,11,11,11
g361031583231,106,26,95,63,34,62,11,11,11,11,11,11,11
g361031583232,103,38,61,97,50,28,39,11,11,11,11,11,11
g361031583233,115,31,121,79,32,55,17,11,24,18,11,11,11
g361031583234,144,75,115,115,38,28,11,47,17,41,11,11,11
g361031584011,31,31,47,53,18,24,12,8,28,6,7,11,11
g361031584021,72,11,55,69,65,45,41,14,31,11,11,11,11
g361031584022,39,9,22,15,15,17,20,4,11,11,11,11,11
g361031584023,73,21,53,59,25,28,35,44,16,11,11,11,11
g361031584031,61,44,66,47,31,24,11,11,18,11,11,11,11
g361031584032,70,34,45,35,20,27,10,48,15,15,11,11,11
g361031584051,98,11,102,67,55,38,15,17,52,11,11,11,11
g361031584052,60,25,46,50,32,33,11,15,11,11,11,11,11
g361031584053,71,43,69,45,32,30,21,37,11,11,11,11,11
g361031584071,101,56,86,56,43,17,34,26,11,11,11,11,11
g361031584072,134,76,97,69,40,44,22,11,72,11,11,11,11
g361031584073,128,11,48,110,55,11,23,24,45,19,11,11,11
g361031584074,135,31,120,72,59,11,11,11,71,11,11,11,11
g361031584081,97,61,62,75,33,28,20,90,57,11,11,11,11
g361031584082,85,32,62,66,31,29,48,53,34,28,18,11,11
g361031584091,117,19,68,44,39,13,21,81,92,11,27,11,11
g361031584092,112,60,96,77,66,28,16,11,9,11,11,11,11
g361031584093,86,11,64,40,42,13,11,39,11,11,11,11,11
g361031584101,89,78,87,80,55,11,11,23,11,11,11,11,11
g361031584102,114,72,104,76,59,11,36,37,39,11,11,11,11
g361031584103,125,26,104,85,11,11,26,11,66,11,11,11,11
g361031585021,89,60,31,77,33,30,24,29,41,62,11,11,11
g361031585022,70,11,58,50,24,37,20,34,11,11,11,11,11
g361031585023,84,11,33,11,19,22,12,87,96,48,16,47,11
g361031585051,80,11,82,81,43,49,38,52,41,11,11,11,11
g361031585052,55,38,41,36,22,18,22,11,11,11,11,15,11
g361031585053,70,33,11,15,11,11,11,69,61,11,18,11,11
g361031585061,61,47,49,38,39,29,17,9,56,11,9,11,19
g361031585062,53,25,36,30,27,22,24,33,7,11,11,6,11
g361031585071,77,11,63,32,39,30,13,12,11,11,14,11,11
g361031585072,70,23,60,50,52,19,24,11,11,16,11,11,11
g361031585073,87,44,69,75,49,11,55,20,46,11,14,11,11
g361031585081,76,51,87,30,61,58,54,11,11,11,11,11,11
g361031585082,99,29,65,64,42,11,42,103,11,11,11,11,11
g361031585083,87,8,60,82,40,52,11,11,11,11,11,11,11
g361031585084,80,11,32,64,16,23,11,12,43,11,11,11,11
g361031585085,75,25,64,53,42,17,53,11,11,11,11,11,11
g361031585091,95,11,57,39,54,40,14,75,41,11,11,11,11
g361031585092,91,11,88,48,59,22,17,11,56,40,10,11,11
g361031585093,119,51,58,45,11,25,30,97,104,39,11,11,11
g361031585101,171,79,94,87,109,75,12,67,131,11,11,11,11
g361031585102,110,11,83,57,49,63,38,11,68,11,11,11,11
g361031585103,140,22,97,52,98,26,40,35,39,14,25,11,11
g361031585104,122,11,102,62,65,37,60,11,23,11,11,11,11
g361031585111,91,31,91,67,42,26,45,48,43,11,11,11,11
g361031585112,103,79,83,73,32,38,38,22,54,11,11,11,11
g361031585113,99,32,85,69,50,41,38,47,15,11,12,11,11
g361031585121,76,16,86,71,44,47,32,11,12,11,11,11,11
g361031585122,80,11,82,56,58,24,20,15,15,11,11,11,11
g361031586041,89,11,79,53,43,41,34,14,46,11,11,11,11
g361031586042,72,11,60,46,28,33,30,43,11,11,11,11,11
g361031586043,95,17,78,68,51,45,47,16,52,11,11,11,11
g361031586051,99,42,71,75,77,38,41,25,11,25,11,11,11
g361031586052,98,22,76,50,77,41,39,21,64,11,11,11,11
g361031586061,80,64,52,67,74,43,28,11,11,28,11,11,11
g361031586062,95,15,80,37,51,14,29,11,56,11,11,11,11
g361031586063,75,11,57,33,32,46,10,10,49,11,41,11,15
g361031586071,120,35,76,72,23,34,18,75,63,26,14,11,11
g361031586072,88,8,73,65,59,20,17,30,26,17,11,11,11
g361031586081,63,29,35,16,11,18,11,41,42,42,12,11,11
g361031586082,75,17,46,44,21,37,11,13,65,14,11,11,11
g361031586083,75,23,81,27,47,66,20,37,32,15,11,11,11
g361031586091,91,44,72,51,45,44,44,62,40,11,11,11,11
g361031586092,93,11,79,37,37,45,51,11,47,11,11,11,11
g361031586093,76,38,50,25,17,32,13,14,70,11,11,11,11
g361031587041,136,11,82,61,50,43,11,60,119,27,77,11,11
g361031587042,150,11,56,38,18,33,29,139,106,11,11,11,11
g361031587043,184,89,174,50,52,35,26,11,35,11,11,11,11
g361031587044,212,28,151,142,63,15,24,138,104,86,11,11,11
g361031587045,117,35,111,106,61,11,11,11,73,31,11,11,11
g361031587051,93,25,47,48,19,13,24,42,87,20,11,11,11
g361031587052,121,25,104,50,65,15,11,59,14,11,11,11,11
g361031587053,100,11,43,46,53,16,15,50,58,11,11,11,11
g361031587071,56,29,52,30,29,23,12,34,15,11,11,11,11
g361031587081,95,20,50,57,16,11,18,75,71,18,11,11,11
g361031587082,125,33,72,39,42,20,11,104,69,22,11,11,11
g361031587083,77,11,39,72,44,42,13,11,25,11,11,11,11
g361031587091,53,44,70,54,41,29,9,25,29,16,11,11,10
g361031587101,91,17,79,44,51,19,13,44,45,11,26,11,11
g361031587102,79,11,43,51,39,31,27,34,30,24,11,11,11
g361031587103,85,11,65,67,18,29,18,56,75,11,11,11,11
g361031587104,11,11,11,11,11,11,11,11,11,11,11,11,11
g361031587111,114,37,68,82,23,59,80,11,11,11,11,11,11
g361031587112,135,38,134,87,48,25,11,38,63,11,11,11,11
g361031587113,166,11,83,42,11,31,72,127,122,38,11,11,11
g361031587121,106,27,95,100,32,83,17,27,11,11,11,11,11
g361031587122,144,55,98,146,30,45,11,11,41,11,11,11,11
g361031587123,92,21,38,77,32,43,26,11,11,11,11,11,11
g361031587124,127,88,84,87,43,41,33,11,69,11,11,11,11
g361031587125,142,101,115,46,29,49,11,113,11,11,37,11,11
g361031588021,86,11,65,68,45,35,23,38,54,15,11,11,11
g361031588022,80,38,63,34,63,41,36,15,22,11,11,11,11
g361031588023,70,14,55,47,44,43,38,47,49,17,11,11,11
g361031588031,111,11,84,65,67,28,11,11,79,13,11,11,11
g361031588032,104,11,64,42,29,24,25,119,57,11,11,11,11
g361031588033,99,59,108,82,34,27,14,28,11,29,11,11,11
g361031588034,91,77,54,51,45,11,11,80,11,11,11,11,11
g361031588041,139,85,127,69,56,11,28,21,18,11,11,11,11
g361031588042,116,11,88,29,94,35,20,23,28,11,11,11,11
g361031588043,119,34,110,48,28,61,28,62,11,11,11,11,11
g361031588044,120,68,105,18,18,72,11,11,11,18,11,11,11
g361031588045,113,11,22,75,52,62,58,11,18,70,11,11,11
g361031588046,84,16,46,43,47,57,32,64,24,11,11,11,11
g361031589001,183,25,65,92,27,11,32,101,138,24,25,11,11
g361031589002,128,11,72,32,25,11,11,148,96,11,11,11,11
g361031589003,97,23,74,85,11,22,22,11,25,11,11,11,11
g361031589004,131,11,65,46,67,36,11,91,47,30,11,11,11
g361031589005,151,44,107,63,44,34,46,81,104,11,19,11,11
g361031590001,117,57,59,65,56,20,41,69,73,11,11,17,11
g361031590002,107,49,57,54,34,15,52,66,59,30,11,11,15
g361031590003,147,27,65,46,11,11,11,106,74,25,11,11,11
g361031591021,142,11,58,60,11,22,20,93,123,11,11,11,11
g361031591022,144,26,59,18,40,29,36,74,135,11,38,11,11
g361031591023,101,11,57,95,36,47,26,11,11,11,11,11,11
g361031591024,137,11,55,57,11,29,21,143,106,61,21,11,11
g361031591025,133,11,80,11,11,34,37,52,120,43,21,11,11
g361031591031,70,22,59,23,27,24,22,20,11,11,14,11,11
g361031591032,95,47,37,32,11,37,11,11,67,12,11,11,11
g361031591033,131,73,97,27,21,43,31,51,71,15,11,11,11
g361031591034,108,14,27,49,11,45,42,87,89,18,11,11,11
g361031591051,130,11,85,90,82,50,43,49,43,11,11,11,11
g361031591052,164,11,23,11,11,11,11,113,137,99,72,20,11
g361031591053,140,78,107,113,41,41,11,27,38,11,11,11,11
g361031591054,119,59,112,53,57,32,28,11,11,22,11,11,11
g361031591061,81,18,76,54,51,20,11,29,31,11,19,11,11
g361031591062,132,28,76,49,49,28,11,105,114,11,11,11,11
g361031591063,85,29,77,42,35,58,11,11,28,11,11,11,11
g361031591071,89,50,67,48,31,32,23,11,11,11,11,11,11
g361031591072,55,11,67,27,32,23,29,10,11,11,11,11,11
g361031591073,79,11,66,44,30,39,31,11,11,11,40,11,11
g361031591081,88,11,43,68,25,44,16,41,11,11,11,11,11
g361031591082,144,25,148,62,68,115,11,43,64,11,11,11,11
g361031591083,80,16,56,86,24,85,11,11,11,11,11,11,11
g361031591084,95,11,62,86,20,72,11,11,11,11,11,11,11
g361031591085,93,56,65,29,39,46,18,11,45,11,11,11,11
g361031592011,85,54,80,32,63,26,40,32,19,11,11,11,18
g361031592012,97,90,60,51,24,53,40,11,69,61,11,11,11
g361031592031,120,11,86,102,55,52,29,11,21,11,11,11,11
g361031592032,132,60,102,75,65,83,43,37,59,23,11,11,11
g361031592033,136,34,105,62,62,21,36,79,100,11,11,11,11
g361031592041,79,64,35,41,22,17,21,13,48,11,11,11,11
g361031592042,70,11,40,25,46,40,11,11,11,11,11,11,11
g361031592043,104,37,55,50,36,24,18,69,64,11,11,11,11
g361031592044,65,17,57,54,34,33,23,11,13,11,11,11,11
g361031593001,71,15,33,33,14,24,30,38,38,5,11,11,11
g361031593002,60,26,51,31,21,25,40,24,25,12,27,11,12
g361031594041,168,19,46,22,11,26,11,152,127,33,11,11,11
g361031594042,77,11,65,43,42,22,11,22,39,11,11,11,11
g361031594043,210,102,78,39,73,49,11,124,174,11,11,11,11
g361031594044,152,97,114,103,58,41,11,93,71,11,11,11,11
g361031594045,167,11,97,57,38,27,17,11,109,11,11,11,11
g361031594061,96,44,58,41,11,15,11,54,52,24,11,11,11
g361031594062,118,71,40,31,21,21,11,87,89,33,11,11,11
g361031594063,97,11,69,50,40,23,11,83,16,11,11,11,11
g361031594071,113,28,83,54,106,41,11,61,44,11,11,12,11
g361031594072,89,11,65,55,49,34,16,40,40,11,11,11,11
g361031594073,122,80,101,65,68,62,17,11,30,11,11,11,11
g361031594081,84,64,88,48,58,72,29,36,64,11,11,11,13
g361031594082,79,30,46,25,41,47,46,60,40,11,11,11,11
g361031594101,138,91,92,55,105,35,63,11,11,11,11,11,11
g361031594102,113,53,127,53,38,45,21,89,60,11,11,11,21
g361031594103,141,53,162,129,16,23,16,62,25,16,16,16,16
g361031594111,103,16,67,60,57,77,11,17,11,11,11,11,11
g361031594112,96,42,55,54,53,21,11,37,26,11,11,11,11
g361031594121,90,19,75,55,23,23,11,11,11,11,11,11,11
g361031594122,147,35,156,75,25,11,18,29,82,62,11,11,11
g361031594123,158,42,111,94,131,36,11,11,34,11,11,11,11
g361031594124,140,53,99,49,37,11,11,111,110,11,29,11,11
g361031595051,134,14,85,98,77,55,11,59,11,21,11,11,11
g361031595052,169,32,96,52,18,44,33,127,137,11,11,11,11
g361031595053,96,36,75,56,31,17,11,11,27,11,11,11,11
g361031595054,132,11,63,111,53,50,22,11,11,11,22,11,11
g361031595055,153,38,134,112,58,72,11,11,11,15,11,11,11
g361031595061,135,45,103,26,63,87,11,160,40,11,11,11,11
g361031595062,157,39,96,113,44,80,11,28,82,31,11,11,11
g361031595063,116,32,88,53,23,57,11,11,78,11,11,11,11
g361031595064,143,22,106,122,45,34,11,110,79,11,11,11,11
g361031595081,127,50,108,66,56,31,28,11,70,12,11,11,11
g361031595082,152,86,79,95,60,42,28,61,43,11,66,11,11
g361031595083,198,24,118,46,40,29,11,191,44,22,18,11,11
g361031595084,196,133,118,72,70,29,24,59,79,17,11,11,11
g361031595091,99,46,77,11,30,20,11,14,34,16,11,11,11
g361031595092,107,21,33,27,52,16,29,67,60,11,11,11,11
g361031595093,97,28,54,25,21,11,14,48,81,11,11,11,11
g361031595101,26,3,6,18,4,13,3,11,6,9,3,11,11
g361031595102,5,3,4,11,11,11,11,11,11,11,11,11,11
g361031595111,128,40,105,97,48,69,20,11,78,52,11,11,11
g361031595112,117,10,96,27,78,33,10,15,58,15,11,11,11
g361031595113,155,21,69,40,30,77,29,97,88,11,11,11,11
g361031595114,153,104,75,83,47,56,128,64,51,11,11,11,11
g361031595121,80,7,53,52,47,53,15,48,68,11,11,11,11
