GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031237021,140,40,101,123,150,97,11,11,26,11,140,140,36,114,11,11,11,11,11,905,613,28,975,122,140,117,156,11,95,11,11,129,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,31,43,112,83,11,11,25,903,59,26,117,572,364,63,650,140,39,97,90,18,25,63,99,128,11,11,11,11
g361031237022,138,81,41,90,117,95,79,20,67,11,138,149,72,108,67,11,11,11,33,483,286,170,435,75,166,155,91,11,113,74,11,150,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,19,64,60,144,96,27,11,11,11,483,158,56,220,11,33,11,434,166,25,132,84,64,44,36,67,84,65,11,11,11
g361031237023,97,61,29,72,83,11,41,20,11,11,97,92,11,39,11,23,11,11,11,421,263,21,379,61,99,83,85,11,92,21,11,94,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,57,72,46,36,14,11,11,421,11,11,23,39,387,33,283,99,55,56,51,42,18,74,74,23,23,11,11,11
g361031237024,146,11,41,128,126,33,56,11,11,11,146,157,11,60,44,11,11,40,11,557,469,406,167,151,143,145,100,40,94,25,11,136,11,11,11,11,20,11,11,11,11,11,11,11,19,11,11,11,23,96,72,92,30,11,11,11,557,61,185,403,220,125,69,421,143,11,47,76,99,44,94,114,84,52,11,11,11
g361031238011,87,42,72,70,63,12,11,11,11,11,87,84,11,14,35,12,11,11,14,249,232,32,175,49,80,77,19,23,62,57,11,72,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,31,52,61,28,15,11,249,11,63,11,13,11,11,271,80,14,72,45,32,28,34,36,11,15,11,11,11
g361031238012,89,33,73,60,52,15,19,11,11,11,89,93,11,26,11,11,11,11,11,477,477,11,21,11,83,70,52,37,37,43,11,80,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,19,18,84,11,11,12,11,477,49,37,14,13,4,15,472,83,14,41,30,52,16,46,39,31,11,11,11,11
g361031238013,104,27,68,68,52,105,41,20,11,11,104,112,43,55,19,36,19,22,19,462,383,273,79,21,111,81,70,49,60,97,14,89,13,11,11,11,11,11,11,17,11,11,11,11,11,11,11,23,12,26,60,52,64,31,14,19,460,20,72,79,79,52,11,452,111,21,52,47,48,65,25,50,79,11,11,11,11
g361031238021,98,67,44,88,89,60,22,11,11,11,98,113,24,80,11,11,11,11,11,267,246,11,73,11,106,91,39,16,115,44,11,116,11,11,11,11,17,11,11,11,11,11,17,11,11,11,11,11,11,37,48,107,20,60,11,11,267,117,16,21,48,82,60,253,106,10,75,48,65,63,88,55,11,34,11,11,11
g361031238022,106,32,43,114,69,59,16,26,66,11,106,115,19,26,11,11,11,11,11,349,307,38,152,11,106,102,84,29,80,11,11,111,29,11,11,11,11,11,11,11,11,11,19,11,9,11,11,11,12,29,74,82,97,45,29,11,349,11,68,11,42,82,17,359,106,38,94,82,49,59,28,22,25,19,18,11,11
g361031239001,91,87,12,64,20,69,11,11,43,11,91,84,40,58,11,16,11,14,15,348,291,54,263,11,94,91,70,40,64,16,11,77,11,11,11,11,11,11,22,11,16,11,11,11,11,11,11,11,11,52,22,65,23,18,14,11,344,50,94,54,56,40,105,307,94,14,81,33,27,28,22,66,67,11,24,11,11
g361031239002,65,56,30,62,41,19,11,11,13,11,65,66,11,29,11,11,11,11,11,208,202,11,91,29,57,65,19,13,34,49,14,59,11,11,14,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,33,56,30,11,11,11,208,14,13,16,11,26,19,216,57,11,62,46,26,19,24,11,23,11,11,11,11
g361031239003,61,13,11,55,28,40,11,11,8,11,61,65,8,15,11,11,11,11,11,212,200,17,120,27,61,70,25,11,15,11,11,63,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,21,14,26,65,14,8,11,14,212,124,15,11,47,20,60,201,61,11,14,55,37,40,20,11,11,11,15,11,11
g361031239004,99,11,38,108,25,24,13,26,30,11,99,107,11,59,11,11,11,11,11,445,290,330,236,143,99,90,64,11,69,49,11,81,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,26,30,74,43,11,11,11,445,12,37,11,70,326,127,399,99,24,55,41,63,23,59,71,49,35,11,11,11
g361031239005,61,11,13,61,11,11,13,11,10,11,61,62,13,11,11,11,11,11,11,164,164,11,11,11,39,36,33,11,25,55,11,39,13,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,16,26,30,27,11,11,11,164,11,23,11,11,13,80,138,39,14,21,24,14,24,31,11,11,11,11,11,11
g361031240011,109,22,39,112,76,40,11,11,17,11,109,111,11,90,11,11,11,11,11,424,388,11,343,94,101,109,69,57,40,59,11,90,9,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,17,9,54,99,44,64,11,11,424,13,174,22,85,44,11,468,101,73,58,68,54,20,50,72,59,11,11,16,11
g361031240012,98,64,39,81,50,44,39,11,17,11,98,86,11,89,11,11,11,11,11,361,316,143,200,50,102,100,53,10,70,45,11,92,11,11,11,11,22,11,11,11,11,16,11,11,15,11,9,11,11,20,41,90,48,11,11,11,361,106,25,33,61,248,11,347,102,20,48,67,40,27,47,41,69,14,27,11,12
g361031240013,74,34,17,65,19,10,37,11,11,11,74,42,11,64,19,11,11,11,11,117,100,17,57,11,48,29,34,15,34,61,11,41,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,22,24,21,11,11,16,117,49,11,11,11,12,11,111,48,11,21,16,16,27,25,22,21,10,11,11,11
g361031240021,64,25,34,74,56,28,29,53,11,11,64,73,31,17,11,11,11,11,11,274,279,25,211,15,69,74,60,32,31,44,11,72,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,55,61,54,26,19,11,274,54,84,147,173,18,163,265,69,16,70,44,45,35,32,23,16,15,11,11,11
g361031240022,62,41,61,95,68,54,16,11,11,11,62,71,19,54,11,11,11,11,11,299,317,11,99,16,62,81,74,48,60,11,11,77,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,41,89,51,18,11,11,299,11,16,20,48,72,85,317,62,19,57,62,51,56,67,54,54,16,11,11,11
g361031241011,107,110,50,87,67,34,72,13,18,11,107,113,22,84,11,11,11,11,11,538,485,2,162,11,119,114,40,43,76,61,11,113,16,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,31,42,107,73,30,11,11,538,27,38,74,53,14,8,562,119,31,95,57,79,43,27,56,53,46,19,11,11
g361031241012,89,53,27,86,41,31,11,31,11,11,89,91,16,36,11,11,31,38,14,347,359,11,168,11,89,65,75,11,42,11,11,98,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,19,87,50,41,11,11,11,347,11,62,11,11,150,183,309,89,23,71,37,58,34,30,40,35,11,11,15,11
g361031241013,91,35,11,45,96,35,19,26,50,11,91,95,11,42,40,11,11,11,19,414,427,18,229,11,89,100,44,15,35,38,11,82,11,11,11,11,11,11,11,27,11,11,11,11,11,11,11,12,11,24,17,84,45,32,11,11,414,82,11,27,31,64,11,404,89,20,83,38,30,25,44,23,40,25,11,11,11
g361031241021,94,69,49,79,48,22,56,11,26,11,94,95,16,68,45,26,11,11,11,309,292,11,57,11,94,89,45,28,56,65,11,95,11,11,11,11,11,11,11,16,18,11,11,11,11,11,11,11,11,17,71,79,36,19,11,18,309,108,22,11,30,29,16,319,94,11,92,44,32,22,42,39,46,15,11,11,11
g361031241022,86,64,61,72,57,15,7,19,73,11,86,92,33,37,11,11,11,32,11,422,328,11,301,11,83,78,56,9,34,68,11,92,12,11,11,11,11,11,11,11,11,11,11,11,11,11,27,11,11,16,47,71,29,71,11,24,422,285,37,13,11,49,11,314,83,12,79,74,53,33,39,35,32,11,11,11,10
g361031242001,151,37,41,140,43,23,21,13,11,11,151,74,11,116,11,11,11,11,11,451,282,11,246,11,151,70,118,28,54,11,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,23,49,68,45,11,11,11,451,11,41,11,110,28,11,446,151,20,50,60,46,32,11,116,11,26,11,11,11
g361031242002,120,23,19,96,67,33,15,81,56,24,120,92,38,95,11,11,26,11,41,289,289,11,11,11,98,67,41,42,78,103,11,99,24,11,11,11,11,28,28,11,11,11,11,11,11,11,11,11,11,41,27,87,16,29,11,11,289,53,39,28,36,11,81,247,98,49,87,46,11,34,27,11,44,11,11,11,11
g361031242003,122,62,28,38,82,11,11,11,117,11,122,71,11,83,11,117,11,11,11,252,237,34,88,2,125,45,33,11,111,71,11,62,11,11,11,11,11,20,11,11,11,11,11,11,37,11,11,11,11,23,11,43,11,11,11,11,253,5,81,11,80,50,11,234,125,28,44,11,35,11,22,26,88,33,11,11,80
g361031242004,146,24,76,117,86,60,12,31,91,11,146,140,47,30,95,11,11,11,11,478,446,11,104,12,146,142,99,30,106,11,11,152,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,35,50,93,76,87,11,11,478,30,11,11,11,23,11,483,146,35,66,109,69,19,74,118,30,11,11,11,10
g361031242005,210,66,11,146,102,89,25,11,11,11,210,194,11,107,11,11,11,11,11,519,377,11,255,230,168,103,127,20,79,127,11,144,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,123,98,20,11,28,519,81,11,11,49,136,11,525,168,70,118,40,31,18,25,75,80,11,11,11,11
g361031243001,106,66,64,82,45,22,11,26,23,11,106,109,21,29,11,11,11,11,11,396,353,11,123,217,106,96,67,76,43,11,11,93,11,11,11,11,11,11,11,11,11,28,11,11,11,25,11,11,11,25,11,77,56,11,11,11,379,11,102,11,11,137,11,342,106,11,47,44,36,68,37,102,11,11,11,11,11
g361031243002,136,79,20,102,84,65,91,16,11,11,136,124,79,25,39,11,18,20,41,383,240,33,237,241,136,125,91,36,84,11,11,123,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,27,81,91,63,11,11,11,383,36,33,24,11,300,145,307,136,66,73,94,42,30,28,56,96,50,11,11,11
g361031243003,125,114,30,47,54,12,88,57,45,11,125,103,22,47,44,24,31,27,95,334,326,75,25,11,125,114,45,41,98,11,11,93,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,92,55,48,18,11,11,328,79,63,29,24,23,62,322,125,27,33,84,65,36,11,58,104,47,11,11,11
g361031243004,111,28,25,115,63,44,12,24,19,11,111,113,11,44,11,11,11,11,11,426,420,11,113,11,111,75,85,11,79,11,11,113,11,11,11,11,11,22,11,11,11,11,11,11,11,11,11,11,11,11,84,102,45,11,11,11,426,74,59,11,56,11,11,450,111,16,54,96,57,47,72,11,27,11,11,11,11
g361031243005,88,70,20,22,29,90,38,29,11,11,88,24,65,29,31,80,11,18,51,212,204,6,6,28,64,71,32,15,29,73,11,70,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,33,27,69,18,11,11,11,11,11,207,51,91,11,11,11,11,197,64,18,61,33,11,11,18,42,41,22,11,11,11
g361031244011,93,11,11,46,68,80,53,34,13,11,93,14,37,88,61,26,65,24,24,186,185,14,15,11,94,36,59,33,86,67,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,186,11,26,11,39,11,11,184,94,11,11,11,11,11,11,91,49,43,15,11,11
g361031244012,94,19,18,22,78,79,20,47,11,21,94,92,11,23,11,11,11,21,45,293,288,40,36,11,87,81,26,10,45,58,11,60,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,24,28,58,11,15,293,13,21,11,57,25,43,297,87,55,42,20,32,33,12,61,11,11,11,11,11
g361031244013,102,34,50,83,93,26,21,21,17,11,102,90,71,62,50,16,21,16,19,400,368,21,234,72,100,95,70,60,62,13,11,94,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,14,30,50,77,41,20,11,11,340,74,49,57,32,60,73,354,100,34,83,38,34,29,35,52,80,21,11,11,11
g361031244021,76,20,58,67,53,43,22,9,15,11,76,89,11,53,11,11,11,11,11,238,243,11,38,19,76,53,64,8,47,11,11,83,13,11,11,14,15,11,11,11,11,11,11,11,11,11,23,11,11,38,58,79,23,47,11,11,241,11,18,11,11,16,139,245,76,27,59,67,30,47,39,11,40,11,11,11,11
g361031244022,98,64,41,76,47,47,11,14,9,11,98,81,14,84,11,11,11,11,11,320,321,11,17,11,91,68,74,22,51,45,11,77,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,14,23,80,50,11,17,11,320,31,16,15,15,11,11,318,91,44,39,47,39,54,32,11,11,11,64,11,11
g361031244023,105,75,42,76,3,58,91,11,48,11,105,106,11,11,11,13,11,11,11,286,286,11,11,11,113,109,11,3,58,85,77,113,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,42,91,93,16,286,11,3,11,11,11,11,286,113,11,94,64,80,15,10,3,11,11,11,11,11
g361031245001,74,71,43,39,24,26,11,11,11,11,74,74,11,11,11,11,11,11,11,286,271,39,140,13,74,51,42,18,59,11,11,55,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,16,26,55,41,13,11,286,18,11,87,11,11,11,285,74,17,34,49,31,24,31,16,58,14,11,11,11
g361031245002,75,71,19,47,13,16,11,11,52,11,75,67,42,28,46,11,11,11,11,210,201,11,73,11,75,67,50,68,34,11,11,65,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,15,57,49,11,11,210,15,84,11,30,16,15,203,75,10,33,53,38,25,22,15,71,14,14,15,11
g361031245003,109,32,60,38,78,46,53,24,23,11,109,53,39,62,53,11,13,67,18,474,222,11,32,72,109,65,30,42,98,11,11,67,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,42,33,49,21,11,11,474,19,5,3,11,4,14,476,109,16,55,46,28,11,28,66,60,53,11,11,11
g361031245004,89,59,50,47,48,31,30,23,55,46,89,88,11,16,11,11,11,11,11,411,263,29,317,267,89,81,46,13,53,11,11,91,11,11,11,11,11,11,13,11,11,11,11,11,11,11,14,11,11,16,19,76,49,58,11,11,411,19,67,311,11,154,15,255,89,52,81,46,37,30,34,16,12,11,11,11,47
g361031246011,54,28,37,50,66,13,11,7,14,16,54,59,11,11,23,11,6,11,11,164,183,54,72,11,56,48,29,16,40,30,11,60,11,6,11,9,11,7,11,11,17,11,11,11,11,11,11,10,11,21,20,52,46,11,11,11,164,17,24,22,9,56,11,167,56,44,55,39,19,32,20,25,11,9,11,11,11
g361031246012,48,19,29,37,26,17,20,11,23,11,48,44,16,11,11,11,11,11,11,182,184,11,24,14,50,46,19,25,24,10,11,49,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,9,36,39,34,19,23,181,13,11,25,10,46,11,182,50,18,37,28,33,27,20,14,10,11,11,11,11
g361031246013,52,15,15,43,23,21,33,11,10,10,52,52,11,11,11,11,11,11,11,167,164,11,32,11,45,45,18,9,18,32,11,45,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,31,26,31,16,25,167,11,10,12,11,8,11,167,45,12,29,31,18,34,21,11,9,11,11,11,11
g361031246021,53,49,11,31,16,28,11,11,47,11,53,49,11,21,19,23,11,11,11,178,180,11,19,11,53,57,11,26,35,11,11,46,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,17,26,30,19,12,44,178,4,4,33,9,4,11,166,53,49,31,19,30,21,21,21,28,11,18,11,11
g361031246022,96,87,75,46,20,69,13,13,11,11,96,71,11,56,24,56,20,27,11,233,226,11,90,65,97,77,43,43,68,61,11,77,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,49,54,48,29,17,233,56,18,66,11,11,11,214,97,42,24,28,39,50,35,37,81,26,11,11,11
g361031246023,96,68,70,58,57,30,11,26,17,11,96,94,11,11,11,11,11,45,11,213,204,16,55,66,95,82,32,57,56,71,11,78,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,57,35,47,64,27,17,218,12,20,48,11,15,6,211,95,43,50,74,43,33,26,48,44,11,11,11,11
g361031246024,82,76,21,22,11,54,36,14,11,11,82,60,43,30,55,59,20,17,18,185,167,70,109,11,82,61,33,59,66,11,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,10,50,14,11,54,11,185,42,69,11,76,19,60,160,82,21,27,34,62,22,11,61,60,25,24,11,18
g361031347021,136,90,98,94,45,61,35,65,20,11,136,137,27,11,49,11,11,11,11,565,463,11,252,37,131,127,88,27,56,71,71,123,11,11,11,11,11,11,11,11,11,11,11,11,11,27,11,11,11,24,77,109,91,11,20,11,565,11,201,32,69,27,50,531,131,11,66,103,63,47,93,57,27,11,11,11,11
g361031347022,146,61,47,131,89,11,95,38,47,11,146,122,97,58,11,11,11,11,11,482,458,68,28,266,146,142,103,29,72,11,11,136,11,11,11,11,11,18,22,11,11,11,11,11,11,25,11,11,11,19,11,123,96,52,37,11,482,11,11,11,29,34,11,483,146,38,126,86,89,40,77,91,19,57,11,26,11
g361031347023,118,26,83,21,93,89,75,82,11,11,118,88,83,28,53,91,71,11,59,179,179,11,11,11,116,82,29,11,106,81,77,29,11,20,11,11,11,11,11,11,11,11,11,11,11,11,11,21,11,11,11,11,11,11,11,11,179,33,123,37,49,25,11,179,116,11,29,11,11,11,11,78,121,37,11,83,11
g361031347024,67,39,11,73,37,11,29,11,11,11,67,61,11,36,30,11,11,11,11,210,198,11,101,11,67,68,23,30,60,11,11,67,11,11,11,11,11,20,11,11,11,11,11,11,11,11,11,11,11,21,26,48,54,42,24,11,210,11,32,48,24,26,52,240,67,29,48,39,34,29,60,11,30,23,11,11,11
g361031347031,59,20,11,22,32,57,61,39,13,11,59,50,11,55,11,11,15,11,11,283,274,11,19,59,58,50,54,13,13,15,15,58,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,55,48,63,283,11,11,11,11,11,11,283,58,20,58,38,62,12,18,11,11,11,11,11,11
g361031347032,66,23,25,42,49,36,29,29,40,14,66,66,11,11,11,11,11,11,11,247,217,11,113,11,70,68,21,17,51,14,11,70,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,44,33,53,53,35,247,29,11,11,105,40,38,238,70,25,68,59,26,23,25,11,11,11,11,11,11
g361031347033,68,11,22,43,40,58,38,33,38,11,68,72,11,43,11,11,11,11,11,312,302,11,22,107,68,79,14,11,32,11,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,23,14,49,57,31,312,61,11,16,11,11,11,315,68,42,52,42,36,25,20,50,38,11,11,11,11
g361031347034,48,44,11,38,29,34,13,11,11,12,48,48,11,11,11,11,11,11,11,171,163,11,49,11,48,53,24,11,22,11,11,48,11,11,11,11,11,11,11,11,11,11,44,11,11,11,11,11,11,11,11,21,15,41,44,12,171,11,11,11,15,28,11,170,48,21,33,30,52,36,15,11,11,11,11,11,11
g361031347041,55,41,13,32,24,53,34,18,40,11,55,58,11,11,11,11,11,11,11,220,215,13,23,19,53,62,29,8,26,21,21,58,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,17,22,11,11,40,41,67,10,11,220,11,81,8,11,8,11,219,53,30,52,52,35,32,15,26,11,11,11,11,11
g361031347042,54,33,33,34,41,48,33,24,21,11,54,48,23,43,49,25,34,11,9,233,171,6,11,148,60,50,34,11,48,49,25,59,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,12,17,35,16,27,32,23,24,11,216,78,24,48,48,13,122,155,60,8,41,47,22,15,12,32,27,9,11,11,11
g361031349021,72,10,16,55,59,60,18,11,15,11,72,72,13,11,11,11,11,11,11,234,235,11,34,11,75,78,34,32,46,42,11,69,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,49,44,58,19,11,234,98,35,31,11,11,11,226,75,37,52,54,31,23,28,48,11,11,15,11,11
g361031349022,49,35,14,36,39,42,40,18,21,11,49,52,11,11,11,11,9,11,11,232,246,11,61,17,49,55,18,26,22,11,11,49,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,33,44,48,35,232,123,48,11,11,28,23,238,49,20,41,50,31,20,33,11,11,11,11,11,11
g361031349023,82,32,27,68,100,41,38,26,11,11,82,84,28,11,35,11,11,11,11,495,498,30,81,50,91,92,54,24,73,42,13,93,14,11,11,17,11,11,11,11,11,11,14,11,11,11,11,14,11,23,11,67,70,93,11,14,325,11,176,13,47,11,11,316,91,21,82,70,38,36,58,9,36,11,11,11,11
g361031349031,18,11,33,50,50,11,18,19,7,11,18,33,11,32,11,11,11,11,11,108,153,174,85,11,18,45,49,24,33,11,11,52,6,11,11,11,11,11,11,11,11,33,11,11,11,11,18,11,11,11,7,19,36,43,10,11,108,33,41,6,7,17,23,126,18,24,39,39,19,15,24,35,46,11,11,11,11
g361031349041,92,36,41,90,45,36,11,11,11,11,92,104,59,11,11,30,11,11,11,437,442,11,11,138,92,94,43,11,39,11,11,94,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,76,93,24,11,11,437,11,11,11,11,24,360,369,92,35,49,69,47,60,74,30,11,11,11,11,11
g361031349042,91,53,11,71,73,31,57,31,11,11,91,91,11,11,11,11,11,11,11,501,346,14,80,421,92,102,30,11,31,18,11,92,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,29,80,66,38,61,472,11,11,57,11,11,11,476,92,68,50,89,43,41,65,11,11,11,11,11,11
g361031349043,95,17,13,41,55,40,27,25,17,11,95,88,11,24,11,11,11,11,32,397,348,66,70,41,89,78,30,5,21,35,11,88,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,27,51,64,15,11,397,37,28,17,11,32,11,380,89,31,65,40,27,23,16,23,16,14,11,11,11
g361031349044,95,29,69,40,128,93,24,25,26,11,95,95,32,65,60,89,76,11,11,225,241,11,105,25,94,73,30,76,113,66,11,80,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,72,43,58,11,26,225,98,11,24,60,74,24,187,94,25,81,59,29,38,27,111,68,11,19,11,11
g361031349061,99,11,11,52,102,32,43,41,11,11,99,83,63,15,20,11,11,11,22,373,390,11,179,44,85,81,76,20,41,60,11,89,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,36,72,83,59,11,11,373,23,11,20,20,11,11,374,85,34,74,87,11,28,41,11,27,11,11,11,11
g361031349062,87,25,27,13,78,56,58,33,19,11,87,87,11,11,11,11,11,11,11,267,273,11,79,88,87,80,70,26,39,11,11,94,11,11,11,11,11,11,11,11,11,11,11,11,11,25,11,11,11,11,11,88,58,27,11,11,267,20,11,11,88,11,11,272,87,25,76,44,53,11,55,17,26,11,11,9,11
g361031349063,77,11,32,68,98,44,11,11,11,11,77,76,25,11,11,11,11,11,11,286,286,11,11,11,77,93,25,33,33,11,11,80,11,11,11,11,11,11,11,21,11,11,11,11,11,11,11,11,11,11,19,54,104,63,16,24,286,11,205,11,11,176,11,270,77,30,92,68,52,68,56,11,19,11,11,11,11
g361031349064,91,11,11,11,63,90,77,21,11,11,91,55,11,42,11,43,73,67,38,290,264,8,4,79,91,62,21,11,91,8,11,55,11,11,11,11,11,11,11,11,11,11,32,11,11,11,11,11,11,11,11,11,42,54,11,11,235,25,54,48,77,57,40,247,91,11,42,45,28,25,11,89,53,43,6,11,11
g361031349071,89,65,63,26,42,73,42,35,11,11,89,98,25,11,27,11,11,11,11,426,406,86,86,31,89,97,41,64,46,11,11,94,11,11,11,11,11,11,11,11,15,11,18,11,11,11,11,11,11,11,11,95,72,41,23,11,387,150,51,42,11,25,21,358,89,30,59,44,70,64,12,43,35,11,11,11,11
g361031349072,88,11,18,43,92,82,36,12,12,11,88,89,11,6,11,11,11,11,11,415,428,11,20,44,88,96,43,22,31,11,11,93,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,17,14,88,96,60,12,11,415,11,39,11,22,95,49,431,88,38,94,73,38,47,45,6,42,11,11,11,11
g361031350021,72,39,30,63,57,32,11,11,53,11,72,72,11,11,11,11,11,11,11,272,275,7,11,77,72,75,44,24,54,11,11,78,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,42,12,74,45,58,17,11,273,79,11,11,34,11,11,275,72,36,71,55,58,30,18,16,11,13,11,11,11
g361031350022,88,23,29,55,83,52,62,77,19,11,88,79,11,50,11,27,56,11,11,335,315,11,21,120,94,87,72,33,43,17,17,80,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,61,64,81,66,14,335,52,106,79,85,32,11,334,94,51,51,80,44,37,45,53,53,33,11,11,11
g361031350023,77,11,31,59,76,11,17,19,11,11,77,77,11,11,11,11,11,11,11,308,314,11,34,11,77,86,46,28,42,11,11,76,18,11,11,11,11,11,11,18,17,11,11,11,11,11,11,11,11,11,16,68,80,59,11,11,308,11,92,62,14,45,38,328,77,23,73,48,57,46,28,11,18,11,11,11,11
g361031350031,68,12,48,16,66,33,28,12,43,11,68,68,11,11,11,11,11,11,11,289,265,11,46,12,70,75,34,11,30,22,11,75,11,11,11,11,11,19,11,12,11,11,11,11,11,11,45,11,11,11,11,32,75,44,21,21,289,64,12,11,23,11,14,301,70,11,70,31,54,19,24,9,15,17,12,11,11
g361031350032,69,36,31,51,36,50,13,51,52,11,69,64,11,15,37,11,11,11,11,280,274,11,75,14,64,68,36,11,29,37,11,67,17,11,11,11,11,11,11,11,11,11,11,41,11,11,11,11,11,19,11,55,49,56,39,19,280,11,28,11,9,9,23,287,64,14,64,57,30,21,21,11,19,13,11,11,11
g361031350033,75,33,45,70,51,43,25,25,17,11,75,76,11,19,36,11,11,11,11,226,184,127,96,25,71,71,41,25,35,39,11,64,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,12,15,52,56,40,11,15,226,13,20,11,45,139,10,203,71,14,56,43,49,34,26,13,48,11,11,11,11
g361031350041,47,37,8,24,41,44,23,24,24,11,47,49,7,11,11,11,11,11,11,218,216,28,11,16,51,56,33,16,22,38,10,51,6,11,11,11,11,11,11,11,11,11,11,11,11,5,11,3,16,11,11,4,4,34,45,45,210,40,5,45,5,17,11,213,51,17,40,49,27,22,9,7,20,11,5,11,11
g361031350042,39,31,6,8,8,22,17,23,17,11,39,33,24,11,11,11,11,11,11,113,109,11,21,10,39,32,15,4,24,19,18,36,11,11,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,11,4,29,15,18,26,112,19,21,6,18,11,11,114,39,11,32,20,21,6,6,11,18,5,11,11,11
g361031350043,43,26,4,19,27,20,17,11,10,4,43,43,11,11,11,11,11,11,11,91,87,11,18,28,41,31,8,4,28,16,15,40,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,11,6,7,20,25,30,91,8,3,3,22,33,28,79,41,16,19,20,20,18,17,11,19,5,11,11,11
