GEOID,B25034_001M,B03002_001M,B11001_001M,B25026_001M,B25004_001M,B25075_001M,B25024_001M
g361031586092,91,339,93,,37,82,91
g361031586093,76,272,76,,11,70,76
g361031587041,144,467,136,,78,94,144
g361031587042,150,361,150,,11,72,150
g361031587043,188,640,184,,83,185,188
g361031587044,215,695,212,,81,173,215
g361031587045,117,258,117,,11,118,117
g361031587051,93,371,93,,11,60,93
g361031587052,120,418,121,,45,126,120
g361031587053,96,402,100,,40,81,96
g361031587071,55,139,56,,29,50,55
g361031587081,92,128,95,,50,75,92
g361031587082,116,382,125,,79,79,116
g361031587083,77,382,77,,11,75,77
g361031587091,33,175,53,,54,63,33
g361031587101,98,355,91,,72,84,98
g361031587102,79,211,79,,11,68,79
g361031587103,85,428,85,,11,76,85
g361031587104,78,20,11,,78,11,78
g361031587111,113,379,114,,59,114,113
g361031587112,125,247,135,,45,134,125
g361031587113,148,592,166,,78,99,148
g361031587121,106,436,106,,11,108,106
g361031587122,146,458,144,,21,158,146
g361031587123,106,380,92,,86,92,106
g361031587124,125,542,127,,25,123,125
g361031587125,136,619,142,,87,142,136
g361031588021,86,372,86,,11,74,86
g361031588022,88,275,80,,47,81,88
g361031588023,69,250,70,,48,77,69
g361031588031,111,413,111,,11,97,111
g361031588032,104,418,104,,11,82,104
g361031588033,99,384,99,,11,98,99
g361031588034,91,210,91,,11,97,91
g361031588041,139,537,139,,11,140,139
g361031588042,116,368,116,,11,118,116
g361031588043,119,468,119,,11,113,119
g361031588044,120,392,120,,11,121,120
g361031588045,107,477,113,,44,101,107
g361031588046,102,384,84,,88,77,102
g361031589001,183,487,183,,11,119,183
g361031589002,128,698,128,,33,74,128
g361031589003,98,303,97,,21,94,98
g361031589004,145,270,131,,93,95,145
g361031589005,158,358,151,,88,120,158
g361031590001,112,388,117,,57,100,112
g361031590002,111,359,107,,25,85,111
g361031590003,152,250,147,,69,74,152
g361031591021,142,357,142,,11,82,142
g361031591022,137,516,144,,69,81,137
g361031591023,101,425,101,,11,101,101
g361031591024,137,419,137,,11,81,137
g361031591025,133,184,133,,11,83,133
g361031591031,72,296,70,,36,67,72
g361031591032,107,390,95,,71,73,107
g361031591033,127,728,131,,39,126,127
g361031591034,108,447,108,,11,71,108
g361031591051,130,418,130,,61,125,130
g361031591052,166,409,164,,57,23,166
g361031591053,140,531,140,,11,150,140
g361031591054,132,396,119,,64,119,132
g361031591061,81,324,81,,11,86,81
g361031591062,122,412,132,,106,99,122
g361031591063,85,315,85,,11,90,85
g361031591071,87,289,89,,50,89,87
g361031591072,58,290,55,,32,56,58
g361031591073,79,336,79,,11,75,79
g361031591081,88,455,88,,11,77,88
g361031591082,143,761,144,,67,141,143
g361031591083,80,412,80,,11,80,80
g361031591084,94,421,95,,51,95,94
g361031591085,93,406,93,,11,87,93
g361031592011,85,283,85,,11,87,85
g361031592012,86,488,97,,51,111,86
g361031592031,120,327,120,,11,121,120
g361031592032,129,516,132,,30,126,129
g361031592033,151,411,136,,83,108,151
g361031592041,82,240,79,,30,72,82
g361031592042,76,253,70,,41,70,76
g361031592043,93,442,104,,68,80,93
g361031592044,74,194,65,,58,64,74
g361031593001,64,125,71,,53,55,64
g361031593002,62,138,60,,40,60,62
g361031594041,162,452,168,,27,54,162
g361031594042,77,292,77,,11,72,77
g361031594043,176,860,210,,80,126,176
g361031594044,164,519,152,,89,147,164
g361031594045,167,712,167,,11,112,167
g361031594061,94,290,96,,40,80,94
g361031594062,123,329,118,,35,86,123
g361031594063,97,361,97,,58,70,97
g361031594071,113,583,113,,44,115,113
g361031594072,91,348,89,,32,80,91
g361031594073,124,430,122,,63,127,124
g361031594081,79,337,84,,64,100,79
g361031594082,79,296,79,,11,76,79
g361031594101,138,545,138,,11,138,138
g361031594102,113,345,113,,11,128,113
g361031594103,136,643,141,,23,152,136
g361031594111,102,372,103,,9,104,102
g361031594112,96,324,96,,11,80,96
g361031594121,90,330,90,,11,90,90
g361031594122,147,498,147,,11,160,147
g361031594123,163,547,158,,121,166,163
g361031594124,153,455,140,,123,86,153
g361031595051,127,568,134,,80,140,127
g361031595052,168,710,169,,62,123,168
g361031595053,117,410,96,,67,94,117
g361031595054,124,760,132,,51,135,124
g361031595055,153,678,153,,11,155,153
g361031595061,147,573,135,,76,131,147
g361031595062,159,615,157,,115,162,159
g361031595063,116,512,116,,11,100,116
g361031595064,148,551,143,,88,120,148
g361031595081,142,527,127,,68,117,142
g361031595082,172,487,152,,66,135,172
g361031595083,199,695,198,,119,136,199
g361031595084,197,717,196,,66,184,197
g361031595091,105,245,99,,87,90,105
g361031595092,117,321,107,,94,71,117
g361031595093,97,345,97,,11,62,97
g361031595101,103,64,26,,103,24,103
g361031595102,93,9,5,,93,5,93
g361031595111,134,563,128,,76,130,134
g361031595112,117,459,117,,6,115,117
g361031595113,155,459,155,,11,109,155
g361031595114,143,528,153,,55,161,143
g361031595121,80,331,80,,33,65,80
g361031596011,122,465,116,,80,115,122
g361031596012,89,162,83,,69,83,89
g361031596013,100,398,104,,66,90,100
g361031596014,113,433,126,,55,128,113
g361031596015,127,518,128,,53,125,127
g361031596021,98,404,95,,53,94,98
g361031596022,106,448,119,,88,95,106
g361031697011,125,371,106,,92,106,125
g361031697012,143,442,129,,61,125,143
g361031697013,151,508,145,,73,136,151
g361031697014,119,383,110,,74,106,119
g361031697015,134,436,134,,11,133,134
g361031697031,47,187,84,,87,82,47
g361031697041,147,239,117,,114,113,147
g361031697042,120,452,117,,66,114,120
g361031697043,171,671,171,,11,81,171
g361031697044,162,249,146,,99,138,162
g361031697045,149,173,129,,73,125,149
g361031697046,136,341,114,,92,120,136
g361031698001,165,677,167,,39,114,165
g361031698002,88,418,88,,11,72,88
g361031698003,126,639,120,,88,109,126
g361031698004,127,540,127,,11,30,127
g361031699011,190,749,190,,11,153,190
g361031699012,218,846,211,,155,165,218
g361031699021,203,584,202,,81,204,203
g361031699022,172,653,169,,39,161,172
g361031699023,204,493,147,,189,153,204
g361031699024,177,136,64,,179,57,177
g361031699025,222,569,184,,131,155,222
g361031700011,178,438,151,,175,153,178
g361031700012,193,406,173,,152,112,193
g361031700013,121,286,102,,115,91,121
g361031700014,121,238,121,,11,123,121
g361031700015,180,393,131,,136,129,180
g361031700021,115,149,81,,119,81,115
g361031700022,138,253,95,,114,86,138
g361031700023,147,243,84,,137,84,147
g361031700024,128,381,127,,66,83,128
g361031700025,92,206,77,,67,70,92
g361031701011,65,194,67,,56,54,65
g361031701012,76,274,86,,59,50,76
g361031702011,187,375,149,,176,154,187
g361031702012,132,363,110,,102,119,132
g361031702013,95,320,95,,11,96,95
g361031702014,151,280,107,,139,105,151
g361031702015,93,180,92,,99,79,93
g361031702016,124,458,119,,78,106,124
g361031702017,120,319,105,,91,107,120
g361031702021,126,234,84,,108,52,126
g361031702022,103,120,52,,99,46,103
g361031702023,111,186,83,,100,82,111
g361031702024,89,130,54,,85,51,89
g361031702025,142,204,93,,120,88,142
g361031803001,162,346,135,,131,142,162
g361031803002,175,334,119,,132,128,175
g361031904011,125,370,115,,73,122,125
g361031904012,117,346,132,,79,66,117
g361031904013,157,251,140,,104,140,157
g361031904014,11,491,11,,11,11,11
g361031904015,142,464,142,,11,80,142
g361031904016,172,492,125,,137,105,172
g361031904017,195,932,203,,48,162,195
g361031904021,83,295,79,,79,58,83
g361031904022,93,198,73,,87,63,93
g361031904031,124,327,109,,87,77,124
g361031904032,101,301,78,,92,58,101
g361031904033,139,635,134,,109,72,139
g361031905021,106,206,72,,104,69,106
g361031905022,82,165,70,,71,59,82
g361031905023,115,143,72,,114,63,115
g361031905031,65,219,65,,11,51,65
g361031905032,101,331,96,,65,71,101
g361031905033,97,199,83,,73,87,97
g361031905034,99,151,59,,96,54,99
g361031905041,107,188,65,,109,69,107
g361031905042,86,159,68,,72,55,86
g361031905043,80,212,67,,61,59,80
g361031906011,111,154,57,,105,57,111
g361031906012,123,325,104,,110,96,123
g361031906013,139,282,87,,130,87,139
g361031906014,118,281,109,,47,112,118
g361031906015,121,208,75,,97,62,121
g361031906016,130,148,70,,118,63,130
g361031906031,138,360,116,,114,83,138
g361031906032,138,507,130,,119,111,138
g361031906033,146,370,118,,132,94,146
g361031906041,177,409,157,,115,146,177
g361031906042,157,434,139,,140,128,157
g361031906043,154,252,128,,147,67,154
g361031907041,161,462,123,,126,123,161
g361031907042,136,138,59,,135,54,136
g361031907043,91,118,45,,82,45,91
g361031907044,107,170,70,,89,78,107
g361031907045,178,245,96,,180,90,178
g361031907051,32,119,30,,16,28,32
g361031907052,162,276,124,,136,94,162
g361031907053,137,147,56,,134,52,137
g361031907054,137,326,112,,133,104,137
g361031907055,108,254,91,,78,55,108
g361031907061,162,211,100,,162,91,162
g361031907062,166,275,110,,146,87,166
g361031907063,116,225,86,,86,86,116
g361031907064,132,213,93,,107,83,132
g361031907065,138,336,83,,112,77,138
g361031907071,189,313,99,,209,95,189
g361031907072,150,596,128,,141,98,150
g361031907073,115,179,78,,117,75,115
g361031907074,152,374,125,,149,110,152
g361031907075,168,263,153,,124,152,168
g361031907081,92,159,58,,66,57,92
g361031907082,97,267,102,,118,62,97
g361031908001,171,311,105,,146,80,171
g361031908002,142,328,85,,131,83,142
g361031908003,159,224,101,,138,80,159
g361031908004,159,225,81,,155,61,159
g361032009011,69,164,66,,64,36,69
g361032009012,73,104,52,,82,45,73
g361032009021,247,491,164,,259,133,247
g361032009022,177,242,98,,172,95,177
g361032009023,176,453,159,,164,94,176
g361032009024,167,347,111,,138,82,167
g361032009025,135,225,71,,120,57,135
g361032009026,218,598,198,,192,168,218
g361032009027,183,312,103,,143,86,183
g361032010011,217,312,131,,213,113,217
g361032010012,186,353,141,,151,107,186
g361032010013,188,409,152,,186,150,188
g361032010014,230,294,119,,238,98,230
g361032010015,219,627,188,,190,155,219
g361032010031,129,529,124,,67,99,129
g361032010032,109,263,68,,76,67,109
g361032010033,109,109,57,,106,46,109
g361032010034,136,235,84,,131,66,136
g361032010035,140,277,110,,137,89,140
g361032010041,100,99,50,,97,51,100
g361032010042,180,243,120,,154,91,180
g361032010043,147,237,98,,110,94,147
g361032010044,144,243,93,,133,67,144
g361032010045,174,303,148,,159,143,174
g361032010046,172,254,113,,161,98,172
g361032011001,119,744,116,,30,118,119
g361032011002,104,506,100,,17,96,104
g361032011003,11,286,11,,11,11,11
g361032011004,111,681,121,,26,117,111
g361039901000,11,11,11,,11,11,11
