GEOID,B25034_001M,B03002_001M,B11001_001M,B25026_001M,B25004_001M,B25075_001M,B25024_001M
g361031227042,55,178,55,,11,49,55
g361031227051,65,231,65,,30,66,65
g361031227052,63,207,66,,18,59,63
g361031227061,112,362,111,,32,111,112
g361031227062,107,354,107,,11,97,107
g361031227063,72,202,64,,54,66,72
g361031227071,62,300,62,,11,81,62
g361031227072,59,253,59,,11,64,59
g361031228011,108,500,108,,11,110,108
g361031228012,99,445,99,,11,116,99
g361031228013,85,150,85,,11,85,85
g361031228014,138,749,136,,43,132,138
g361031228021,71,309,70,,42,90,71
g361031228022,76,292,84,,42,80,76
g361031229011,112,466,112,,11,119,112
g361031229012,92,383,81,,58,82,92
g361031229013,72,275,72,,11,74,72
g361031229014,104,421,107,,45,99,104
g361031229021,103,368,112,,39,90,103
g361031229022,77,235,77,,11,76,77
g361031229023,89,406,86,,38,84,89
g361031230011,69,457,69,,11,71,69
g361031230012,92,401,92,,11,92,92
g361031230013,106,429,103,,29,89,106
g361031230014,103,412,102,,35,100,103
g361031230021,86,305,80,,36,67,86
g361031230022,77,276,80,,29,76,77
g361031230023,80,314,85,,41,76,80
g361031231011,84,275,84,,11,84,84
g361031231012,75,270,73,,37,73,75
g361031231013,106,419,107,,52,97,106
g361031231021,82,277,80,,41,81,82
g361031231022,87,296,94,,47,99,87
g361031231023,67,269,67,,11,60,67
g361031232011,21,218,46,,40,35,21
g361031232021,132,594,123,,61,108,132
g361031232022,119,415,116,,65,36,119
g361031232023,141,1224,141,,47,137,141
g361031232024,139,1010,141,,60,143,139
g361031233011,177,674,183,,55,94,177
g361031233012,146,729,140,,52,91,146
g361031233013,93,291,85,,62,76,93
g361031233014,126,497,123,,49,108,126
g361031233015,150,672,142,,64,117,150
g361031233016,147,511,143,,50,121,147
g361031233021,24,341,61,,53,61,24
g361031234011,89,337,91,,48,85,89
g361031234012,103,457,102,,34,71,103
g361031234013,77,310,77,,11,66,77
g361031234021,124,506,124,,11,88,124
g361031234022,109,490,108,,26,113,109
g361031234023,128,461,131,,27,110,128
g361031234024,107,459,107,,11,88,107
g361031234025,100,373,93,,73,85,100
g361031235001,111,470,95,,64,89,111
g361031235002,115,422,95,,77,61,115
g361031235003,139,484,134,,102,84,139
g361031235004,148,392,145,,41,110,148
g361031236001,106,225,101,,89,94,106
g361031236002,59,162,58,,12,47,59
g361031236003,82,215,74,,43,67,82
g361031237011,104,593,102,,51,100,104
g361031237012,90,542,90,,11,46,90
g361031237013,104,397,108,,19,61,104
g361031237014,95,415,95,,11,51,95
g361031237021,140,905,140,,11,129,140
g361031237022,138,483,166,,74,150,138
g361031237023,97,421,99,,21,94,97
g361031237024,146,557,143,,25,136,146
g361031238011,87,249,80,,57,72,87
g361031238012,89,477,83,,43,80,89
g361031238013,104,462,111,,97,89,104
g361031238021,98,267,106,,44,116,98
g361031238022,106,349,106,,11,111,106
g361031239001,91,348,94,,16,77,91
g361031239002,65,208,57,,49,59,65
g361031239003,61,212,61,,11,63,61
g361031239004,99,445,99,,49,81,99
g361031239005,61,164,39,,55,39,61
g361031240011,109,424,101,,59,90,109
g361031240012,98,361,102,,45,92,98
g361031240013,74,117,48,,61,41,74
g361031240021,64,274,69,,44,72,64
g361031240022,62,299,62,,11,77,62
g361031241011,107,538,119,,61,113,107
g361031241012,89,347,89,,11,98,89
g361031241013,91,414,89,,38,82,91
g361031241021,94,309,94,,65,95,94
g361031241022,86,422,83,,68,92,86
g361031242001,151,451,151,,11,71,151
g361031242002,120,289,98,,103,99,120
g361031242003,122,252,125,,71,62,122
g361031242004,146,478,146,,11,152,146
g361031242005,210,519,168,,127,144,210
g361031243001,106,396,106,,11,93,106
g361031243002,136,383,136,,11,123,136
g361031243003,125,334,125,,11,93,125
g361031243004,111,426,111,,11,113,111
g361031243005,88,212,64,,73,70,88
g361031244011,93,186,94,,67,11,93
g361031244012,94,293,87,,58,60,94
g361031244013,102,400,100,,13,94,102
g361031244021,76,238,76,,11,83,76
g361031244022,98,320,91,,45,77,98
g361031244023,105,286,113,,85,113,105
g361031245001,74,286,74,,11,55,74
g361031245002,75,210,75,,11,65,75
g361031245003,109,474,109,,11,67,109
g361031245004,89,411,89,,11,91,89
g361031246011,54,164,56,,30,60,54
g361031246012,48,182,50,,10,49,48
g361031246013,52,167,45,,32,45,52
g361031246021,53,178,53,,11,46,53
g361031246022,96,233,97,,61,77,96
g361031246023,96,213,95,,71,78,96
g361031246024,82,185,82,,11,71,82
g361031347021,136,565,131,,71,123,136
g361031347022,146,482,146,,11,136,146
g361031347023,118,179,116,,81,29,118
g361031347024,67,210,67,,11,67,67
g361031347031,59,283,58,,15,58,59
g361031347032,66,247,70,,14,70,66
g361031347033,68,312,68,,11,71,68
g361031347034,48,171,48,,11,48,48
g361031347041,55,220,53,,21,58,55
g361031347042,54,233,60,,49,59,54
g361031349021,72,234,75,,42,69,72
g361031349022,49,232,49,,11,49,49
g361031349023,82,495,91,,42,93,82
g361031349031,18,108,18,,11,52,18
g361031349041,92,437,92,,11,94,92
g361031349042,91,501,92,,18,92,91
g361031349043,95,397,89,,35,88,95
g361031349044,95,225,94,,66,80,95
g361031349061,99,373,85,,60,89,99
g361031349062,87,267,87,,11,94,87
g361031349063,77,286,77,,11,80,77
g361031349064,91,290,91,,8,55,91
g361031349071,89,426,89,,11,94,89
g361031349072,88,415,88,,11,93,88
g361031350021,72,272,72,,11,78,72
g361031350022,88,335,94,,17,80,88
g361031350023,77,308,77,,11,76,77
g361031350031,68,289,70,,22,75,68
g361031350032,69,280,64,,37,67,69
g361031350033,75,226,71,,39,64,75
g361031350041,47,218,51,,38,51,47
g361031350042,39,113,39,,19,36,39
g361031350043,43,91,41,,16,40,43
g361031350051,69,283,64,,60,62,69
g361031350052,68,167,68,,30,80,68
g361031350053,69,258,63,,32,62,69
g361031351011,64,259,64,,11,64,64
g361031351012,65,290,65,,11,75,65
g361031351021,48,208,48,,11,48,48
g361031351022,84,306,88,,28,83,84
g361031351023,62,240,62,,11,62,62
g361031351031,81,347,81,,11,86,81
g361031351032,70,236,70,,11,69,70
g361031351033,75,305,79,,36,82,75
g361031351041,64,277,64,,11,64,64
g361031351042,83,336,85,,31,83,83
g361031351043,63,203,63,,11,63,63
g361031352011,15,119,24,,20,27,15
g361031352041,76,359,76,,11,83,76
g361031352042,82,371,86,,34,96,82
g361031352043,64,243,64,,11,64,64
g361031352051,85,251,85,,11,71,85
g361031352052,74,252,74,,11,74,74
g361031352053,48,201,48,,11,51,48
g361031352081,61,232,65,,44,58,61
g361031352082,60,261,60,,11,68,60
g361031352091,65,276,80,,53,67,65
g361031352092,63,235,63,,11,64,63
g361031353011,80,246,76,,36,77,80
g361031353012,63,313,63,,11,63,63
g361031353013,73,307,73,,11,73,73
g361031353031,73,441,73,,12,85,73
g361031353032,75,312,75,,11,73,75
g361031353041,52,275,67,,56,67,52
g361031353042,48,96,48,,11,48,48
g361031354011,111,332,103,,80,73,111
g361031354012,124,513,126,,77,123,124
g361031354013,147,742,156,,37,151,147
g361031354021,119,480,119,,11,114,119
g361031354022,117,538,117,,11,106,117
g361031354023,69,266,69,,11,67,69
g361031354024,113,324,114,,21,102,113
g361031354031,77,269,77,,11,74,77
g361031354032,95,338,95,,17,102,95
g361031354033,90,273,78,,67,81,90
g361031456021,87,432,87,,11,78,87
g361031456022,81,438,93,,56,88,81
g361031456023,110,538,110,,11,110,110
g361031456031,116,785,120,,80,106,116
g361031456032,94,407,95,,23,58,94
g361031456033,103,678,112,,41,112,103
g361031456041,106,672,122,,80,112,106
g361031456042,102,617,104,,45,95,102
g361031456051,58,303,59,,23,56,58
g361031456052,59,432,69,,39,64,59
g361031457011,61,239,60,,36,60,61
g361031457012,85,352,86,,18,88,85
g361031457013,122,318,125,,41,27,122
g361031457014,86,322,87,,41,94,86
g361031457021,106,519,101,,35,87,106
g361031457022,119,537,115,,59,112,119
g361031457023,132,833,131,,17,108,132
g361031457031,80,414,74,,42,65,80
g361031457032,104,751,111,,51,127,104
g361031457033,114,656,115,,40,80,114
g361031457041,166,847,166,,11,146,166
