GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031475011,332,872,296,,36,140,332
g361031475012,773,2170,681,,92,640,773
g361031475013,179,606,179,,0,179,179
g361031475014,229,709,229,,0,169,229
g361031475015,552,1753,552,,0,529,552
g361031475016,657,1321,545,,112,425,657
g361031475021,345,1157,308,,37,308,345
g361031475022,384,1232,384,,0,375,384
g361031475023,594,1680,568,,26,568,594
g361031475024,404,1649,404,,0,388,404
g361031475025,261,840,261,,0,231,261
g361031475031,541,1636,541,,0,502,541
g361031476011,398,1240,358,,40,345,398
g361031476012,502,1159,445,,57,414,502
g361031476021,863,1503,708,,155,511,863
g361031476022,633,1787,593,,40,550,633
g361031476023,396,802,396,,0,267,396
g361031476024,352,1060,352,,0,352,352
g361031477011,627,2226,620,,7,454,627
g361031477012,589,1228,554,,35,433,589
g361031477021,569,1586,546,,23,501,569
g361031477022,726,850,333,,393,303,726
g361031477023,497,1518,476,,21,382,497
g361031477024,265,731,241,,24,200,265
g361031478021,368,894,368,,0,202,368
g361031478022,476,1404,460,,16,448,476
g361031478023,566,1361,545,,21,403,566
g361031478031,938,1892,875,,63,475,938
g361031478032,412,1229,412,,0,317,412
g361031478041,738,2410,738,,0,738,738
g361031478042,358,1085,358,,0,322,358
g361031478043,450,1554,450,,0,450,450
g361031478044,379,1028,379,,0,379,379
g361031479011,690,1990,666,,24,615,690
g361031479012,693,834,554,,139,59,693
g361031479013,579,1361,523,,56,92,579
g361031479021,258,681,258,,0,245,258
g361031479022,361,1076,336,,25,315,361
g361031479023,457,1432,436,,21,412,457
g361031479024,379,981,358,,21,326,379
g361031580011,389,919,329,,60,308,389
g361031580012,390,958,361,,29,302,390
g361031580013,372,752,297,,75,276,372
g361031580014,378,982,340,,38,324,378
g361031580015,209,642,209,,0,199,209
g361031580021,417,1174,405,,12,385,417
g361031580022,426,803,338,,88,338,426
g361031580023,487,1482,487,,0,451,487
g361031580024,321,858,309,,12,257,321
g361031580025,290,759,290,,0,227,290
g361031580026,474,1255,425,,49,425,474
g361031580061,1021,2510,993,,28,895,1021
g361031580062,961,2922,961,,0,887,961
g361031580063,411,971,349,,62,252,411
g361031580064,163,378,163,,0,163,163
g361031580071,0,2862,0,,0,0,0
g361031580072,34,1033,34,,0,31,34
g361031580073,10,974,10,,0,10,10
g361031580074,0,4128,0,,0,0,0
g361031580091,381,1280,376,,5,367,381
g361031580092,493,1521,493,,0,475,493
g361031580101,698,1939,637,,61,637,698
g361031580102,268,926,268,,0,253,268
g361031580103,273,794,273,,0,266,273
g361031580111,809,1841,762,,47,684,809
g361031580112,582,2104,582,,0,582,582
g361031580113,466,775,420,,46,345,466
g361031581021,1071,2795,1020,,51,748,1071
g361031581022,643,2146,618,,25,618,643
g361031581031,963,3107,916,,47,757,963
g361031581032,423,1275,423,,0,337,423
g361031581041,676,2223,643,,33,606,676
g361031581042,632,1885,632,,0,576,632
g361031581043,494,1643,494,,0,456,494
g361031581071,621,1476,614,,7,553,621
g361031581072,834,2599,805,,29,678,834
g361031581081,1008,2995,952,,56,764,1008
g361031581101,615,2214,576,,39,525,615
g361031581102,527,1398,456,,71,443,527
g361031581111,563,1772,534,,29,504,563
g361031581112,468,1535,453,,15,408,468
g361031581121,603,2059,575,,28,424,603
g361031581122,739,2345,688,,51,604,739
g361031581141,1229,3430,1110,,119,843,1229
g361031581151,1169,3118,1004,,165,647,1169
g361031581152,521,1840,521,,0,471,521
g361031581153,597,1889,597,,0,543,597
g361031581161,503,1413,473,,30,463,503
g361031581162,253,585,227,,26,191,253
g361031582021,431,1364,421,,10,291,431
g361031582022,858,2781,823,,35,373,858
g361031582023,554,1565,513,,41,439,554
g361031582024,418,1120,394,,24,394,418
g361031582025,706,1998,669,,37,616,706
g361031582031,574,1561,558,,16,526,574
g361031582051,284,844,263,,21,254,284
g361031582052,368,1185,368,,0,362,368
g361031582061,507,1122,468,,39,354,507
g361031582062,543,1311,505,,38,362,543
g361031582063,545,1375,503,,42,300,545
g361031582071,317,834,286,,31,277,317
g361031582072,675,1755,642,,33,569,675
g361031582073,327,493,276,,51,177,327
g361031582074,650,1733,650,,0,462,650
g361031583041,622,1521,582,,40,563,622
g361031583042,672,2471,672,,0,590,672
g361031583043,624,1737,594,,30,566,624
g361031583044,573,1462,573,,0,537,573
g361031583061,857,2571,857,,0,749,857
g361031583062,771,1426,771,,0,740,771
g361031583063,553,1812,535,,18,535,553
g361031583081,535,1405,535,,0,298,535
g361031583082,559,1735,522,,37,387,559
g361031583083,926,3030,884,,42,779,926
g361031583084,742,2086,633,,109,598,742
g361031583091,1188,3563,1188,,0,760,1188
g361031583092,644,1446,607,,37,226,644
g361031583101,627,1635,582,,45,520,627
g361031583102,1184,2546,1147,,37,983,1184
g361031583151,1015,2351,970,,45,917,1015
g361031583152,702,2284,675,,27,588,702
g361031583171,943,2106,811,,132,704,943
g361031583172,844,2045,617,,227,525,844
g361031583173,529,1591,483,,46,465,529
g361031583181,605,1738,577,,28,489,605
g361031583182,479,1192,427,,52,427,479
g361031583183,530,1494,509,,21,500,530
g361031583191,617,1881,594,,23,486,617
g361031583192,317,920,317,,0,309,317
g361031583193,318,905,292,,26,256,318
g361031583201,435,1364,386,,49,386,435
g361031583202,622,1839,539,,83,539,622
g361031583203,900,1320,844,,56,565,900
g361031583204,432,1489,432,,0,432,432
g361031583211,1384,3654,1234,,150,585,1384
g361031583212,718,1878,718,,0,518,718
g361031583213,405,1287,358,,47,358,405
g361031583214,1516,3636,1379,,137,116,1516
g361031583221,798,2311,785,,13,774,798
g361031583231,387,1414,387,,0,387,387
g361031583232,436,1065,316,,120,316,436
g361031583233,598,2139,598,,0,572,598
g361031583234,920,2445,879,,41,796,920
g361031584011,493,1381,459,,34,412,493
g361031584021,718,2420,718,,0,688,718
g361031584022,227,468,188,,39,185,227
g361031584023,566,1575,536,,30,482,566
g361031584031,461,1150,461,,0,446,461
g361031584032,466,928,403,,63,288,466
g361031584051,925,2039,756,,169,686,925
g361031584052,333,1119,312,,21,303,333
g361031584053,467,1522,467,,0,424,467
g361031584071,617,1439,504,,113,487,617
g361031584072,604,1897,559,,45,503,604
g361031584073,493,940,326,,167,260,493
g361031584074,603,1669,509,,94,455,603
g361031584081,877,2272,782,,95,577,877
g361031584082,718,1861,662,,56,524,718
g361031584091,577,1327,477,,100,201,577
g361031584092,803,1703,727,,76,722,803
g361031584093,319,814,221,,98,196,319
g361031584101,744,1540,735,,9,721,744
g361031584102,918,1078,742,,176,686,918
g361031584103,601,643,467,,134,399,601
g361031585021,565,1804,539,,26,379,565
g361031585022,271,768,271,,0,249,271
g361031585023,879,1217,870,,9,91,879
g361031585051,834,2847,771,,63,684,834
g361031585052,325,991,310,,15,300,325
