GEOID,B25034_010E,B25034_009E,B25034_008E,B25034_007E,B25034_006E,B25034_005E,B25034_004E,B25034_003E,B25034_002E,B25034_001E
g361031120022,21,0,229,137,23,28,0,0,8,446
g361031120023,57,8,226,163,26,8,18,19,0,525
g361031121021,0,28,335,277,83,6,0,42,0,771
g361031121022,24,27,13,123,216,67,24,6,0,500
g361031121031,0,15,242,68,0,6,0,0,0,331
g361031121032,0,28,270,312,26,0,10,0,0,646
g361031121033,8,0,48,118,39,36,163,187,0,599
g361031121041,31,49,115,157,78,64,160,111,0,765
g361031122041,9,29,236,135,7,0,0,0,0,416
g361031122042,9,0,244,128,34,8,0,0,0,423
g361031122043,10,43,205,177,20,0,11,0,0,466
g361031122061,20,0,0,66,0,201,561,352,0,1200
g361031122062,0,0,96,0,59,0,145,329,0,629
g361031122063,91,0,58,215,100,248,231,36,0,979
g361031122064,0,0,72,70,13,0,53,0,0,208
g361031122101,0,0,18,241,63,0,60,0,0,382
g361031122102,0,42,46,155,248,65,0,166,0,722
g361031122103,0,90,90,296,40,137,31,1,0,685
g361031122104,0,12,14,110,312,79,54,0,0,581
g361031122111,9,0,24,299,97,207,0,0,0,636
g361031122112,0,23,73,313,5,26,28,0,0,468
g361031122113,0,0,51,254,30,0,0,0,0,335
g361031122121,22,0,52,133,83,9,3,19,0,321
g361031122122,20,39,73,216,217,21,64,12,33,695
g361031122131,18,0,14,198,277,187,13,42,0,749
g361031122132,18,0,77,258,37,7,36,0,0,433
g361031122133,39,0,14,202,32,12,115,45,0,459
g361031122141,0,38,86,74,33,20,0,42,0,293
g361031122142,0,0,37,396,283,80,28,39,0,863
g361031122143,0,12,100,38,69,7,77,1060,0,1363
g361031122144,0,0,23,81,32,87,14,15,0,252
g361031223001,10,75,129,91,21,130,49,19,0,524
g361031223002,72,202,291,137,17,14,31,34,0,798
g361031224031,9,0,30,311,90,40,5,0,0,485
g361031224032,5,7,63,155,18,0,51,26,0,325
g361031224041,23,104,494,38,5,15,0,6,0,685
g361031224042,30,30,239,61,32,0,34,0,0,426
g361031224051,22,100,165,284,71,7,64,28,0,741
g361031224052,9,0,6,121,78,38,10,0,0,262
g361031224061,39,61,100,133,25,0,0,14,26,398
g361031224062,0,27,52,170,149,0,56,48,0,502
g361031224063,104,0,45,149,141,9,39,81,18,586
g361031225011,55,10,42,51,0,100,7,62,0,327
g361031225012,0,25,80,136,101,17,36,175,0,570
g361031225013,90,49,152,79,28,0,31,0,0,429
g361031225021,10,35,108,261,193,70,90,0,0,767
g361031225022,6,16,68,34,48,10,44,0,0,226
g361031225023,27,7,8,183,66,0,0,0,0,291
g361031226011,0,24,476,204,13,14,0,0,0,731
g361031226012,9,16,222,233,64,17,0,9,0,570
g361031226013,45,40,273,156,52,24,69,23,0,682
g361031226021,0,40,396,279,39,15,26,0,0,795
g361031226022,23,46,397,303,18,11,10,0,0,808
g361031226031,0,56,178,143,7,0,0,64,0,448
g361031226032,0,0,435,201,48,0,9,0,0,693
g361031226033,0,30,73,117,102,31,0,30,0,383
g361031226034,34,75,281,82,13,11,6,0,0,502
g361031227041,0,0,101,1,30,0,61,0,0,193
g361031227042,31,12,31,333,80,4,0,0,0,491
g361031227051,8,22,157,236,178,20,0,3,0,624
g361031227052,22,5,62,140,105,19,0,23,0,376
g361031227061,7,17,110,145,73,20,0,0,0,372
g361031227062,59,23,231,315,42,43,9,17,0,739
g361031227063,46,6,71,36,27,0,0,3,0,189
g361031227071,32,51,210,244,0,28,46,8,0,619
g361031227072,10,13,140,224,24,7,19,0,0,437
g361031228011,30,0,126,219,35,0,50,64,0,524
g361031228012,77,31,147,102,72,99,49,44,0,621
g361031228013,0,16,42,44,239,40,0,0,0,381
g361031228014,12,0,138,53,369,77,8,0,0,657
g361031228021,9,31,358,151,119,35,0,12,0,715
g361031228022,0,13,595,58,33,59,9,0,0,767
g361031229011,66,150,242,109,51,8,85,44,0,755
g361031229012,0,68,180,78,10,0,0,20,0,356
g361031229013,20,85,73,87,79,14,0,0,0,358
g361031229014,0,17,197,164,14,0,40,44,8,484
g361031229021,122,49,156,108,91,114,59,0,0,699
g361031229022,0,16,266,168,30,20,10,53,0,563
g361031229023,0,0,313,60,43,0,0,0,0,416
g361031230011,0,39,235,148,9,0,23,15,0,469
g361031230012,30,84,28,224,61,24,7,0,0,458
g361031230013,14,10,109,169,86,0,48,6,0,442
g361031230014,10,91,147,146,78,29,0,0,0,501
g361031230021,48,9,66,289,190,33,0,7,0,642
g361031230022,6,23,138,117,93,16,8,0,0,401
g361031230023,82,18,186,140,82,9,0,0,0,517
g361031231011,7,23,141,85,93,59,35,11,0,454
g361031231012,19,15,114,35,7,0,46,0,0,236
g361031231013,19,87,226,111,142,12,0,13,0,610
g361031231021,30,23,293,95,8,15,0,0,0,464
g361031231022,48,51,374,130,49,26,0,0,0,678
g361031231023,27,23,151,34,33,19,0,0,0,287
g361031232011,5,5,157,70,66,94,274,78,0,749
g361031232021,0,25,10,116,37,44,268,57,0,557
g361031232022,0,15,15,71,14,103,251,88,0,557
g361031232023,0,52,193,31,150,57,100,39,0,622
g361031232024,65,56,246,200,147,12,39,27,50,842
g361031233011,30,17,145,107,165,74,28,34,0,600
g361031233012,0,22,141,55,202,117,15,14,0,566
g361031233013,0,0,96,69,40,92,28,12,0,337
g361031233014,16,0,131,13,105,0,61,0,0,326
g361031233015,43,0,152,125,47,114,0,0,0,481
g361031233016,0,0,47,146,194,17,0,19,0,423
g361031233021,48,110,227,16,78,11,0,43,0,533
g361031234011,75,45,134,106,46,20,0,19,0,445
g361031234012,0,51,207,101,89,10,0,14,0,472
g361031234013,52,29,90,131,32,7,16,24,0,381
g361031234021,14,20,368,87,10,15,83,0,0,597
g361031234022,16,25,453,46,30,11,0,0,0,581
g361031234023,30,56,158,34,33,0,40,14,0,365
g361031234024,0,15,45,157,72,0,0,0,0,289
g361031234025,12,64,302,180,67,19,66,0,0,710
g361031235001,40,6,215,117,0,0,50,84,0,512
g361031235002,74,0,55,13,44,33,12,137,0,368
g361031235003,286,82,147,47,27,72,19,57,25,762
g361031235004,336,99,131,31,75,72,0,37,0,781
g361031236001,116,57,208,44,155,121,29,11,0,741
g361031236002,172,8,65,8,36,0,0,7,0,296
g361031236003,166,29,123,77,22,63,36,0,0,516
g361031237011,8,11,215,190,172,0,25,6,0,627
g361031237012,45,65,103,44,56,0,11,0,0,324
g361031237013,83,131,100,96,32,8,0,117,0,567
g361031237014,26,54,49,129,37,30,0,30,0,355
