GEOID,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M
g361031122122,30,31,38,74,61,22,47,16,46
g361031122131,21,11,16,61,87,63,21,56,11
g361031122132,20,11,45,67,30,12,33,11,11
g361031122133,45,11,15,63,22,20,52,35,11
g361031122141,11,60,80,72,45,31,11,47,11
g361031122142,11,11,42,118,98,71,33,56,11
g361031122143,11,19,105,37,60,12,59,145,11
g361031122144,11,11,26,60,47,61,23,25,11
g361031223001,12,78,59,45,25,79,38,30,11
g361031223002,39,81,101,70,21,23,30,50,11
g361031224031,11,11,23,66,34,27,8,11,11
g361031224032,8,9,46,61,22,11,31,24,11
g361031224041,25,49,83,31,8,17,11,9,11
g361031224042,20,26,71,31,35,11,33,11,11
g361031224051,18,53,66,61,40,12,53,18,11
g361031224052,13,11,9,52,39,18,13,11,11
g361031224061,39,53,68,80,31,11,11,23,36
g361031224062,11,30,39,82,80,11,47,47,11
g361031224063,58,11,38,72,84,14,44,46,30
g361031225011,50,16,39,37,11,64,13,49,11
g361031225012,11,23,50,74,59,27,34,52,11
g361031225013,61,31,58,52,42,11,39,11,11
g361031225021,15,42,63,96,88,47,51,11,11
g361031225022,16,22,50,30,43,20,61,11,11
g361031225023,42,11,14,68,53,11,11,11,11
g361031226011,11,29,109,71,22,19,11,11,11
g361031226012,14,19,70,87,54,20,11,13,11
g361031226013,49,49,89,73,54,27,87,26,11
g361031226021,11,32,74,63,37,17,41,11,11
g361031226022,22,35,91,92,27,17,14,11,11
g361031226031,11,54,79,58,13,11,11,44,11
g361031226032,11,11,109,143,39,11,14,11,11
g361031226033,11,35,32,59,56,41,11,48,11
g361031226034,33,69,88,36,16,18,13,11,11
g361031227041,11,11,56,8,25,11,44,11,11
g361031227042,26,17,29,57,47,7,11,11,11
g361031227051,12,16,72,65,73,22,11,5,11
g361031227052,19,9,38,46,61,15,11,26,11
g361031227061,12,25,92,66,44,25,11,11,11
g361031227062,53,20,79,105,45,38,20,29,11
g361031227063,47,10,63,33,20,11,11,16,11
g361031227071,29,46,81,75,11,26,39,15,11
g361031227072,15,20,49,68,32,12,28,11,11
g361031228011,49,11,71,106,38,11,39,41,11
g361031228012,69,43,88,64,45,43,40,51,11
g361031228013,11,28,54,46,75,32,11,11,11
g361031228014,18,11,86,83,139,87,13,11,11
g361031228021,14,26,84,75,70,26,11,15,11
g361031228022,11,13,87,37,38,22,15,11,11
g361031229011,53,89,94,58,41,14,76,44,11
g361031229012,11,65,64,56,16,11,11,22,11
g361031229013,22,61,49,45,55,24,11,11,11
g361031229014,11,21,82,72,21,11,57,59,12
g361031229021,74,54,61,53,56,75,63,11,11
g361031229022,11,18,62,57,27,29,16,29,11
g361031229023,11,11,92,44,36,11,11,11,11
g361031230011,11,33,67,85,16,11,34,23,11
g361031230012,34,72,25,79,52,22,13,11,11
g361031230013,15,15,69,69,70,11,55,11,11
g361031230014,16,56,65,75,68,32,11,11,11
g361031230021,50,13,37,75,66,31,11,10,11
g361031230022,11,22,71,71,48,19,12,11,11
g361031230023,55,20,85,54,45,13,11,11,11
g361031231011,13,18,59,61,51,36,39,13,11
g361031231012,20,23,60,31,10,11,55,11,11
g361031231013,20,72,86,55,53,18,11,18,11
g361031231021,38,25,79,45,12,18,11,11,11
g361031231022,46,34,88,64,37,22,11,11,11
g361031231023,26,18,69,26,42,30,11,11,11
g361031232011,8,8,65,41,48,45,66,36,11
g361031232021,11,30,18,67,45,51,127,49,11
g361031232022,11,27,27,62,21,66,99,69,11
g361031232023,11,83,120,33,97,70,95,49,11
g361031232024,72,65,115,97,84,22,62,37,77
g361031233011,50,29,107,82,135,75,36,55,11
g361031233012,11,35,90,47,91,88,25,23,11
g361031233013,11,11,47,72,42,58,32,21,11
g361031233014,25,11,95,24,102,11,79,11,11
g361031233015,51,11,101,66,64,104,11,11,11
g361031233016,11,11,64,102,120,26,11,30,11
g361031233021,43,49,56,25,44,18,11,41,11
g361031234011,55,35,50,55,44,32,11,21,11
g361031234012,11,48,90,60,56,16,11,23,11
g361031234013,40,20,47,73,26,10,18,35,11
g361031234021,22,32,143,51,17,24,42,11,11
g361031234022,26,28,115,44,34,18,11,11,11
g361031234023,34,69,93,33,37,11,66,23,11
g361031234024,11,23,36,99,80,11,11,11,11
g361031234025,22,47,95,93,56,22,37,11,11
g361031235001,53,13,97,62,11,11,60,49,11
g361031235002,45,11,63,20,58,31,19,89,11
g361031235003,92,64,79,51,32,53,22,67,29
g361031235004,113,102,82,36,83,69,11,43,11
g361031236001,62,44,76,32,66,72,38,17,11
g361031236002,44,12,41,12,29,11,11,12,11
g361031236003,62,20,61,52,21,55,44,11,11
g361031237011,14,14,74,92,79,11,30,10,11
g361031237012,48,62,58,36,48,11,10,11,11
g361031237013,51,67,67,48,25,13,11,56,11
g361031237014,24,50,35,70,49,35,11,37,11
g361031237021,40,101,123,150,97,11,11,26,11
g361031237022,81,41,90,117,95,79,20,67,11
g361031237023,61,29,72,83,11,41,20,11,11
g361031237024,11,41,128,126,33,56,11,11,11
g361031238011,42,72,70,63,12,11,11,11,11
g361031238012,33,73,60,52,15,19,11,11,11
g361031238013,27,68,68,52,105,41,20,11,11
g361031238021,67,44,88,89,60,22,11,11,11
g361031238022,32,43,114,69,59,16,26,66,11
g361031239001,87,12,64,20,69,11,11,43,11
g361031239002,56,30,62,41,19,11,11,13,11
g361031239003,13,11,55,28,40,11,11,8,11
g361031239004,11,38,108,25,24,13,26,30,11
g361031239005,11,13,61,11,11,13,11,10,11
g361031240011,22,39,112,76,40,11,11,17,11
g361031240012,64,39,81,50,44,39,11,17,11
g361031240013,34,17,65,19,10,37,11,11,11
g361031240021,25,34,74,56,28,29,53,11,11
g361031240022,41,61,95,68,54,16,11,11,11
g361031241011,110,50,87,67,34,72,13,18,11
g361031241012,53,27,86,41,31,11,31,11,11
g361031241013,35,11,45,96,35,19,26,50,11
g361031241021,69,49,79,48,22,56,11,26,11
g361031241022,64,61,72,57,15,7,19,73,11
g361031242001,37,41,140,43,23,21,13,11,11
g361031242002,23,19,96,67,33,15,81,56,24
g361031242003,62,28,38,82,11,11,11,117,11
g361031242004,24,76,117,86,60,12,31,91,11
g361031242005,66,11,146,102,89,25,11,11,11
