GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031591073,1433,1314,0,71,11
g361031591081,820,429,14,297,55
g361031591082,3567,2191,67,1097,0
g361031591083,1318,1264,15,26,0
g361031591084,946,632,134,180,0
g361031591085,1157,788,0,239,130
g361031592011,1342,1166,0,176,0
g361031592012,1914,1264,23,627,0
g361031592031,1348,1194,36,118,0
g361031592032,2337,2162,140,0,0
g361031592033,1872,1692,18,136,14
g361031592041,862,435,209,218,0
g361031592042,757,554,25,178,0
g361031592043,1558,1489,17,52,0
g361031592044,825,798,12,15,0
g361031593001,586,538,0,30,11
g361031593002,1384,1316,19,30,6
g361031594041,1475,1056,170,69,146
g361031594042,688,557,63,31,20
g361031594043,1908,874,123,815,54
g361031594044,1974,1100,362,512,0
g361031594045,1445,357,20,641,427
g361031594061,1190,1047,21,28,52
g361031594062,1463,1164,58,223,0
g361031594063,1605,1019,0,573,13
g361031594071,2951,1790,310,599,176
g361031594072,1522,1078,34,230,133
g361031594073,2199,1842,9,254,60
g361031594081,2962,2130,211,442,149
g361031594082,1198,845,80,198,73
g361031594101,1385,1366,4,0,0
g361031594102,1749,1254,466,16,0
g361031594103,5262,4784,60,353,51
g361031594111,2113,1586,235,248,0
g361031594112,1436,1226,0,112,65
g361031594121,978,971,7,0,0
g361031594122,1889,1864,0,13,12
g361031594123,2856,2440,98,206,12
g361031594124,1799,1561,45,66,0
g361031595051,1719,1399,0,320,0
g361031595052,1857,1131,686,0,0
g361031595053,1172,934,17,194,27
g361031595054,1923,827,45,388,91
g361031595055,2213,1013,91,1109,0
g361031595061,2160,1264,185,711,0
g361031595062,2541,1678,528,313,0
g361031595063,1526,791,174,254,307
g361031595064,2311,1686,130,294,185
g361031595081,2044,1508,161,375,0
g361031595082,1532,1130,0,375,0
g361031595083,2252,1327,14,551,0
g361031595084,1898,1186,305,405,1
g361031595091,632,496,10,115,0
g361031595092,963,908,0,20,35
g361031595093,941,521,276,130,0
g361031595101,201,114,8,66,5
g361031595102,12,8,0,0,4
g361031595111,2298,1715,30,546,0
g361031595112,1608,1007,49,151,49
g361031595113,1189,651,399,83,56
g361031595114,1879,1632,92,155,0
g361031595121,2519,1740,548,225,0
g361031596011,1573,1558,15,0,0
g361031596012,779,748,0,11,20
g361031596013,953,872,0,72,9
g361031596014,1309,1296,13,0,0
g361031596015,1733,1703,6,24,0
g361031596021,2407,2314,45,48,0
g361031596022,1649,1498,10,119,22
g361031697011,1304,1195,31,69,0
g361031697012,1181,1097,10,52,0
g361031697013,2068,1650,47,316,55
g361031697014,1462,1347,0,98,0
g361031697015,1679,1624,0,55,0
g361031697031,1508,1477,14,12,5
g361031697041,847,545,0,302,0
g361031697042,1101,1022,0,0,45
g361031697043,2032,930,210,728,38
g361031697044,1035,1035,0,0,0
g361031697045,433,309,73,51,0
g361031697046,1584,1431,39,0,59
g361031698001,2149,1104,128,908,0
g361031698002,1081,549,257,230,13
g361031698003,1732,890,9,822,11
g361031698004,1169,515,195,401,0
g361031699011,1478,1099,128,251,0
g361031699012,4713,2758,1272,344,205
g361031699021,1574,1425,0,149,0
g361031699022,892,634,42,216,0
g361031699023,681,681,0,0,0
g361031699024,234,222,12,0,0
g361031699025,1778,1275,176,327,0
g361031700011,1368,1368,0,0,0
g361031700012,1649,1497,76,17,19
g361031700013,619,504,0,115,0
g361031700014,755,734,3,3,15
g361031700015,1242,1210,0,32,0
g361031700021,452,452,0,0,0
g361031700022,1086,1027,14,45,0
g361031700023,629,629,0,0,0
g361031700024,1082,938,137,7,0
g361031700025,703,619,0,26,58
g361031701011,1046,703,107,205,0
g361031701012,1323,627,139,512,1
g361031702011,1426,1353,0,0,24
g361031702012,1282,1260,0,0,0
g361031702013,711,651,0,60,0
g361031702014,607,607,0,0,0
g361031702015,510,498,0,0,12
g361031702016,1136,1100,0,36,0
g361031702017,651,480,0,0,0
g361031702021,661,555,0,106,0
g361031702022,296,296,0,0,0
g361031702023,932,835,0,65,3
g361031702024,713,695,2,15,1
g361031702025,1275,1217,29,29,0
g361031803001,1399,1391,2,0,6
g361031803002,1270,1045,0,176,0
g361031904011,1010,683,196,131,0
g361031904012,470,93,144,222,3
g361031904013,685,400,83,202,0
g361031904014,3195,1598,1119,443,0
g361031904015,1193,326,479,388,0
g361031904016,941,596,38,104,86
g361031904017,2900,623,203,1973,101
g361031904021,1409,984,49,304,38
g361031904022,1096,932,8,140,0
g361031904031,939,605,0,259,11
g361031904032,955,541,11,357,20
g361031904033,1541,993,0,548,0
g361031905021,651,525,0,126,0
g361031905022,942,803,29,102,4
g361031905023,875,805,0,30,24
g361031905031,774,683,0,78,13
g361031905032,1063,644,49,230,103
g361031905033,781,736,0,45,0
g361031905034,418,395,0,23,0
g361031905041,585,579,0,4,0
g361031905042,571,569,1,1,0
g361031905043,598,587,0,0,11
g361031906011,462,362,53,12,12
g361031906012,899,888,0,11,0
g361031906013,1220,1081,0,31,0
g361031906014,807,706,0,80,21
g361031906015,468,468,0,0,0
g361031906016,426,424,0,2,0
g361031906031,933,596,0,337,0
g361031906032,2189,1212,108,869,0
g361031906033,1127,778,0,341,8
g361031906041,1868,1657,0,190,21
g361031906042,1478,1092,20,366,0
g361031906043,627,372,0,215,40
g361031907041,1083,816,0,230,37
g361031907042,350,284,10,56,0
g361031907043,232,220,12,0,0
g361031907044,481,346,16,110,9
g361031907045,825,775,0,50,0
g361031907051,244,6,6,0,10
g361031907052,1231,848,0,289,94
g361031907053,329,263,13,41,0
g361031907054,920,773,0,147,0
g361031907055,1139,556,18,360,118
g361031907061,990,933,0,23,34
g361031907062,1322,1151,10,121,40
g361031907063,627,531,0,25,31
g361031907064,671,459,0,212,0
g361031907065,988,607,245,95,16
g361031907071,1380,1289,0,66,25
g361031907072,1115,546,0,539,30
g361031907073,552,409,0,79,64
g361031907074,1048,853,0,63,132
g361031907075,989,983,0,0,6
g361031907081,924,903,0,15,3
g361031907082,1069,826,27,196,20
g361031908001,822,575,246,1,0
g361031908002,1046,666,254,59,30
g361031908003,683,624,2,57,0
g361031908004,603,460,22,61,60
g361032009011,681,574,0,103,0
g361032009012,478,472,0,0,6
g361032009021,1496,1177,55,212,34
g361032009022,704,615,0,89,0
g361032009023,1175,839,0,336,0
g361032009024,600,393,0,194,0
g361032009025,719,601,4,105,3
g361032009026,1709,1226,0,95,388
g361032009027,885,533,172,114,6
g361032010011,1186,1007,0,179,0
g361032010012,850,641,16,59,0
g361032010013,1087,477,8,580,0
g361032010014,750,714,36,0,0
g361032010015,1982,1202,5,718,0
g361032010031,1488,556,222,710,0
g361032010032,609,587,15,0,7
g361032010033,172,172,0,0,0
g361032010034,746,666,14,66,0
g361032010035,938,584,14,327,0
g361032010041,182,167,15,0,0
g361032010042,657,480,27,105,45
g361032010043,501,464,7,21,9
g361032010044,521,403,46,27,30
g361032010045,1004,935,17,52,0
g361032010046,606,596,10,0,0
g361032011001,2458,300,184,1848,39
g361032011002,1792,425,264,950,28
g361032011003,482,313,136,33,0
g361032011004,1822,212,242,1117,251
g361039901000,0,0,0,0,0
