GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031229013,1157,1030,0,76,51
g361031229014,1445,945,8,441,51
g361031229021,1761,1380,126,176,45
g361031229022,1364,1221,4,112,19
g361031229023,1549,1269,49,158,0
g361031230011,1944,1000,153,353,43
g361031230012,1313,885,54,304,53
g361031230013,1506,912,0,460,37
g361031230014,1368,1051,14,269,0
g361031230021,2048,1616,32,298,93
g361031230022,1141,611,79,307,0
g361031230023,1454,1079,0,261,93
g361031231011,1308,1105,19,148,16
g361031231012,565,483,0,55,27
g361031231013,1705,1177,60,387,20
g361031231021,1250,930,62,258,0
g361031231022,1633,1374,81,142,29
g361031231023,803,633,0,170,0
g361031232011,1930,621,612,559,115
g361031232021,1826,14,1374,424,0
g361031232022,1104,521,282,60,219
g361031232023,3180,0,1313,1855,0
g361031232024,3273,141,1681,1349,0
g361031233011,1378,319,598,402,13
g361031233012,1766,125,1113,391,137
g361031233013,759,32,669,58,0
g361031233014,1207,61,854,234,0
g361031233015,2161,0,1349,803,0
g361031233016,1220,200,80,940,0
g361031233021,1674,25,919,562,0
g361031234011,1289,834,49,234,75
g361031234012,1670,812,56,735,29
g361031234013,1287,1106,0,106,59
g361031234021,1718,1454,79,65,28
g361031234022,1679,1439,0,240,0
g361031234023,1176,887,158,131,0
g361031234024,762,243,30,445,44
g361031234025,1753,1265,73,226,145
g361031235001,1848,435,772,611,29
g361031235002,1266,712,53,391,10
g361031235003,1430,1062,17,307,44
g361031235004,1797,1357,56,269,0
g361031236001,1273,1116,0,96,61
g361031236002,825,796,0,29,0
g361031236003,1172,1009,0,94,31
g361031237011,2080,799,97,1184,0
g361031237012,1630,290,138,1174,28
g361031237013,1668,791,130,678,69
g361031237014,1428,146,465,817,0
g361031237021,3187,1566,13,1543,60
g361031237022,2023,1057,159,750,50
g361031237023,1225,794,12,370,38
g361031237024,1821,1112,383,189,137
g361031238011,990,782,19,130,29
g361031238012,984,970,0,14,0
g361031238013,2173,1835,217,90,23
g361031238021,1402,1257,0,145,0
g361031238022,1916,1660,24,232,0
g361031239001,1533,1178,34,321,0
g361031239002,879,780,0,78,21
g361031239003,775,658,11,88,18
g361031239004,1567,991,257,212,100
g361031239005,447,447,0,0,0
g361031240011,2378,1820,0,497,61
g361031240012,1849,1383,114,293,35
g361031240013,325,263,11,51,0
g361031240021,1488,1189,17,212,10
g361031240022,2043,1893,0,108,11
g361031241011,2320,1940,1,379,0
g361031241012,1375,1175,0,185,0
g361031241013,1445,1271,11,163,0
g361031241021,1398,1332,0,66,0
g361031241022,1951,1536,0,309,0
g361031242001,1155,905,0,250,0
g361031242002,858,858,0,0,0
g361031242003,540,460,24,55,1
g361031242004,1630,1554,0,64,2
g361031242005,1347,846,0,259,242
g361031243001,1225,930,0,102,175
g361031243002,1646,987,21,458,161
g361031243003,1383,1281,51,16,0
g361031243004,1631,1476,0,155,0
g361031243005,602,541,5,2,18
g361031244011,631,613,9,9,0
g361031244012,960,911,26,23,0
g361031244013,2411,1842,22,447,75
g361031244021,2081,2003,0,37,13
g361031244022,1044,1034,0,10,0
g361031244023,630,630,0,0,0
g361031245001,1165,1034,25,97,9
g361031245002,998,888,0,110,0
g361031245003,1355,918,0,33,90
g361031245004,1831,1194,25,319,285
g361031246011,1019,885,33,83,0
g361031246012,902,863,0,16,16
g361031246013,766,712,0,28,0
g361031246021,617,605,0,12,0
g361031246022,1256,1057,0,95,63
g361031246023,1520,1365,10,69,76
g361031246024,748,535,44,169,0
g361031347021,1966,1613,0,306,23
g361031347022,2390,2074,41,18,199
g361031347023,628,628,0,0,0
g361031347024,797,702,0,95,0
g361031347031,1196,1105,0,13,54
g361031347032,1044,939,0,105,0
g361031347033,1238,1082,0,15,115
g361031347034,607,569,0,38,0
g361031347041,1504,1468,9,16,11
g361031347042,1058,910,3,8,137
g361031349021,1170,1124,0,31,7
g361031349022,1144,1046,0,56,10
g361031349023,2558,2372,41,86,17
g361031349031,1297,1089,117,91,0
g361031349041,1720,1586,0,0,134
g361031349042,1850,1447,11,83,309
g361031349043,1965,1712,31,131,62
g361031349044,1198,1053,0,94,17
g361031349061,1738,1465,0,217,28
g361031349062,1079,971,0,51,57
g361031349063,1725,1725,0,0,0
g361031349064,1293,1204,3,2,56
g361031349071,2017,1846,53,95,23
g361031349072,2792,2714,0,13,45
g361031350021,1164,1102,3,0,49
g361031350022,2236,2085,0,12,89
g361031350023,1920,1886,0,34,0
g361031350031,1449,1353,0,38,7
g361031350032,1550,1442,0,82,9
g361031350033,1542,1326,85,116,15
g361031350041,1692,1602,32,20,15
g361031350042,682,630,0,26,9
g361031350043,604,547,0,23,29
g361031350051,1511,1415,0,60,6
g361031350052,1184,1147,23,14,0
g361031350053,718,641,1,43,33
g361031351011,1129,1024,0,46,48
g361031351012,2735,2100,202,164,242
g361031351021,1346,1215,0,45,26
g361031351022,1783,1254,8,337,155
g361031351023,1255,1157,0,73,25
g361031351031,1520,1324,0,0,30
g361031351032,1245,1077,60,92,16
g361031351033,1953,1644,0,99,87
g361031351041,1765,1543,13,176,33
g361031351042,2335,2210,2,38,49
g361031351043,1166,1056,0,80,13
g361031352011,2148,2000,1,30,71
g361031352041,1699,1485,27,116,61
g361031352042,1920,1833,0,59,28
g361031352043,995,962,1,8,24
g361031352051,2318,1576,16,277,414
g361031352052,1436,1323,0,77,36
g361031352053,1234,1141,0,52,41
g361031352081,1441,1407,0,19,5
g361031352082,1585,1459,11,57,20
g361031352091,1762,1608,44,31,58
g361031352092,1241,1051,3,187,0
g361031353011,1919,1886,0,33,0
g361031353012,1307,1209,49,48,1
g361031353013,759,662,15,0,82
g361031353031,2979,2428,88,218,178
g361031353032,1319,1132,0,93,94
g361031353041,2858,2515,42,144,29
g361031353042,529,510,0,0,19
g361031354011,1214,902,0,175,124
g361031354012,2505,2401,18,33,34
g361031354013,3161,2500,175,39,447
g361031354021,2969,2665,0,219,85
g361031354022,2141,1884,7,101,149
g361031354023,832,801,17,14,0
g361031354024,1258,1258,0,0,0
g361031354031,1110,887,100,46,43
g361031354032,2109,1916,31,144,7
g361031354033,1131,816,3,196,82
g361031456021,1696,237,266,1090,81
g361031456022,1510,293,310,835,64
g361031456023,2756,418,229,2109,0
g361031456031,2969,159,519,1892,308
g361031456032,1361,38,310,985,19
g361031456033,2869,181,190,2471,9
g361031456041,3620,361,147,2844,122
g361031456042,1629,115,130,1292,0
g361031456051,1426,370,112,831,63
g361031456052,2322,385,699,1184,45
g361031457011,770,607,9,72,49
g361031457012,1507,1282,0,185,40
g361031457013,1448,807,105,252,244
g361031457014,1690,1468,28,125,32
g361031457021,1210,46,30,1104,0
