GEOID,B25004_006M
g361031594121,11
g361031594122,11
g361031594123,11
g361031594124,11
g361031595051,52
g361031595052,18
g361031595053,11
g361031595054,11
g361031595055,11
g361031595061,11
g361031595062,76
g361031595063,11
g361031595064,11
g361031595081,68
g361031595082,11
g361031595083,99
g361031595084,11
g361031595091,66
g361031595092,29
g361031595093,11
g361031595101,104
g361031595102,93
g361031595111,11
g361031595112,11
g361031595113,11
g361031595114,11
g361031595121,32
g361031596011,11
g361031596012,11
g361031596013,11
g361031596014,55
g361031596015,53
g361031596021,52
g361031596022,70
g361031697011,78
g361031697012,61
g361031697013,52
g361031697014,11
g361031697015,11
g361031697031,93
g361031697041,32
g361031697042,66
g361031697043,11
g361031697044,11
g361031697045,11
g361031697046,11
g361031698001,11
g361031698002,11
g361031698003,50
g361031698004,11
g361031699011,11
g361031699012,122
g361031699021,79
g361031699022,39
g361031699023,184
g361031699024,156
g361031699025,118
g361031700011,136
g361031700012,152
g361031700013,115
g361031700014,11
g361031700015,144
g361031700021,118
g361031700022,112
g361031700023,137
g361031700024,15
g361031700025,65
g361031701011,38
g361031701012,54
g361031702011,154
g361031702012,102
g361031702013,11
g361031702014,119
g361031702015,77
g361031702016,69
g361031702017,73
g361031702021,103
g361031702022,99
g361031702023,86
g361031702024,85
g361031702025,116
g361031803001,126
g361031803002,136
g361031904011,73
g361031904012,79
g361031904013,11
g361031904014,11
g361031904015,11
g361031904016,105
g361031904017,37
g361031904021,67
g361031904022,87
g361031904031,78
g361031904032,84
g361031904033,97
g361031905021,111
g361031905022,53
g361031905023,120
g361031905031,11
g361031905032,53
g361031905033,75
g361031905034,95
g361031905041,111
g361031905042,71
g361031905043,61
g361031906011,103
g361031906012,99
g361031906013,128
g361031906014,47
g361031906015,76
g361031906016,113
g361031906031,107
g361031906032,110
g361031906033,136
g361031906041,107
g361031906042,135
g361031906043,136
g361031907041,126
g361031907042,136
g361031907043,82
g361031907044,80
g361031907045,182
g361031907051,5
g361031907052,127
g361031907053,138
g361031907054,123
g361031907055,66
g361031907061,155
g361031907062,136
g361031907063,86
g361031907064,99
g361031907065,91
g361031907071,209
g361031907072,133
g361031907073,117
g361031907074,147
g361031907075,124
g361031907081,65
g361031907082,119
g361031908001,146
g361031908002,131
g361031908003,129
g361031908004,154
g361032009011,64
g361032009012,83
g361032009021,250
g361032009022,172
g361032009023,164
g361032009024,111
g361032009025,117
g361032009026,191
g361032009027,133
g361032010011,212
g361032010012,133
g361032010013,186
g361032010014,230
g361032010015,174
g361032010031,67
g361032010032,76
g361032010033,103
g361032010034,132
g361032010035,129
g361032010041,97
g361032010042,148
g361032010043,112
g361032010044,133
g361032010045,150
g361032010046,157
g361032011001,11
g361032011002,11
g361032011003,11
g361032011004,11
g361039901000,11
