GEOID,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M
g361031583043,491,11,263,11,11,11,161,388
g361031583044,319,11,11,11,50,48,11,334
g361031583061,420,20,11,16,11,460,166,397
g361031583062,302,53,97,37,187,11,52,250
g361031583063,483,3,6,4,45,61,11,464
g361031583081,539,27,25,26,112,42,529,292
g361031583082,501,11,11,11,86,112,42,491
g361031583083,641,227,6,6,11,148,30,610
g361031583084,542,105,14,11,159,292,11,465
g361031583091,411,108,105,65,243,29,26,422
g361031583092,369,23,39,11,16,102,21,387
g361031583101,284,25,17,14,11,52,11,284
g361031583102,268,46,96,45,22,35,48,229
g361031583151,345,69,28,11,21,114,18,358
g361031583152,388,24,200,166,125,280,309,472
g361031583171,470,216,103,24,17,11,27,421
g361031583172,618,63,169,73,6,452,120,344
g361031583173,513,11,11,6,11,11,11,513
g361031583181,339,59,4,6,4,133,2,313
g361031583182,250,95,11,11,14,91,60,256
g361031583183,289,42,15,11,116,35,12,290
g361031583191,311,85,75,132,62,127,12,304
g361031583192,287,108,151,11,115,30,11,200
g361031583193,284,11,22,11,56,25,15,273
g361031583201,378,6,8,11,11,32,19,372
g361031583202,464,109,11,11,11,202,60,384
g361031583203,229,46,58,39,91,33,11,229
g361031583204,422,25,11,11,11,69,34,409
g361031583211,1002,165,4,872,236,86,26,580
g361031583212,329,41,11,11,11,69,43,327
g361031583213,371,20,11,11,40,11,11,385
g361031583214,691,93,75,11,11,181,198,691
g361031583221,189,11,60,8,60,11,15,209
g361031583231,430,8,289,27,129,28,11,353
g361031583232,414,11,88,11,33,11,11,412
g361031583233,482,11,11,11,11,213,11,485
g361031583234,444,143,7,7,35,186,11,432
g361031584011,112,19,16,97,6,13,17,144
g361031584021,268,26,60,20,18,89,11,288
g361031584022,111,3,4,44,3,11,3,107
g361031584023,262,16,70,11,11,11,11,268
g361031584031,196,48,32,39,11,12,35,218
g361031584032,190,21,26,11,70,97,11,167
g361031584051,323,62,44,15,7,109,7,327
g361031584052,252,4,17,11,11,11,156,252
g361031584053,292,11,11,11,47,11,11,296
g361031584071,343,28,6,136,11,96,11,360
g361031584072,556,29,11,149,31,184,214,507
g361031584073,444,11,11,11,301,19,11,315
g361031584074,483,35,5,5,18,161,11,496
g361031584081,402,70,175,148,16,150,179,339
g361031584082,273,32,112,25,11,99,29,265
g361031584091,455,21,129,46,101,19,11,438
g361031584092,451,29,13,17,208,59,79,378
g361031584093,344,22,11,11,11,11,11,342
g361031584101,247,43,11,11,50,68,26,259
g361031584102,238,69,54,83,39,66,45,257
g361031584103,266,91,11,39,25,110,241,112
g361031585021,311,34,16,28,19,23,19,307
g361031585022,309,13,33,15,26,37,12,313
g361031585023,188,44,79,60,102,63,36,201
g361031585051,455,8,315,10,24,204,33,493
g361031585052,228,31,71,153,11,32,11,196
g361031585053,162,58,49,83,17,27,11,142
g361031585061,316,66,11,136,11,217,45,216
g361031585062,152,89,14,11,11,11,51,152
g361031585071,236,12,11,13,11,19,39,238
g361031585072,229,24,42,11,11,28,11,231
g361031585073,438,45,107,14,103,12,11,414
g361031585081,357,24,54,11,81,11,11,357
g361031585082,352,15,11,11,189,145,11,341
g361031585083,340,5,5,27,11,11,11,350
g361031585084,186,25,6,7,26,11,24,190
g361031585085,350,11,11,11,27,11,11,353
g361031585091,276,35,132,11,96,29,11,273
g361031585092,265,19,146,46,15,11,18,252
g361031585093,478,109,204,75,61,162,11,516
g361031585101,533,25,35,11,327,273,42,483
g361031585102,475,11,128,283,83,59,298,257
g361031585103,590,221,86,22,43,2,11,561
g361031585104,409,11,104,162,80,107,11,381
g361031585111,373,14,77,11,64,16,37,378
g361031585112,465,54,13,12,11,202,164,415
g361031585113,536,9,228,10,59,322,45,339
g361031585121,292,11,90,21,20,15,16,285
g361031585122,467,98,4,4,27,387,11,256
g361031586041,402,4,21,71,42,53,22,403
g361031586042,325,16,11,98,13,250,11,239
g361031586043,374,37,52,40,151,131,11,351
g361031586051,406,28,106,11,31,19,70,438
g361031586052,373,36,37,123,48,84,132,375
g361031586061,281,99,33,11,52,33,37,305
g361031586062,323,11,51,11,175,177,27,193
g361031586063,343,101,43,76,52,233,11,393
g361031586071,349,15,148,88,59,36,45,303
g361031586072,340,49,133,149,184,38,87,255
g361031586081,242,65,60,42,70,64,19,188
g361031586082,250,12,22,11,65,28,73,263
g361031586083,268,21,24,14,64,12,11,287
g361031586091,337,18,9,18,38,72,108,371
g361031586092,339,11,18,11,17,61,78,337
g361031586093,272,40,30,11,11,162,36,257
g361031587041,467,120,180,11,114,179,284,309
g361031587042,359,13,36,11,194,60,11,292
g361031587043,640,6,161,85,11,97,11,639
g361031587044,695,273,113,154,312,219,11,518
g361031587045,258,25,29,26,46,26,51,258
g361031587051,371,67,254,29,124,140,11,360
g361031587052,418,97,114,11,155,154,20,369
g361031587053,402,133,184,17,64,104,11,342
g361031587071,138,33,30,12,17,49,82,162
g361031587081,128,56,45,86,11,11,27,103
g361031587082,382,72,94,71,243,68,25,332
g361031587083,382,217,22,11,82,11,108,288
g361031587091,166,176,169,45,38,70,37,267
g361031587101,355,132,151,14,100,24,102,327
g361031587102,211,34,11,16,28,11,40,220
g361031587103,428,27,35,3,48,68,11,443
g361031587104,11,11,11,11,11,11,11,11
g361031587111,379,36,11,19,11,11,11,367
g361031587112,247,126,6,68,22,43,35,252
g361031587113,594,99,36,150,323,263,36,582
g361031587121,436,212,260,11,88,31,11,449
g361031587122,458,11,11,96,44,329,11,386
g361031587123,388,25,40,11,19,99,91,356
g361031587124,519,173,32,11,46,11,11,544
g361031587125,612,155,11,11,46,158,11,574
g361031588021,372,27,11,25,36,11,77,365
g361031588022,275,30,11,19,55,28,20,288
g361031588023,250,50,120,11,11,73,11,255
g361031588031,413,21,11,11,11,30,240,377
g361031588032,408,4,58,28,78,61,17,425
g361031588033,384,11,86,124,42,11,11,394
g361031588034,210,35,27,20,52,11,19,202
g361031588041,537,52,151,378,37,11,11,422
g361031588042,369,54,69,17,20,11,11,369
g361031588043,468,107,32,50,11,289,11,330
g361031588044,392,18,17,150,365,85,11,202
g361031588045,477,34,24,19,11,11,18,486
g361031588046,384,239,11,38,32,18,11,331
g361031589001,487,33,278,359,28,11,145,250
g361031589002,649,257,287,102,112,215,62,460
g361031589003,303,11,11,25,11,11,11,303
g361031589004,270,85,27,19,11,42,96,241
g361031589005,358,127,33,34,38,113,149,352
g361031590001,366,168,92,230,113,93,75,284
g361031590002,359,36,191,98,54,56,167,297
g361031590003,251,18,140,51,116,28,11,194
g361031591021,333,137,245,32,25,44,47,256
g361031591022,516,73,194,38,69,75,53,439
g361031591023,425,11,11,11,11,52,11,428
g361031591024,419,26,121,39,4,375,186,350
g361031591025,168,91,47,112,43,99,36,127
g361031591031,250,57,47,16,35,16,11,235
g361031591032,390,200,11,66,11,11,11,344
g361031591033,726,444,290,179,17,290,228,580
g361031591034,447,337,433,13,164,189,11,229
g361031591051,418,24,114,222,54,22,11,406
g361031591052,409,11,73,207,76,49,11,391
g361031591053,531,47,96,8,5,11,256,512
g361031591054,396,26,11,11,71,11,11,392
g361031591061,324,75,11,11,145,204,88,318
g361031591062,412,125,34,41,44,33,11,436
g361031591063,319,5,18,2,23,19,62,332
g361031591071,289,11,69,19,11,22,118,298
g361031591072,290,16,18,56,11,31,11,281
g361031591073,333,16,62,11,46,58,11,345
g361031591081,455,11,11,11,11,16,11,456
g361031591082,761,101,90,32,35,275,11,801
g361031591083,412,11,11,11,11,11,11,412
g361031591084,421,11,11,11,91,53,11,432
g361031591085,406,11,11,11,13,167,224,408
g361031592011,283,114,178,17,25,24,11,278
g361031592012,488,12,10,347,25,14,11,340
g361031592031,327,26,168,11,53,66,11,323
g361031592032,516,361,23,11,23,22,49,418
g361031592033,411,177,143,11,11,11,62,452
g361031592041,240,21,70,11,68,45,39,222
g361031592042,253,23,39,11,11,11,11,249
g361031592043,408,100,49,129,57,16,22,285
g361031592044,194,11,26,11,11,45,11,194
g361031593001,125,32,8,11,22,53,11,115
g361031593002,138,69,11,92,44,27,14,147
g361031594041,452,85,99,11,259,24,70,388
g361031594042,287,11,104,73,189,123,11,160
g361031594043,860,876,128,59,153,189,11,482
g361031594044,503,165,192,37,48,294,199,413
g361031594045,712,11,11,89,71,370,11,614
g361031594061,290,40,109,51,11,51,11,272
g361031594062,327,66,91,89,19,106,31,279
g361031594063,361,11,83,63,216,193,11,319
g361031594071,583,78,229,109,11,30,11,555
g361031594072,347,61,76,45,202,43,11,266
g361031594073,432,11,11,188,31,64,11,415
g361031594081,337,24,70,243,108,132,12,425
g361031594082,228,105,107,14,94,11,11,222
g361031594101,545,125,11,11,30,11,11,544
g361031594102,345,31,155,184,245,11,11,408
g361031594103,643,137,151,74,23,120,16,650
g361031594111,372,53,99,16,11,89,11,358
g361031594112,324,49,159,67,10,14,11,312
g361031594121,330,13,11,11,13,195,125,399
g361031594122,498,39,11,43,34,63,11,510
g361031594123,547,157,63,164,38,30,57,547
g361031594124,455,48,51,33,11,11,29,464
g361031595051,568,11,11,59,11,11,11,574
g361031595052,710,236,11,535,22,171,117,412
g361031595053,410,117,11,150,11,202,11,360
g361031595054,650,175,11,11,11,76,11,569
g361031595055,673,13,11,160,11,172,11,682
g361031595061,573,75,47,11,205,11,404,525
g361031595062,616,52,387,47,24,18,148,595
g361031595063,510,34,164,25,44,136,11,416
g361031595064,551,330,283,37,7,11,400,353
g361031595081,527,11,295,11,21,11,11,484
g361031595082,487,115,11,114,62,21,40,440
g361031595083,701,431,116,11,84,24,11,522
g361031595084,717,19,2,188,54,173,242,676
g361031595091,245,11,60,11,54,11,25,253
g361031595092,321,26,147,85,122,113,75,176
g361031595093,345,199,174,11,14,11,11,268
g361031595101,62,11,15,14,21,12,20,50
g361031595102,9,11,11,11,11,11,11,9
g361031595111,563,38,19,35,331,31,11,560
g361031595112,459,161,44,61,346,58,35,278
g361031595113,459,202,263,78,48,11,11,389
g361031595114,528,11,127,11,11,21,438,384
g361031595121,331,397,92,97,22,3,43,278
g361031596011,465,11,11,11,43,56,24,469
g361031596012,162,11,11,32,22,11,19,163
g361031596013,398,11,4,11,4,73,11,380
g361031596014,433,11,20,11,11,49,11,439
g361031596015,518,96,11,63,11,196,363,387
g361031596021,404,47,2,11,8,85,11,400
g361031596022,450,54,87,39,29,108,11,439
g361031697011,374,11,102,11,18,58,49,331
g361031697012,441,11,67,35,34,67,11,411
g361031697013,503,11,61,22,40,333,65,491
g361031697014,384,151,11,11,24,11,11,397
g361031697015,430,60,18,11,42,114,11,421
g361031697031,187,32,23,55,94,25,41,209
g361031697041,239,28,18,71,75,29,55,224
g361031697042,452,129,11,15,9,115,11,405
g361031697043,671,74,123,384,33,70,369,302
g361031697044,249,22,41,116,69,40,28,222
g361031697045,173,11,27,96,49,115,11,146
g361031697046,341,11,68,35,24,200,11,300
g361031698001,676,445,25,26,73,65,48,569
g361031698002,418,156,154,59,88,58,11,269
g361031698003,597,72,87,11,245,221,90,311
g361031698004,540,126,145,59,36,434,11,315
g361031699011,749,440,16,11,21,11,16,634
g361031699012,848,55,150,148,349,323,25,998
g361031699021,584,11,68,11,138,341,11,460
g361031699022,653,11,420,11,39,11,11,510
g361031699023,493,11,11,11,11,84,11,492
g361031699024,136,11,11,11,11,11,11,136
g361031699025,569,254,16,78,6,83,12,515
g361031700011,443,11,11,101,11,74,38,456
g361031700012,403,97,60,125,22,81,55,372
g361031700013,286,40,11,186,11,32,11,204
g361031700014,238,12,29,168,165,26,160,255
g361031700015,393,53,11,5,11,73,11,387
g361031700021,149,11,11,76,11,11,11,134
g361031700022,253,31,61,11,26,39,11,251
g361031700023,243,11,18,11,11,13,11,238
g361031700024,381,14,11,15,31,18,11,380
g361031700025,207,12,22,75,11,18,39,191
g361031701011,184,18,126,89,24,31,29,158
g361031701012,274,163,68,46,42,59,85,233
g361031702011,375,11,15,11,11,11,27,375
g361031702012,363,45,11,23,11,11,11,373
g361031702013,320,11,15,15,11,11,11,320
g361031702014,280,109,11,11,11,11,11,269
g361031702015,180,11,11,59,28,11,58,174
g361031702016,458,11,29,11,11,8,11,458
g361031702017,288,11,11,57,11,23,11,288
g361031702021,205,40,18,11,40,14,66,180
g361031702022,120,11,4,11,4,23,11,114
g361031702023,186,11,23,40,32,41,9,161
g361031702024,130,4,13,15,6,10,3,130
g361031702025,200,68,64,41,29,28,24,219
g361031803001,347,11,11,11,8,11,11,348
g361031803002,334,11,11,39,11,30,187,327
g361031904011,370,10,129,11,11,119,11,344
g361031904012,346,89,11,167,11,11,71,237
g361031904013,251,11,201,66,84,31,11,179
g361031904014,9,9,11,11,11,11,11,11
g361031904015,464,115,240,11,148,11,11,341
g361031904016,492,36,11,11,27,27,40,487
g361031904017,932,362,523,450,11,11,473,529
g361031904021,335,265,81,38,123,11,12,161
g361031904022,198,11,30,44,11,37,29,185
g361031904031,314,65,50,11,48,43,16,296
g361031904032,300,11,60,11,11,126,170,180
g361031904033,635,35,14,25,31,57,79,620
g361031905021,206,11,61,15,86,11,11,200
g361031905022,158,19,53,17,33,58,60,139
g361031905023,143,36,19,4,35,31,16,135
g361031905031,219,11,38,11,139,11,20,205
g361031905032,331,203,7,2,39,55,141,274
g361031905033,199,15,27,11,11,11,11,196
g361031905034,151,17,11,11,48,11,11,146
g361031905041,188,32,11,11,29,34,5,184
g361031905042,159,23,2,23,5,11,11,154
g361031905043,212,11,11,11,11,11,11,212
g361031906011,154,4,4,4,4,11,46,155
g361031906012,325,30,15,30,11,17,11,320
g361031906013,282,50,16,24,11,11,11,279
g361031906014,281,27,15,11,115,15,12,291
g361031906015,208,11,11,11,11,11,84,193
g361031906016,148,16,17,35,11,34,11,135
g361031906031,358,27,115,40,66,30,306,169
g361031906032,507,23,11,169,306,176,113,351
g361031906033,370,64,26,11,14,177,11,334
g361031906041,409,164,4,118,117,81,11,380
g361031906042,434,85,140,61,33,111,11,392
g361031906043,253,65,22,33,71,13,56,212
g361031907041,462,11,22,11,299,11,11,398
g361031907042,138,11,11,11,11,11,11,138
g361031907043,118,11,3,11,11,11,8,119
g361031907044,170,2,21,81,16,16,90,173
g361031907045,245,26,11,8,11,11,11,245
g361031907051,119,10,41,12,9,12,61,88
g361031907052,276,18,86,132,74,31,11,281
g361031907053,144,18,39,11,11,26,21,111
g361031907054,326,11,37,11,55,172,78,288
g361031907055,235,43,101,49,89,11,66,224
g361031907061,211,46,14,37,11,27,26,199
g361031907062,275,41,62,15,15,55,127,268
g361031907063,225,6,16,11,11,11,11,222
g361031907064,213,16,74,11,11,18,11,195
g361031907065,321,20,11,11,127,47,11,323
g361031907071,313,11,25,75,34,29,11,305
g361031907072,594,58,584,11,11,61,14,193
g361031907073,179,11,11,24,2,11,43,176
g361031907074,374,8,9,7,7,65,287,277
g361031907075,263,11,15,74,25,59,26,255
g361031907081,159,8,7,27,10,55,14,146
g361031907082,267,56,58,11,13,53,11,246
g361031908001,311,14,260,37,11,35,11,225
g361031908002,294,94,87,14,21,11,21,231
g361031908003,225,3,11,22,21,11,11,221
g361031908004,225,38,15,11,11,60,11,211
g361032009011,164,4,24,21,9,4,4,158
g361032009012,103,16,5,9,5,29,23,102
g361032009021,491,40,11,11,31,52,29,490
g361032009022,242,11,104,11,11,11,11,222
g361032009023,453,124,322,11,11,134,11,287
g361032009024,347,11,11,11,11,294,11,190
g361032009025,222,58,87,18,12,48,11,164
g361032009026,598,28,25,11,28,137,11,589
g361032009027,312,22,9,11,9,45,11,299
g361032010011,312,11,46,11,11,221,11,300
g361032010012,353,67,224,114,11,49,11,264
g361032010013,409,56,89,11,26,26,19,375
g361032010014,294,11,11,11,11,61,11,290
g361032010015,627,33,19,40,454,75,134,486
g361032010031,529,91,40,57,16,112,242,511
g361032010032,263,11,36,11,11,11,11,261
g361032010033,109,11,35,11,11,11,11,104
g361032010034,235,11,4,11,43,62,21,211
g361032010035,277,15,72,72,11,42,11,203
g361032010041,99,16,11,11,11,34,11,98
g361032010042,248,49,168,11,27,19,40,219
g361032010043,238,55,11,15,49,11,11,233
g361032010044,243,98,23,33,11,11,14,243
g361032010045,302,57,11,11,11,126,11,297
g361032010046,254,11,25,26,11,15,11,255
g361032011001,697,116,21,11,218,67,11,615
g361032011002,500,61,21,11,168,156,187,487
g361032011003,110,107,33,15,18,11,11,11
g361032011004,681,11,101,11,55,371,19,524
g361039901000,11,11,11,11,11,11,11,11
