GEOID,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M
g361031224041,307,148,96,27,11,50,10,297
g361031224042,275,24,26,11,7,145,12,270
g361031224051,331,106,127,85,125,103,44,369
g361031224052,234,11,18,11,44,16,11,241
g361031224061,530,11,229,11,194,51,11,452
g361031224062,496,228,128,11,11,225,156,414
g361031224063,411,39,19,134,133,79,11,379
g361031225011,387,145,38,116,54,11,97,360
g361031225012,387,26,179,35,74,110,11,363
g361031225013,318,41,177,18,222,155,133,217
g361031225021,517,40,207,261,88,125,133,548
g361031225022,292,178,11,11,103,117,11,248
g361031225023,297,40,9,203,18,127,11,255
g361031226011,377,30,102,14,36,103,11,373
g361031226012,313,15,49,40,11,11,24,317
g361031226013,328,3,77,49,59,233,29,268
g361031226021,328,27,43,11,108,88,18,356
g361031226022,377,45,34,54,19,172,96,359
g361031226031,372,11,89,29,11,50,30,363
g361031226032,424,40,90,41,89,23,11,450
g361031226033,236,42,15,34,11,30,11,238
g361031226034,376,11,18,11,179,45,11,380
g361031227041,328,11,66,11,12,164,135,172
g361031227042,178,23,50,74,28,65,27,174
g361031227051,231,98,14,92,33,58,11,202
g361031227052,207,81,11,40,14,14,16,203
g361031227061,362,11,62,11,73,78,11,326
g361031227062,354,41,97,11,11,10,34,374
g361031227063,202,54,18,11,11,11,11,207
g361031227071,298,104,56,144,68,19,71,363
g361031227072,253,11,11,11,20,94,25,264
g361031228011,500,40,49,11,11,35,11,500
g361031228012,445,86,32,30,14,100,11,425
g361031228013,150,52,11,11,50,65,38,155
g361031228014,748,170,148,11,11,11,11,691
g361031228021,309,38,89,170,8,62,11,387
g361031228022,292,55,78,16,167,41,31,281
g361031229011,466,26,132,15,99,281,18,415
g361031229012,383,6,36,111,249,11,11,321
g361031229013,275,19,39,11,11,23,11,272
g361031229014,421,97,5,11,45,45,36,428
g361031229021,368,18,208,64,90,125,12,321
g361031229022,235,53,3,16,38,29,53,238
g361031229023,403,76,33,11,225,52,11,404
g361031230011,456,34,11,34,26,78,11,454
g361031230012,401,43,11,13,23,287,143,284
g361031230013,429,178,53,59,16,129,17,456
g361031230014,412,39,11,27,45,41,11,411
g361031230021,305,11,11,55,139,20,11,287
g361031230022,274,73,72,11,21,24,11,273
g361031230023,314,11,30,19,48,10,11,325
g361031231011,276,107,11,9,73,11,11,261
g361031231012,270,11,11,11,11,13,46,267
g361031231013,419,136,12,22,37,18,100,389
g361031231021,268,11,53,11,11,20,11,274
g361031231022,296,27,49,11,14,100,109,268
g361031231023,269,36,11,232,24,11,13,209
g361031232011,217,53,64,49,67,119,8,283
g361031232021,594,11,162,14,130,11,11,559
g361031232022,407,137,40,57,158,11,18,346
g361031232023,1224,50,39,21,38,283,11,1252
g361031232024,1010,97,11,306,72,77,11,1000
g361031233011,674,44,143,122,68,381,118,413
g361031233012,718,85,78,66,506,32,21,448
g361031233013,291,33,13,11,38,23,83,283
g361031233014,501,56,100,51,11,189,11,513
g361031233015,671,129,11,11,11,75,11,705
g361031233016,488,167,42,308,11,209,11,272
g361031233021,332,87,119,40,135,134,46,282
g361031234011,325,25,7,155,29,127,84,251
g361031234012,457,11,91,11,30,76,41,496
g361031234013,310,11,190,15,56,197,94,304
g361031234021,506,33,203,119,11,127,101,517
g361031234022,490,21,83,27,11,425,34,418
g361031234023,459,27,11,11,32,192,11,422
g361031234024,459,67,417,182,11,97,11,116
g361031234025,373,20,77,46,106,62,74,382
g361031235001,470,31,100,11,41,154,175,455
g361031235002,324,11,158,316,71,42,31,122
g361031235003,476,365,27,16,14,11,132,279
g361031235004,392,14,242,23,87,18,11,392
g361031236001,225,11,18,11,11,43,76,217
g361031236002,162,79,11,11,11,11,11,185
g361031236003,215,11,28,11,85,11,11,221
g361031237011,593,73,129,72,117,257,11,441
g361031237012,544,44,205,442,148,247,23,287
g361031237013,391,106,132,50,25,226,79,300
g361031237014,411,107,47,106,76,198,91,342
g361031237021,903,59,26,117,572,364,63,650
g361031237022,483,158,56,220,11,33,11,434
g361031237023,421,11,11,23,39,387,33,283
g361031237024,557,61,185,403,220,125,69,421
g361031238011,249,11,63,11,13,11,11,271
g361031238012,477,49,37,14,13,4,15,472
g361031238013,460,20,72,79,79,52,11,452
g361031238021,267,117,16,21,48,82,60,253
g361031238022,349,11,68,11,42,82,17,359
g361031239001,344,50,94,54,56,40,105,307
g361031239002,208,14,13,16,11,26,19,216
g361031239003,212,124,15,11,47,20,60,201
g361031239004,445,12,37,11,70,326,127,399
g361031239005,164,11,23,11,11,13,80,138
g361031240011,424,13,174,22,85,44,11,468
g361031240012,361,106,25,33,61,248,11,347
g361031240013,117,49,11,11,11,12,11,111
g361031240021,274,54,84,147,173,18,163,265
g361031240022,299,11,16,20,48,72,85,317
g361031241011,538,27,38,74,53,14,8,562
g361031241012,347,11,62,11,11,150,183,309
g361031241013,414,82,11,27,31,64,11,404
g361031241021,309,108,22,11,30,29,16,319
g361031241022,422,285,37,13,11,49,11,314
g361031242001,451,11,41,11,110,28,11,446
g361031242002,289,53,39,28,36,11,81,247
g361031242003,253,5,81,11,80,50,11,234
g361031242004,478,30,11,11,11,23,11,483
g361031242005,519,81,11,11,49,136,11,525
g361031243001,379,11,102,11,11,137,11,342
g361031243002,383,36,33,24,11,300,145,307
g361031243003,328,79,63,29,24,23,62,322
g361031243004,426,74,59,11,56,11,11,450
g361031243005,207,51,91,11,11,11,11,197
g361031244011,186,11,26,11,39,11,11,184
g361031244012,293,13,21,11,57,25,43,297
g361031244013,340,74,49,57,32,60,73,354
g361031244021,241,11,18,11,11,16,139,245
g361031244022,320,31,16,15,15,11,11,318
g361031244023,286,11,3,11,11,11,11,286
g361031245001,286,18,11,87,11,11,11,285
g361031245002,210,15,84,11,30,16,15,203
g361031245003,474,19,5,3,11,4,14,476
g361031245004,411,19,67,311,11,154,15,255
g361031246011,164,17,24,22,9,56,11,167
g361031246012,181,13,11,25,10,46,11,182
g361031246013,167,11,10,12,11,8,11,167
g361031246021,178,4,4,33,9,4,11,166
g361031246022,233,56,18,66,11,11,11,214
g361031246023,218,12,20,48,11,15,6,211
g361031246024,185,42,69,11,76,19,60,160
g361031347021,565,11,201,32,69,27,50,531
g361031347022,482,11,11,11,29,34,11,483
g361031347023,179,33,123,37,49,25,11,179
g361031347024,210,11,32,48,24,26,52,240
g361031347031,283,11,11,11,11,11,11,283
g361031347032,247,29,11,11,105,40,38,238
g361031347033,312,61,11,16,11,11,11,315
g361031347034,171,11,11,11,15,28,11,170
g361031347041,220,11,81,8,11,8,11,219
g361031347042,216,78,24,48,48,13,122,155
g361031349021,234,98,35,31,11,11,11,226
g361031349022,232,123,48,11,11,28,23,238
g361031349023,325,11,176,13,47,11,11,316
g361031349031,108,33,41,6,7,17,23,126
g361031349041,437,11,11,11,11,24,360,369
g361031349042,472,11,11,57,11,11,11,476
g361031349043,397,37,28,17,11,32,11,380
g361031349044,225,98,11,24,60,74,24,187
g361031349061,373,23,11,20,20,11,11,374
g361031349062,267,20,11,11,88,11,11,272
g361031349063,286,11,205,11,11,176,11,270
g361031349064,235,25,54,48,77,57,40,247
g361031349071,387,150,51,42,11,25,21,358
g361031349072,415,11,39,11,22,95,49,431
g361031350021,273,79,11,11,34,11,11,275
g361031350022,335,52,106,79,85,32,11,334
g361031350023,308,11,92,62,14,45,38,328
g361031350031,289,64,12,11,23,11,14,301
g361031350032,280,11,28,11,9,9,23,287
g361031350033,226,13,20,11,45,139,10,203
g361031350041,210,40,5,45,5,17,11,213
g361031350042,112,19,21,6,18,11,11,114
g361031350043,91,8,3,3,22,33,28,79
g361031350051,161,11,40,11,34,29,27,151
g361031350052,132,40,40,26,18,38,71,133
g361031350053,258,8,5,4,11,11,3,258
g361031351011,259,25,8,4,11,89,11,243
g361031351012,290,82,19,11,13,88,38,314
g361031351021,208,11,27,11,34,11,11,218
g361031351022,306,21,92,23,26,21,42,306
g361031351023,240,11,12,11,11,34,41,241
g361031351031,347,52,11,12,33,18,30,324
g361031351032,236,11,11,86,11,43,11,254
g361031351033,305,11,103,23,11,42,154,311
g361031351041,278,14,11,11,11,70,11,282
g361031351042,339,74,137,63,11,32,15,372
g361031351043,198,22,139,11,80,44,61,179
g361031352011,119,40,65,45,19,7,9,165
g361031352041,359,11,11,11,20,11,11,359
g361031352042,371,11,110,11,21,53,11,394
g361031352043,239,4,2,40,2,13,11,244
g361031352051,251,93,11,28,52,85,24,246
g361031352052,252,31,50,11,63,83,24,268
g361031352053,200,21,59,15,2,41,107,205
g361031352081,232,15,33,11,17,132,11,239
g361031352082,261,34,18,11,88,11,11,291
g361031352091,276,10,21,32,28,21,11,288
g361031352092,235,11,11,150,11,57,26,231
g361031353011,245,72,18,12,64,71,11,286
g361031353012,313,26,3,3,4,80,12,294
g361031353013,307,11,193,11,17,11,11,260
g361031353031,441,30,25,284,15,28,26,364
g361031353032,312,11,11,49,11,11,11,312
g361031353041,275,16,14,2,85,2,45,261
g361031353042,96,13,15,11,16,16,11,95
g361031354011,332,11,229,11,11,11,11,301
g361031354012,513,30,24,11,11,11,53,503
g361031354013,736,443,54,25,71,50,11,699
g361031354021,480,31,11,57,40,166,56,538
g361031354022,538,144,19,50,100,11,11,535
g361031354023,266,13,4,11,35,15,11,264
g361031354024,324,11,11,11,11,11,206,312
g361031354031,269,60,11,11,11,11,11,261
g361031354032,338,46,15,21,65,31,24,345
g361031354033,264,16,170,11,27,48,11,259
g361031456021,432,79,286,133,21,94,197,298
g361031456022,438,140,35,89,258,105,11,318
g361031456023,539,71,230,193,149,323,190,399
g361031456031,784,153,169,91,167,455,416,435
g361031456032,394,32,125,12,39,175,95,327
g361031456033,663,101,353,39,163,442,92,519
g361031456041,666,125,263,151,208,285,174,585
g361031456042,607,72,133,75,114,47,11,598
g361031456051,303,52,197,27,95,75,11,254
g361031456052,423,61,38,170,191,131,205,359
g361031457011,239,58,13,8,8,40,11,221
g361031457012,355,15,34,29,28,24,14,325
g361031457013,318,74,20,31,11,98,24,318
g361031457014,322,11,11,11,11,32,32,329
g361031457021,528,11,46,76,31,164,126,478
g361031457022,531,120,250,215,11,164,11,376
g361031457023,833,11,269,424,340,286,220,564
g361031457031,410,63,10,179,11,24,11,385
g361031457032,751,194,261,22,307,242,87,742
g361031457033,657,94,229,105,197,321,211,351
g361031457041,763,92,125,11,142,181,58,720
g361031457042,402,25,31,51,181,11,19,360
g361031457043,1086,32,636,563,14,77,62,755
g361031457044,343,206,48,65,54,81,58,276
g361031458031,378,21,106,6,6,22,11,355
g361031458032,409,11,59,46,16,22,11,376
g361031458033,381,13,13,72,69,82,11,393
g361031458041,217,15,26,64,131,127,45,238
g361031458042,218,55,50,12,87,11,6,237
g361031458051,242,21,68,68,33,53,11,248
g361031458052,339,24,11,11,179,120,61,369
g361031458053,359,4,59,39,24,27,18,370
g361031458054,352,35,26,88,78,171,11,422
g361031458071,311,7,19,43,23,73,31,338
g361031458072,333,93,48,50,45,80,11,350
g361031458081,270,154,86,11,18,27,11,315
g361031458082,230,60,109,168,35,15,18,237
g361031459011,672,125,92,5,322,77,36,319
g361031459012,377,73,46,80,347,80,64,368
g361031459021,719,85,141,49,214,292,11,666
g361031459022,605,47,213,160,91,19,11,583
g361031459023,493,105,78,159,11,243,21,417
g361031459024,919,76,324,11,268,11,11,917
g361031459031,498,11,129,11,19,17,14,516
g361031459032,409,20,28,34,78,68,155,377
g361031459033,436,11,35,11,66,267,11,363
g361031459034,523,53,75,56,28,216,203,362
g361031460011,735,223,34,143,133,357,11,672
g361031460012,560,253,225,199,280,101,11,477
g361031460021,567,56,33,17,274,104,71,523
g361031460022,434,18,210,11,159,34,11,377
g361031460023,695,160,4,275,73,324,11,654
g361031460031,749,66,8,51,273,11,11,647
g361031460032,940,12,11,31,165,16,11,960
g361031460033,822,72,148,122,153,19,99,826
g361031460034,663,32,14,11,89,83,11,669
g361031461021,229,226,45,28,161,33,45,273
g361031461031,234,11,11,11,11,11,39,243
g361031461032,453,10,11,11,11,51,37,447
g361031461051,290,26,82,68,44,79,117,277
g361031461052,604,66,15,51,193,309,346,605
g361031461053,554,30,78,11,92,121,95,546
g361031461061,546,85,119,63,88,96,71,480
g361031461062,377,23,57,207,61,73,57,357
g361031462011,469,184,158,175,265,247,258,456
g361031462012,493,111,271,61,202,172,187,364
g361031462021,706,157,150,7,510,125,193,496
g361031462022,619,115,95,334,281,97,94,548
g361031462031,546,246,17,398,59,103,140,443
g361031462032,396,72,112,11,11,17,11,366
g361031462033,682,347,131,69,533,177,15,419
g361031462041,586,27,101,113,213,248,213,544
g361031462042,667,71,160,440,261,182,126,522
g361031462043,569,37,98,11,11,235,85,425
g361031462051,256,7,2,2,11,30,13,256
g361031462052,276,11,6,11,6,70,20,280
g361031462061,263,22,124,11,118,180,11,196
g361031462062,262,40,44,21,105,24,63,246
g361031463001,207,29,37,39,49,87,11,201
g361031463002,241,94,34,46,88,14,19,209
g361031464021,380,140,26,18,15,17,100,335
g361031464022,238,52,11,16,11,11,11,234
g361031464023,344,15,2,92,10,11,11,364
g361031464031,489,48,155,51,11,162,56,438
g361031464032,350,108,68,201,58,194,11,305
g361031464033,464,69,70,401,187,51,45,322
g361031464041,634,114,80,122,11,111,538,360
g361031464042,350,61,180,97,90,156,11,265
g361031465001,215,14,11,82,40,56,11,222
g361031465002,253,11,131,11,11,117,11,237
g361031465003,337,11,67,11,24,11,11,342
g361031465004,303,38,87,35,35,69,91,231
g361031466041,289,44,52,11,11,49,16,305
g361031466042,284,19,11,103,11,202,102,294
g361031466043,236,50,57,11,124,23,44,194
g361031466051,87,10,21,15,151,98,48,139
g361031466061,294,45,11,11,36,22,11,306
g361031466062,381,24,25,52,299,28,16,329
g361031466063,499,38,310,41,35,19,11,395
g361031466064,541,104,11,48,164,216,111,507
g361031466071,228,42,78,25,46,139,27,198
g361031466072,301,25,11,11,37,37,122,296
g361031466081,324,34,129,31,33,189,100,273
g361031466082,269,11,12,5,40,23,11,259
g361031466111,229,111,78,11,31,108,32,237
g361031466112,235,12,11,79,11,14,10,236
g361031466121,326,107,12,29,15,91,88,300
g361031466122,346,4,11,13,21,159,16,330
g361031466123,380,11,11,13,40,128,11,411
g361031466131,245,38,65,11,18,48,63,270
g361031466132,390,2,14,41,126,117,269,374
g361031466141,339,2,96,14,11,2,8,344
g361031466142,305,11,31,11,11,11,11,303
g361031466143,523,34,11,11,30,120,24,458
g361031466151,286,11,30,11,11,11,37,294
g361031466152,284,50,47,119,11,17,11,270
g361031466153,275,46,123,11,23,20,72,288
g361031467031,544,77,148,48,44,315,215,445
g361031467032,395,38,19,151,62,57,33,388
g361031467041,101,37,13,42,16,86,73,181
g361031467051,274,132,57,11,11,35,11,281
g361031467052,252,110,39,101,44,20,23,247
g361031467061,194,18,59,11,11,17,11,193
g361031467062,174,8,4,22,71,62,10,183
g361031468001,376,11,11,75,213,121,11,389
g361031468002,395,12,11,11,40,97,11,409
g361031468003,293,20,11,11,11,11,11,292
g361031468004,214,11,13,11,11,28,11,220
g361031469011,319,12,152,11,11,35,43,352
g361031469012,335,11,11,11,22,15,13,328
g361031469013,218,166,47,11,26,11,37,189
g361031469014,206,16,147,11,122,14,11,193
g361031469021,306,5,64,11,24,21,11,313
g361031469022,350,90,49,29,146,11,11,248
g361031469023,202,9,11,11,11,11,11,202
g361031470011,238,11,110,11,11,11,11,219
g361031470012,172,11,11,11,11,49,11,162
g361031470013,327,25,24,28,47,53,36,348
g361031470031,402,46,56,7,11,20,14,394
g361031470032,387,9,6,19,7,4,11,388
g361031470033,256,27,11,11,22,6,11,258
g361031470041,74,11,5,11,3,11,5,73
g361031471001,147,4,9,11,11,18,11,150
g361031471002,132,22,9,74,34,14,11,126
g361031471003,147,36,11,22,17,48,11,140
g361031472001,857,116,11,11,136,58,463,811
g361031472002,239,37,62,54,11,11,11,228
g361031472003,447,170,26,359,27,70,11,287
