GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361032010041,34,11,16,43
g361032010042,86,64,11,73
g361032010043,75,14,14,76
g361032010044,71,17,11,58
g361032010045,95,48,62,113
g361032010046,71,59,18,76
g361032011001,105,75,58,30
g361032011002,99,27,60,25
g361032011003,11,11,11,11
g361032011004,80,68,11,50
g361039901000,11,11,11,11
