GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361031237011,97,94,14,60
g361031237012,65,83,35,19
g361031237013,75,76,53,74
g361031237014,68,85,33,36
g361031237021,117,156,11,95
g361031237022,155,91,11,113
g361031237023,83,85,11,92
g361031237024,145,100,40,94
g361031238011,77,19,23,62
g361031238012,70,52,37,37
g361031238013,81,70,49,60
g361031238021,91,39,16,115
g361031238022,102,84,29,80
g361031239001,91,70,40,64
g361031239002,65,19,13,34
g361031239003,70,25,11,15
g361031239004,90,64,11,69
g361031239005,36,33,11,25
g361031240011,109,69,57,40
g361031240012,100,53,10,70
g361031240013,29,34,15,34
g361031240021,74,60,32,31
g361031240022,81,74,48,60
g361031241011,114,40,43,76
g361031241012,65,75,11,42
g361031241013,100,44,15,35
g361031241021,89,45,28,56
g361031241022,78,56,9,34
g361031242001,70,118,28,54
g361031242002,67,41,42,78
g361031242003,45,33,11,111
g361031242004,142,99,30,106
g361031242005,103,127,20,79
g361031243001,96,67,76,43
g361031243002,125,91,36,84
g361031243003,114,45,41,98
g361031243004,75,85,11,79
g361031243005,71,32,15,29
g361031244011,36,59,33,86
g361031244012,81,26,10,45
g361031244013,95,70,60,62
g361031244021,53,64,8,47
g361031244022,68,74,22,51
g361031244023,109,11,3,58
g361031245001,51,42,18,59
g361031245002,67,50,68,34
g361031245003,65,30,42,98
g361031245004,81,46,13,53
g361031246011,48,29,16,40
g361031246012,46,19,25,24
g361031246013,45,18,9,18
g361031246021,57,11,26,35
g361031246022,77,43,43,68
g361031246023,82,32,57,56
g361031246024,61,33,59,66
g361031347021,127,88,27,56
g361031347022,142,103,29,72
g361031347023,82,29,11,106
g361031347024,68,23,30,60
g361031347031,50,54,13,13
g361031347032,68,21,17,51
g361031347033,79,14,11,32
g361031347034,53,24,11,22
g361031347041,62,29,8,26
g361031347042,50,34,11,48
g361031349021,78,34,32,46
g361031349022,55,18,26,22
g361031349023,92,54,24,73
g361031349031,45,49,24,33
g361031349041,94,43,11,39
g361031349042,102,30,11,31
g361031349043,78,30,5,21
g361031349044,73,30,76,113
g361031349061,81,76,20,41
g361031349062,80,70,26,39
g361031349063,93,25,33,33
g361031349064,62,21,11,91
g361031349071,97,41,64,46
g361031349072,96,43,22,31
g361031350021,75,44,24,54
g361031350022,87,72,33,43
g361031350023,86,46,28,42
g361031350031,75,34,11,30
g361031350032,68,36,11,29
g361031350033,71,41,25,35
g361031350041,56,33,16,22
g361031350042,32,15,4,24
g361031350043,31,8,4,28
g361031350051,60,30,36,42
g361031350052,59,37,23,75
g361031350053,64,12,11,44
g361031351011,69,48,11,36
g361031351012,87,66,13,45
g361031351021,53,24,11,38
g361031351022,91,46,26,89
g361031351023,63,11,11,22
g361031351031,79,8,11,58
g361031351032,72,21,12,47
g361031351033,86,31,16,57
g361031351041,76,38,11,15
g361031351042,85,41,36,75
g361031351043,49,38,11,56
g361031352011,50,39,5,34
g361031352041,88,33,24,31
g361031352042,91,98,11,63
g361031352043,60,34,18,43
g361031352051,74,45,13,78
g361031352052,83,46,29,31
g361031352053,54,19,11,37
g361031352081,61,58,24,45
g361031352082,71,52,18,24
g361031352091,76,43,10,61
g361031352092,61,50,11,28
g361031353011,86,48,11,47
g361031353012,64,38,12,51
g361031353013,59,50,11,16
g361031353031,102,61,18,76
g361031353032,87,11,14,65
g361031353041,75,59,9,31
g361031353042,45,21,21,52
g361031354011,79,92,18,64
g361031354012,118,65,38,62
g361031354013,151,129,25,77
g361031354021,124,78,11,65
g361031354022,97,123,27,70
g361031354023,86,29,11,42
g361031354024,101,87,11,39
g361031354031,71,51,15,28
g361031354032,104,61,20,44
g361031354033,62,50,14,24
g361031456021,77,79,18,18
g361031456022,72,77,13,40
g361031456023,118,83,52,42
g361031456031,101,94,52,44
g361031456032,64,60,59,31
g361031456033,89,90,28,59
g361031456041,107,112,34,56
g361031456042,61,81,43,54
g361031456051,63,48,26,20
g361031456052,69,45,30,51
g361031457011,52,10,21,51
g361031457012,77,64,11,51
g361031457013,90,83,60,91
g361031457014,75,61,11,32
g361031457021,94,52,11,24
g361031457022,100,69,11,58
g361031457023,125,114,11,18
g361031457031,80,31,25,20
g361031457032,104,90,11,69
g361031457033,74,114,55,63
g361031457041,88,142,67,49
g361031457042,118,89,11,95
g361031457043,188,65,11,67
g361031457044,87,95,45,112
g361031458031,85,59,28,31
g361031458032,79,33,19,58
g361031458033,80,74,17,78
g361031458041,73,48,19,37
g361031458042,47,41,21,48
g361031458051,85,45,68,112
g361031458052,97,86,11,41
g361031458053,101,88,62,47
g361031458054,111,86,31,55
g361031458071,94,28,11,50
g361031458072,85,42,55,59
g361031458081,77,50,11,42
g361031458082,62,84,22,41
g361031459011,53,79,11,32
g361031459012,77,63,26,40
g361031459021,108,130,11,11
g361031459022,79,155,74,56
g361031459023,118,89,88,85
g361031459024,142,130,11,86
g361031459031,81,59,35,28
g361031459032,73,61,38,42
g361031459033,74,77,14,55
g361031459034,87,62,46,85
g361031460011,93,91,12,27
g361031460012,91,93,43,40
g361031460021,98,88,11,58
g361031460022,87,66,31,35
g361031460023,80,106,11,50
g361031460031,153,57,30,16
g361031460032,123,55,15,72
g361031460033,147,112,56,136
g361031460034,118,59,11,113
g361031461021,74,62,11,38
g361031461031,73,87,11,19
g361031461032,116,59,10,62
g361031461051,59,62,44,113
g361031461052,117,74,11,96
g361031461053,100,99,11,11
g361031461061,92,97,37,79
g361031461062,81,43,60,30
g361031462011,104,97,11,85
g361031462012,100,68,13,62
g361031462021,86,111,23,43
g361031462022,101,111,13,26
g361031462031,65,120,24,35
g361031462032,90,37,11,38
g361031462033,117,82,11,44
g361031462041,111,92,42,29
g361031462042,89,126,11,32
g361031462043,54,69,35,36
g361031462051,44,29,11,20
g361031462052,63,36,11,37
g361031462061,45,61,11,20
g361031462062,67,51,16,24
g361031463001,41,79,22,79
g361031463002,87,68,19,104
g361031464021,92,61,12,55
g361031464022,63,39,11,43
g361031464023,69,42,11,27
g361031464031,75,87,37,26
g361031464032,76,71,31,24
g361031464033,67,76,25,39
g361031464041,93,60,71,22
g361031464042,72,62,33,44
g361031465001,64,53,23,43
g361031465002,57,35,33,26
g361031465003,78,78,11,11
g361031465004,66,37,28,59
g361031466041,77,74,26,94
g361031466042,77,51,14,34
g361031466043,46,44,26,26
g361031466051,45,47,16,20
g361031466061,86,59,19,47
g361031466062,108,95,16,131
g361031466063,100,89,11,76
g361031466064,115,89,11,93
g361031466071,43,69,28,61
g361031466072,87,63,54,61
g361031466081,71,80,32,80
g361031466082,60,52,74,26
g361031466111,83,55,36,74
g361031466112,73,43,5,30
g361031466121,55,31,11,18
g361031466122,105,71,42,57
g361031466123,96,68,22,55
g361031466131,63,47,11,43
g361031466132,94,82,26,42
g361031466141,116,52,11,56
g361031466142,71,55,11,11
g361031466143,109,118,26,109
g361031466151,71,66,14,32
g361031466152,74,41,17,85
g361031466153,92,89,26,93
g361031467031,113,74,52,77
g361031467032,90,62,17,58
g361031467041,47,36,20,38
g361031467051,74,43,41,25
g361031467052,70,56,21,27
g361031467061,57,44,19,25
g361031467062,60,47,10,34
g361031468001,96,83,26,42
g361031468002,97,35,11,63
g361031468003,72,44,15,44
g361031468004,47,18,11,33
g361031469011,92,67,59,73
g361031469012,82,36,11,48
g361031469013,49,37,23,15
g361031469014,61,11,18,39
g361031469021,79,20,11,54
g361031469022,69,53,11,30
g361031469023,64,28,9,24
g361031470011,53,28,15,33
g361031470012,53,14,38,41
g361031470013,107,47,27,62
g361031470031,118,46,26,58
g361031470032,79,43,11,34
g361031470033,83,53,16,57
g361031470041,17,6,4,13
g361031471001,50,26,21,20
